Demographic,DBN,NAME,Total Cohort  - June,Total Math/ELA APM - June,% of Cohort - June,Total Cohort  - August,Total Math/ELA APM - August,% of Cohort - August
All Students,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,78,7,9%,78,7,9%
All Students,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,124,17,13.7%,124,17,13.7%
All Students,01M509,MARTA VALLE HIGH SCHOOL,84,14,16.7%,84,14,16.7%
All Students,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,193,63,32.6%,193,63,32.6%
All Students,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,46,42,91.3%,46,42,91.3%
All Students,01M650,CASCADES HIGH SCHOOL,89,9,10.1%,89,9,10.1%
All Students,01M696,BARD HIGH SCHOOL EARLY COLLEGE,139,99,71.2%,139,100,71.9%
All Students,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,25,1,4%,25,1,4%
All Students,02M288,FOOD AND FINANCE HIGH SCHOOL,102,14,13.7%,102,14,13.7%
All Students,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,75,14,18.7%,75,14,18.7%
All Students,02M298,PACE HIGH SCHOOL,92,28,30.4%,92,28,30.4%
All Students,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,80,12,15%,80,12,15%
All Students,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,61,3,4.9%,61,3,4.9%
All Students,02M308,LOWER MANHATTAN ARTS ACADEMY,68,5,7.4%,68,5,7.4%
All Students,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,72,5,6.9%,72,5,6.9%
All Students,02M374,GRAMERCY ARTS HIGH SCHOOL,93,3,3.2%,93,3,3.2%
All Students,02M394,EMMA LAZARUS HIGH SCHOOL,10,s,s,10,s,s
All Students,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,352,122,34.7%,352,129,36.6%
All Students,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,80,25,31.3%,80,26,32.5%
All Students,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,105,74,70.5%,105,74,70.5%
All Students,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,124,70,56.5%,124,74,59.7%
All Students,02M414,N.Y.C. MUSEUM SCHOOL,106,22,20.8%,106,22,20.8%
All Students,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,103,81.1%,127,103,81.1%
All Students,02M418,MILLENNIUM HIGH SCHOOL,150,97,64.7%,150,99,66%
All Students,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,341,90,26.4%,341,91,26.7%
All Students,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,144,18,12.5%,144,18,12.5%
All Students,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,365,19,5.2%,365,21,5.8%
All Students,02M460,WASHINGTON IRVING HIGH SCHOOL,443,24,5.4%,443,24,5.4%
All Students,02M475,STUYVESANT HIGH SCHOOL,787,773,98.2%,787,778,98.9%
