Traffic Control Division,2005,2006,2007,2008,2009,Total
Headquarters Command,0%,0%,0%,0%,0%,0%
Manhattan Task Force,3%,2%,2%,0%,0%,7%
Brooklyn Task Force,0%,0%,0%,0%,0%,0%
Bronx Task Force,0%,0%,0%,0%,0%,0%
Queens Task Force,0%,0%,0%,0%,0%,0%
Surface Transportation,,,,,,
Enforcement Division,0%,0%,0%,0%,0%,0%
Bus,0%,0%,0%,0%,0%,0%
Parking Enforcement District,0%,0%,0%,0%,0%,0%
Tow Units,0%,0%,0%,0%,0%,0%
Summons Enforcement,0%,0%,0%,0%,0%,0%
Intersection Control,0%,0%,0%,0%,0%,0%
Intelligence,0%,0%,0%,0%,0%,0%
Highway District,0%,0%,0%,0%,0%,0%
Highway 1,2%,0%,1%,1%,0%,4%
Highway 2,1%,1%,0%,0%,0%,2%
Highway 3,0%,0%,2%,0%,0%,2%
Highway 4,0%,0%,0%,0%,0%,0%
Highway 5,0%,0%,0%,0%,0%,0%
Highway Safety,0%,0%,0%,0%,0%,0%
Movie and Television Unit,1%,0%,0%,0%,0%,1%
Traffic Control Division Total,7%,3%,5%,1%,0%,16%
Percent of All Subject Officers Against Whom Allegations were Substantiated,2.4%,0.8%,0.9%,0.3%,0%,0.8%
