Type of Abuse of Authority Allegation,Substantiated Number,Sunstantiated rate,Exonerated number,Exonerated rate,Unsubstantiated number,Unsubstantiated rate,Unfounded number,Unfounded rate,Officer Unidentified number,Officer Unidentified rate,Miscellaneous,Miscellaneous rate
Question and/or stop**,0,0%,1,50%,0,0%,0,0%,0,0%,1,50%
Question ,29,13%,148,66.4%,29,13%,3,1.3%,10,4.5%,4,1.8%
Stop,75,10.3%,385,53.1%,184,25.4%,17,2.3%,53,7.3%,11,1.5%
Frisk and/or search*,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Search,51,9.1%,105,18.8%,289,51.6%,42,7.5%,64,11.4%,9,1.6%
Frisk,53,13%,162,39.8%,126,31%,13,3.2%,52,12.8%,1,0.2%
Vehicle search,30,8.7%,145,41.9%,120,34.7%,13,3.8%,29,8.4%,9,2.6%
Vehicle stop,16,6.7%,127,52.9%,67,27.9%,2,0.8%,22,9.2%,6,2.5%
Premises entered or searched,12,2.6%,360,76.6%,75,16%,8,1.7%,12,2.6%,3,0.6%
Strip search,5,2.6%,50,26%,83,43.2%,33,17.2%,16,8.3%,5,2.6%
Gun drawn,0,0%,51,63%,16,19.8%,10,12.3%,2,2.5%,2,2.5%
Property seized,3,7.3%,21,51.2%,8,19.5%,4,9.8%,5,12.2%,0,0%
Property damaged,2,1.1%,39,21.9%,62,34.8%,42,23.6%,31,17.4%,2,1.1%
Threat to notify ACS,0,0%,17,53.1%,11,34.4%,1,3.1%,3,9.4%,0,0%
Threat of force,3,0.9%,29,8.4%,188,54.3%,87,25.1%,34,9.8%,5,1.4%
Threat to damage/seize property,0,0%,12,26.7%,18,40%,7,15.6%,8,17.8%,0,0%
Threat of arrest,8,1.8%,203,45.4%,137,30.6%,54,12.1%,37,8.3%,8,1.8%
Threat of summons,2,6.7%,8,26.7%,14,46.7%,2,6.7%,4,13.3%,0,0%
Retaliatory arrest,4,44.4%,2,22.2%,3,33.3%,0,0%,0,0%,0,0%
Retaliatory summons,14,46.7%,6,20%,8,26.7%,2,6.7%,0,0%,0,0%
Refusal to process complaint,8,13.3%,4,6.7%,35,58.3%,6,10%,7,11.7%,0,0%
Refusal to give name/shield number,27,5.3%,13,2.6%,275,54%,123,24.2%,66,13%,5,1%
Refusal to obtain medical treatment,7,6.1%,0,0%,58,50.9%,35,30.7%,14,12.3%,0,0%
Refusal to show search warrant***,0,0%,0,0%,26,60.5%,12,27.9%,4,9.3%,1,2.3%
Improper dissemination of medical info,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Other,2,4.2%,21,43.8%,11,22.9%,8,16.7%,5,10.4%,1,2.1%
Total,351,6.8%,1909,36.9%,1843,35.6%,524,10.1%,478,9.2%,73,1.4%
"* Beginning in 2005, the CCRB captured ""frisk"" and ""search"" as distinct allegations.",,,,,,,,,,,,
"** Beginning in 2007, the CCRB captured ""question"" and ""stop"" as distinct allegations.",,,,,,,,,,,,
"*** The CCRB began to capture the allegation ""refusal to show search warrant"" on April 1, 2004.",,,,,,,,,,,,
