name,phone,Mn,Tu,We,Th,Fr,Sa,Su,notification,Location 1
Arverne,(718) 634-4784, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  6:00PM,10:00AM -  5:30PM,closed,,"312 Beach 54 Street
Arverne, NY 11692
(40.59428994144626, -73.78442865540268)"
Astoria,(718) 278-2220, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  6:00PM,10:00AM -  5:30PM,closed,,"14 01 Astoria Boulevard
Long Island City, NY 11102
(40.77152402451418, -73.92643545073543)"
Auburndale,(718) 352-2027, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"25 55 Francis Lewis Boulevard
Flushing, NY 11358
(40.760350968822195, -73.79632645819947)"
Baisley Park,(718) 529-1590,closed,closed,closed,closed,closed,closed,closed,,"117 11 Sutphin Boulevard
Jamaica, NY 11436
(40.67571820912809, -73.79646501494847)"
Bay Terrace,(718) 423-7004, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00AM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  5:30PM,closed,,"18 36 Bell Boulevard
Bayside, NY 11360
(40.78070133439911, -73.78226733686807)"
Bayside,(718) 229-1834,10:00AM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"214 20 Northern Boulevard
Bayside, NY 11361
(40.76418884813688, -73.77232552860022)"
Bellerose,(718) 831-8644, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"250 06 Hillside Avenue
Bellerose, NY 11426
(40.73704138495202, -73.72415699894628)"
Briarwood,(718) 658-1680, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"85 12 Main Street
Briarwood, NY 11435
(40.70119264912154, -73.80979665579099)"
Broad Channel,(718) 318-4943, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  6:00PM,10:00AM -  5:30PM,closed,,"16 26 Cross Bay Boulevard
Broad Channel, NY 11693
(40.6183036047276, -73.82495531523557)"
Broadway,(718) 721-2462,10:00AM -  8:00PM, 1:00AM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"40 20
Long Island City, NY 11103
(40.76286893025696, -73.91327185810974)"
Cambria Heights,(718) 528-3535, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"218 13 Linden Boulevard
Cambria Heights, NY 11411
(40.694293339066405, -73.73568329125084)"
