License Number,Name of Licensee,Alternative Name of Licensee,Street_Address,Zip_Code,Telephone,License Type,Location 1
License Number,Name of Licensee,Alternative Name of Licensee,Street_Address,Zip_Code,Telephone,License Type,
B00013 ,LOVE CORP CAR INC                                           ,                                                            ,1440 39 STREET,11218,718-438-1100,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00014 ,NY ONE CORP CAR INC                                         ,                                                            ,1440 39 STREET,11218,718-438-1100,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00035 ,LOTUS RIDE INC                                              ,                                                            ,38-60 13 STREET,11101,718-707-9100,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00053 ,CHARGE AND RIDE INC                                         ,                                                            ,47-01 VERNON BOULEVARD,11101,718-392-5200,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00083 ,PAGE-A-RIDE INC                                             ,                                                            ,27-02 43 AVENUE,11101,718-786-2655,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00111 ,SKYLINE CREDIT RIDE INC                                     ,                                                            ,52-29 35 STREET,11101,718-482-8585,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00202 ,"EXCELSIOR CAR & LIMO, INC.                                  ",                                                            ,335 BOND STREET,11231,718-522-7232,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00235 ,"ARISTACAR & LIMOUSINE, LTD.                                 ",                                                            ,335 BOND STREET,11231,718-643-6900,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00236 ,LAST RADIO GROUP CORP.                                      ,                                                            ,43-22 VAN DAM STREET,11101,718-937-6677,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00254 ,XYZ TWO WAY RADIO                                           ,                                                            ,275 20 STREET,11215,718-499-3505,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00271 ,UTOG 2-WAY RADIO INC                                        ,                                                            ,25-20 39 AVENUE,11101,718-361-7290,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00272 ,BIG APPLE CAR INC                                           ,                                                            ,169 BAY   17 STREET,11214,718-236-8765,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00280 ,FLEET RADIO DISPATCH CORP.                                  ,MINUTEMEN                                                   ,59-01 37 AVENUE,11377,718-651-7300,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00296 ,PRIME TIME TRANS. INC                                       ,                                                            ,23-20 JACKSON AVENUE,11101,718-482-7900,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00306 ,LOVE LIMOUSINE NYC LTD                                      ,                                                            ,1440 39 STREET,11218,718-438-1100,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00329 ,CITICAR TRANSPORTATION CORP.                                ,                                                            ,38-60 13 STREET,11101,718-707-9000,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00381 ,BELL RADIO INC                                              ,                                                            ,1440 39 STREET,11218,718-438-1100,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00411 ,FONE-A-CAR INC                                              ,                                                            ,1440 39 STREET,11218,718-832-4600,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00412 ,NYC 2 WAY INTERNATIONAL LTD                                 ,NYC TWO WAY INC.                                            ,335 BOND STREET,11231,718-643-6053,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00446 ,COMMUNICAR INCORPORATED                                     ,                                                            ,73-10 88 STREET,11385,718-418-1100,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00447 ,CORPORATE CAR LTD.                                          ,                                                            ,73-10 88 STREET,11385,718-418-1100,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00448 ,DIAL CAR INC.                                               ,                                                            ,2104 AVENUE X,11235,718-743-8383,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00477 ,INTA-BORO ACRES INC                                         ,                                                            ,88-19 101 AVENUE,11416,718-845-1100,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00608 ,SUMMIT CORP CAR INC                                         ,                                                            ,1440 39 STREET,11218,718-438-1100,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00628 ,CONCORD LIMOUSINE INC                                       ,                                                            ,712 3 AVENUE,11232,718-965-6150,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00789 ,VITAL TRANSP INC                                            ,                                                            ,41-24 38 STREET,11101,718-472-2500,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00888 ,ACE C/L SVCE INC                                            ,                                                            ,1440 39 STREET,11218,718-438-1100,"TLC-licensed base (FHV, Commuter Van, or Para)",
B00946 ,EAGLE AMERICAN LIMO SVCE INC                                ,                                                            ,60 EAST   42 STREET,10017,212-986-5461,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01026 ,GRAND TRANSPORTATION INC.                                   ,                                                            ,621 WEST   55 STREET,10019,212-956-6600,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01087 ,ELITE LIMO PLUS INC                                         ,                                                            ,32-72 GALE AVENUE,11101,718-472-2300,"TLC-licensed base (FHV, Commuter Van, or Para)",
B01154 ,CROSSTOWN LIMOUSINE SVC. INC.                               ,CITY RIDE C/L SVCE                                          ,44-61 11 STREET,11101,718-706-6666,"TLC-licensed base (FHV, Commuter Van, or Para)",
