Program Name,Sponsor,Borough,Zipcode,Phone,Location 1
A PHILIP RANDOLPH SENIOR CENTER,UNITED BLOCK ASSOCIATION INC,MANHATTAN,10039,212-283-7904,"108 146TH STREET
MANHATTAN, NY 10039
(40.82123477265024, -73.93611928704553)"
ABE STARK SENIOR CENTER,BERGEN BASIN COMM DEV CORP/MILLENNIUM DEV CORP,BROOKLYN,11236,718 272-9515,"10315 FARRAGUT ROAD
BROOKLYN, NY 11236
(40.64962602084508, -73.89935633321575)"
ALLEN COMMUNITY SENIOR CITIZENS CENTER,ALLEN AME CHURCH/ALLEN COMM SR CENTER,QUEENS,11434,718 658-0980,"166 01 LINDEN BOULEVARD
QUEENS, NY 11434
(40.6769452621142, -73.77530690169215)"
ALPHA PHI ALPHA SENIOR CENTER,ALPHA PHI ALPHA SENIOR CITIZENS CENTER INC,QUEENS,11411,718 528-8238,"220 01
QUEENS, NY 11411
(40.694293339066405, -73.73568329125084)"
AMICO 59TH STREET SENIOR CENTER,AMERICAN ITALIAN COALITION OF ORGS\AMICO,BROOKLYN,11219,718-972-1558,"5901 13TH AVENUE
BROOKLYN, NY 11219
(40.629394697762905, -73.99793079778992)"
ARC FT WASHINGTON SENIOR CENTER,ARC XVI FORT WASHINGTON INC,MANHATTAN,10033,212-781-5700,"4111 BROADWAY
MANHATTAN, NY 10033
(40.845160338750205, -73.93878884162382)"
ARROCHAR FRIENDSHIP CLUB SENIOR CENTER,ST ISLAND COMM SERVICES FRIENDSHIP CLUBS,STATEN ISLAND,10305,718-720-6110,"85 JEROME AVENUE
STATEN ISLAND, NY 10305
(40.596344127461194, -74.07613462768141)"
ARTURO SCHOMBERG SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY,BRONX,10456,718-842-6880,"1315 FRANKLIN AVENUE
BRONX, NY 10456
(40.83227391954567, -73.90150815233032)"
ASSOC OF BLACK SOCIAL WORKERS SR CENTER,ASSOCIATION OF BLACK SOCIAL WORKERS INC,MANHATTAN,10025,212-749-8400,"221 107TH STREET
MANHATTAN, NY 10025
(40.80146863587437, -73.96600964199489)"
ATLANTIC SENIOR CENTER,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC,BROOKLYN,11207,718 345-7994,"70 PENNSYLVANIA AVENUE
BROOKLYN, NY 11207
(40.67631839764981, -73.8970512344147)"
