Manhattan South,2005,2006,2007,2008,2009,Total
1st Precinct,6%,1%,1%,0%,1%,9%
5th Precinct,3%,0%,3%,0%,0%,6%
6th Precinct,2%,1%,0%,2%,0%,5%
7th Precinct,1%,2%,1%,1%,1%,6%
9th Precinct,0%,3%,4%,2%,2%,11%
10th Precinct,2%,2%,1%,1%,0%,6%
13th Precinct,3%,0%,1%,1%,1%,6%
Midtown South,3%,1%,1%,3%,1%,9%
17th Precinct,1%,2%,0%,1%,0%,4%
Midtown North,4%,3%,0%,1%,1%,9%
Precincts Total,25%,15%,12%,12%,7%,71%
Task Force,1%,1%,0%,1%,0%,3%
Borough Headquarters,0%,1%,0%,0%,0%,1%
Anti-crime Unit,0%,0%,1%,2%,3%,6%
Patrol Borough Manhattan South Total,26%,17%,13%,15%,10%,81%
Percent of All Subject Officers Against Whom Allegations were Substantiated,8.8%,4.3%,2.3%,4%,2.9%,4.1%
