YEAR of BIRTH,GENDER,CHILD FIRST NAME,COUNT,RANK
2009,MALE,JAYDEN,880,1
2009,MALE,DANIEL,795,2
2009,MALE,ETHAN,762,3
2009,MALE,MICHAEL,749,4
2009,MALE,DAVID,700,5
2009,MALE,JUSTIN,674,6
2009,MALE,MATTHEW,652,7
2009,MALE,JOSHUA,623,8
2009,MALE,ALEXANDER,574,9
2009,MALE,CHRISTOPHER,556,10
2009,MALE,RYAN,535,11
2009,MALE,ANTHONY,525,12
2009,MALE,JACOB,525,12
2009,MALE,JOSEPH,525,12
2009,MALE,WILLIAM,410,13
2009,MALE,CHRISTIAN,409,14
2009,MALE,JONATHAN,405,15
2009,MALE,BRANDON,401,16
2009,MALE,NICHOLAS,398,17
2009,MALE,KEVIN,395,18
2009,MALE,AIDEN,370,19
2009,MALE,DYLAN,369,20
2009,MALE,ELIJAH,363,21
2009,MALE,SAMUEL,360,22
2009,MALE,GABRIEL,357,23
2009,MALE,JOHN,356,24
2009,MALE,JAMES,352,25
2009,MALE,ANDREW,350,26
2009,MALE,LUCAS,334,27
2009,MALE,BENJAMIN,329,28
2009,MALE,ANGEL,324,29
2009,MALE,JASON,321,30
2009,MALE,NOAH,321,30
2009,MALE,SEBASTIAN,306,31
2009,MALE,AARON,305,32
2009,MALE,TYLER,284,33
2009,MALE,JEREMIAH,276,34
2009,MALE,JACK,275,35
2009,MALE,ERIC,249,36
2009,MALE,HENRY,239,37
2009,MALE,XAVIER,238,38
2009,MALE,BRIAN,233,39
2009,MALE,JULIAN,232,40
2009,MALE,EVAN,229,41
2009,MALE,ADRIAN,225,42
2009,MALE,MOSHE,225,42
2009,MALE,LUIS,221,43
2009,MALE,ALEX,218,44
2009,MALE,ISAIAH,211,45
2009,MALE,ISAAC,210,46
2009,MALE,ADAM,208,47
2009,MALE,JORDAN,208,47
2009,MALE,NATHAN,207,48
2009,MALE,AIDAN,206,49
2009,MALE,STEVEN,201,50
2009,MALE,CHARLES,197,51
2009,MALE,NATHANIEL,190,52
2009,MALE,BRYAN,185,53
2009,MALE,JOEL,182,54
2009,MALE,SEAN,181,55
2009,MALE,JOSE,179,56
2009,MALE,LIAM,179,56
2009,MALE,ROBERT,176,57
2009,MALE,JOSIAH,174,58
2009,MALE,ABRAHAM,170,59
2009,MALE,THOMAS,170,59
2009,MALE,JEREMY,169,60
2009,MALE,JADEN,166,61
2009,MALE,VINCENT,165,62
2009,MALE,OLIVER,164,63
2009,MALE,MAX,162,64
2009,MALE,CARLOS,157,65
2009,MALE,KYLE,154,66
2009,MALE,ZACHARY,154,66
2009,MALE,LUKE,152,67
2009,MALE,ELI,146,68
2009,MALE,IVAN,142,69
2009,MALE,CHAIM,137,70
2009,MALE,TRISTAN,137,70
2009,MALE,JAKE,135,71
2009,MALE,OWEN,135,71
2009,MALE,EMMANUEL,134,72
2009,MALE,EDWARD,129,73
2009,MALE,IAN,128,74
2009,MALE,MIGUEL,125,75
2009,MALE,LOGAN,124,76
2009,MALE,ANDY,123,77
2009,MALE,GAVIN,123,77
2009,MALE,OMAR,122,78
2009,MALE,LEO,120,79
2009,MALE,JUAN,119,80
2009,MALE,GEORGE,118,81
2009,MALE,OSCAR,117,82
2009,MALE,YOSEF,117,82
2009,MALE,RICHARD,114,83
2009,MALE,AMIR,113,84
2009,MALE,VICTOR,112,85
2009,MALE,CHASE,110,86
2009,MALE,ALAN,109,87
2009,MALE,CALEB,109,87
2009,MALE,PETER,109,87
2009,MALE,SHIMON,109,87
2009,MALE,JACKSON,108,88
2009,MALE,JESUS,107,89
2009,MALE,NICOLAS,104,90
2009,MALE,EDWIN,100,91
2009,MALE,DEREK,99,92
2009,MALE,DEVIN,99,92
2009,MALE,GIOVANNI,97,93
2009,MALE,MOHAMED,97,93
2009,MALE,JAIDEN,96,94
2009,MALE,MARK,95,95
2009,MALE,AYDEN,94,96
2009,MALE,MARCUS,94,96
2009,MALE,MENACHEM,94,96
2009,MALE,PATRICK,94,96
2009,MALE,AUSTIN,93,97
2009,MALE,RAYMOND,92,98
