District,Bldg Level,Bldg I.D.,Building Name,Bldg Enroll,Bldg Adjusted Capacity(Historical),Bldg Over/Under(Historical),Bldg Utilization(Historical),Bldg Capacity(Target),Bldg Over/Under(Target),Bldg Utilization(Target),Org ID,Organization Name,Org Enroll,Org Adjusted Capacity (Historical),Org Over/Under(Historical),Org Utilization(Historical),Org Adjusted Capacity(Target),Org Over Under(Target),Org Utilization(Target),No. of Actual Cluster Rms Used,No. of Historical Method Cluster Rms ,No. of Target Method Cluster Rms,Pre K Cap,No. of Special Rms Used,Inclusionary
1,PS,M015,P.S. 15 - MANHATTAN,258,519,-261,50,432,-174,60,M015,P.S. 15 - MANHATTAN               ,189,412,-223,46,325,-136,58,2,1,2,18,0,
1,PS,M015,P.S. 15 - MANHATTAN,0,0,0,0,0,0,0,M094,M094 SPED - MANHATTAN             ,69,107,-38,64,107,-38,64,0,0,0,0,0,
1,PS,M015,P.S. 15 - MANHATTAN,0,0,0,0,0,0,0,MG18,EDUCATION ALLIANCE - MANHATTAN    ,,,0,,,0,,0,0,0,0,0,
1,PS,M019,P.S. 19 - MANHATTAN,0,0,0,0,0,0,0,M019,P.S. 19 - MANHATTAN               ,328,451,-123,73,383,-55,86,2,2,3,36,0,
1,PS,M019,P.S. 19 - MANHATTAN,498,745,-247,67,688,-190,72,M301,I.S. 301 - MANHATTAN              ,170,294,-124,58,305,-135,56,0,0,0,0,1,
1,PS,M020,P.S. 20 - MANHATTAN,0,0,0,0,0,0,0,M020,P.S. 20 - MANHATTAN               ,626,964,-338,65,818,-192,77,7,3,3,53,0,
1,PS,M020,P.S. 20 - MANHATTAN,0,0,0,0,0,0,0,MG06,FOOD SERVICES - MANHATTAN         ,,,0,,,0,,0,0,0,0,0,
1,PS,M020,P.S. 20 - MANHATTAN,626,964,-338,65,818,-192,77,MG12,ED ALLIANCE/DISTRICT 1 OFFICE-M   ,,,0,,,0,,0,0,0,0,0,
1,PS,M022,N.E.S.T (OLD J22) - MANHATTAN,1613,1718,-105,94,1602,11,101,M539,NEW EXPLORATIONS - M              ,1613,1718,-105,94,1602,11,101,11,4,5,0,0,
1,PS,M034,P.S. 34 - MANHATTAN,401,505,-104,79,393,8,102,M034,P.S. 34 - MANHATTAN               ,401,505,-104,79,393,8,102,1,3,3,18,0,
1,PS,M061,P.S. 61 - MANHATTAN,0,0,0,0,0,0,0,M094,M094 SPED - MANHATTAN             ,61,177,-116,34,177,-116,34,0,0,0,0,0,
1,PS,M061,P.S. 61 - MANHATTAN,0,0,0,0,0,0,0,M315,P.S. 315 - MANHATTAN              ,244,197,47,124,183,61,133,1,2,2,33,0,
1,PS,M061,P.S. 61 - MANHATTAN,552,622,-70,89,567,-15,97,M361,P.S. 361 - MANHATTAN              ,247,248,-1,100,207,40,119,0,2,2,36,0,
1,PS,M063,P.S. 63 - MANHATTAN,0,0,0,0,0,0,0,M063,P.S. 63 - MANHATTAN               ,176,390,-214,45,333,-157,53,4,1,2,18,0,
1,PS,M063,P.S. 63 - MANHATTAN,491,776,-285,63,644,-153,76,M363,P.S. 363 - MANHATTAN              ,315,386,-71,82,311,4,101,3,2,3,36,0,
1,PS,M064,P.S. 64 (OLD 71) - MANHATTAN,0,0,0,0,0,0,0,M064,P.S. 64 - MANHATTAN               ,324,356,-32,91,306,18,106,2,2,3,36,0,
1,PS,M064,P.S. 64 (OLD 71) - MANHATTAN,0,0,0,0,0,0,0,M364,P.S. 364 - MANHATTAN              ,336,327,9,103,254,82,132,1,2,3,18,0,
1,PS,M064,P.S. 64 (OLD 71) - MANHATTAN,0,0,0,0,0,0,0,M839,I.S. 839 - MANHATTAN              ,384,436,-52,88,413,-29,93,0,0,0,0,4,
1,PS,M064,P.S. 64 (OLD 71) - MANHATTAN,0,0,0,0,0,0,0,MG04,ADULT EDUCATION - MANHATTAN       ,,,0,,,0,,0,0,0,0,0,
1,PS,M064,P.S. 64 (OLD 71) - MANHATTAN,0,0,0,0,0,0,0,MG05,UFT USE - MANHATTAN               ,,,0,,,0,,0,0,0,0,0,
1,PS,M064,P.S. 64 (OLD 71) - MANHATTAN,1044,1119,-75,93,973,71,107,MG12,EDUCATIONAL ALLIANCE - MANHATTAN  ,,,0,,,0,,0,0,0,0,0,
1,PS,M064,P.S. 64 (OLD 71) - MANHATTAN,0,0,0,0,0,0,0,MG18,NENA/RYAN HLTH. CLINIC - MANHATTAN,,,0,,,0,,0,0,0,0,0,
1,PS,M110,P.S. 110 - MANHATTAN,440,516,-76,85,484,-44,91,M110,P.S. 110 - MANHATTAN              ,440,516,-76,85,484,-44,91,3,3,3,51,0,
1,PS,M134,P.S. 134 - MANHATTAN,599,756,-157,79,660,-61,91,M134,P.S. 134 - MANHATTAN              ,369,453,-84,81,413,-44,89,3,3,3,36,0,
1,PS,M134,P.S. 134 - MANHATTAN,0,0,0,0,0,0,0,M137,P.S. 137 - MANHATTAN              ,230,303,-73,76,247,-17,93,2,2,2,18,0,
1,PS,M137,P.S. 137 - MANHATTAN,690,856,-166,81,819,-129,84,M184,P.S. 184 - MANHATTAN              ,690,856,-166,81,819,-129,84,6,3,3,36,0,
1,PS,M140,P.S. 140 - MANHATTAN,0,0,0,0,0,0,0,M140,P.S. 140 - MANHATTAN              ,407,708,-301,57,562,-155,72,3,3,3,18,0,
1,PS,M140,P.S. 140 - MANHATTAN,0,0,0,0,0,0,0,MG01,DEWITT HEADSTART - MANHATTAN      ,,,0,,,0,,0,0,0,0,0,
1,PS,M140,P.S. 140 - MANHATTAN,407,708,-301,57,562,-155,72,MG13,SCHOOL SAFETY - MANHATTAN         ,,,0,,,0,,0,0,0,0,0,
1,PS,M140,P.S. 140 - MANHATTAN,0,0,0,0,0,0,0,MG18,EDUCATION ALLIANCE - MANHATTAN    ,,,0,,,0,,0,0,0,0,0,
1,PS,M142,P.S. 142 - MANHATTAN,0,0,0,0,0,0,0,M142,P.S. 142 - MANHATTAN              ,433,612,-179,71,501,-68,86,5,3,3,36,0,
1,PS,M142,P.S. 142 - MANHATTAN,703,913,-210,77,710,-7,99,M320,MANHATTAN CHARTER - M             ,270,301,-31,90,209,61,129,3,1,3,0,0,
1,PS,M142,P.S. 142 - MANHATTAN,0,0,0,0,0,0,0,MG18,EDUCATIONAL ALLIANCE - MANHATTAN  ,,,0,,,0,,0,0,0,0,0,
1,PS,M188,P.S. 188 - MANHATTAN,0,0,0,0,0,0,0,M094,M094 SPED - MANHATTAN             ,36,144,-108,25,144,-108,25,0,0,0,0,0,
1,PS,M188,P.S. 188 - MANHATTAN,0,0,0,0,0,0,0,M188,P.S. 188 - MANHATTAN              ,388,677,-289,57,585,-197,66,3,3,3,36,0,
1,PS,M188,P.S. 188 - MANHATTAN,776,1139,-363,68,963,-187,81,M330,GIRLS PREP CHARTER SCHOOL - M     ,352,318,34,111,234,118,150,6,2,3,0,0,
1,MIDDLE,M025,J.H.S. 25 - MANHATTAN,0,0,0,0,0,0,0,M378,I.S. 378 - MANHATTAN              ,271,322,-51,84,345,-74,79,0,0,0,0,0,
1,MIDDLE,M025,J.H.S. 25 - MANHATTAN,0,0,0,0,0,0,0,M509,MARTE VALLE HS - MANHATTAN,367,544,-177,67,543,-176,68,0,0,0,0,9,
1,MIDDLE,M025,J.H.S. 25 - MANHATTAN,0,0,0,0,0,0,0,M515,LOWER EAST SIDE PREP HS - M       ,562,541,21,104,549,13,102,0,0,0,0,4,
1,MIDDLE,M025,J.H.S. 25 - MANHATTAN,0,0,0,0,0,0,0,MG02,HIGH SCHOOL PLACEMENT - MANHATTAN ,,,0,,,0,,0,0,0,0,0,
1,MIDDLE,M025,J.H.S. 25 - MANHATTAN,1200,1407,-207,85,1437,-237,84,MG18,GRAND ST. SETTLEMENT - MANHATTAN  ,,,0,,,0,,0,0,0,0,0,
1,MIDDLE,M056,J.H.S. 56 - MANHATTAN,0,0,0,0,0,0,0,M292,J.H.S. 292 - MANHATTAN            ,422,910,-488,46,805,-383,52,0,0,0,0,8,
1,MIDDLE,M056,J.H.S. 56 - MANHATTAN,0,0,0,0,0,0,0,M332,I.S. 332 - MANHATTAN              ,115,343,-228,34,323,-208,36,0,0,0,0,3,
1,MIDDLE,M056,J.H.S. 56 - MANHATTAN,782,1630,-848,48,1492,-710,52,M345,I.S. 345 - MANHATTAN              ,245,377,-132,65,364,-119,67,0,0,0,0,4,
1,MIDDLE,M056,J.H.S. 56 - MANHATTAN,0,0,0,0,0,0,0,MG05,UFT USE - MANHATTAN               ,,,0,,,0,,0,0,0,0,0,
1,MIDDLE,M060,J.H.S. 60 - MANHATTAN,723,1183,-460,61,1136,-413,64,M330,GIRLS PREP CHARTER SCHOOL - M,125,334,-209,37,302,-177,41,0,0,0,0,0,
1,MIDDLE,M060,J.H.S. 60 - MANHATTAN,0,0,0,0,0,0,0,M450,EASTSIDE COMMUNITY HS - M         ,598,849,-251,70,834,-236,72,0,0,0,0,4,
