QUEENS CONDOMINIUM PROPERTY Boro-Block-Lot,QUEENS CONDOMINIUM PROPERTY Condo Section,QUEENS CONDOMINIUM PROPERTY Address,QUEENS CONDOMINIUM PROPERTY Neighborhood,QUEENS CONDOMINIUM PROPERTY Building Classification,QUEENS CONDOMINIUM PROPERTY Total Units,QUEENS CONDOMINIUM PROPERTY Year Built,QUEENS CONDOMINIUM PROPERTY Gross SqFt,QUEENS CONDOMINIUM PROPERTY Est. Gross Income,QUEENS CONDOMINIUM PROPERTY Gross Income per SqFt,QUEENS CONDOMINIUM PROPERTY Full Market Value,QUEENS CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
4-00031-7501,478-R1,"5 15 49 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,R2-WALK-UP,47,2005,62866,1885980,30,9140004,145,4-00342-0024,"36 06 30 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D7-ELEVATOR,66,1929,61000,745000,12.21,2800000,45.9,1.5,4-00638-0025,"35 02 35 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,C7-WALK-UP,61,1926,43300,730295,16.87,2970000,69,1.7
4-00032-7501,487-R1,"5 03 50 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,R4-ELEVATOR,13,2006,18375,378900,20.62,1699509,92,4-00531-0060,"31 64 21 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,52,2002,46333,852831,18.41,3470000,75,2,4-00531-0059,"14 56 31 DRIVE
Queens, New York
(40.749436300045204, -73.79729979984586)",ASTORIA,D6-ELEVATOR,63,2001,61700,1272343,20.62,5690000,92,2
4-00134-7501,498-R1,"49 07 43 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,R4-ELEVATOR,15,2005,15610,221662,14.2,878994,56,4-02289-0020,"48 11 45 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C1-WALK-UP,23,1928,16400,162364,9.9,549000,33.5,0.55,4-00192-0007,"45 55 41 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C1-WALK-UP,24,1931,16840,229061,13.6,908000,54,0.45
4-00159-7501,93-R1,"41 21 42 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,R4-ELEVATOR,52,1936,54986,588350,10.7,1990002,36.2,4-00184-0023,"41 08 42 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1937,64505,647986,10.05,2190000,34,0.05,4-00184-0029,"41 22 42 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1937,61770,775703,12.56,2920000,47.3,0.05
4-00159-7502,92-R1,"41 07 42 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,R4-ELEVATOR,60,1936,58926,618723,10.5,2089999,35.5,4-00163-0014,"43 23 42 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1942,61320,975601,15.91,3970000,65,0.1,,,,,,,,,,,,
4-00160-7501,308-R1,"43 30 BEACH 46 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,R4-ELEVATOR,93,1930,69337,870179,12.55,3269994,47.2,4-00184-0029,"41 22 42 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1937,61770,775703,12.56,2920000,47.3,0.25,4-00189-0019,"43 09 40 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,77,1932,66714,913858,13.7,3440000,52,0.25
4-00184-7501,167-R1,"41 09 41 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,R4-ELEVATOR,64,1938,59920,805924,13.45,3030005,51,4-00134-0001,"41 46 43 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D7-ELEVATOR,62,1932,45900,597626,13.02,2250000,49,0.4,4-00189-0019,"43 09 40 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,77,1932,66714,913858,13.7,3440000,52,0.1
4-00196-7501,286-R1,"47 35 41 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,R4-ELEVATOR,30,1988,27636,632864,22.9,2830001,102,4-02225-0030,"109 19 72 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D7-ELEVATOR,18,1986,18700,301631,16.13,1230000,66,4.5,4-03166-0067,"68 12 AUSTIN STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,17,1998,16949,323846,19.11,1450000,86,3.85
4-00199-7501,97-R1,"47 55 39 PLACE
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,R4-ELEVATOR,47,1939,42000,550200,13.1,2070003,49.3,4-00193-0055,"45 54 41 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1936,43600,573062,13.14,2150000,49.3,0.15,4-00199-0052,"47 46 40 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,55,1939,50400,596316,11.83,2100000,41.7,0
4-00415-7501,475-R2,"41 26 27 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,R4-ELEVATOR,35,0,785,0,0,16660,21.22,4-00343-0024,"28 20 36 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D1-ELEVATOR,72,1929,78660,745344,9.48,2460000,31.3,0.5,4-00342-0018,"29 02 29 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D7-ELEVATOR,77,1929,70000,967959,13.83,3840000,55,0.55
