Year,Staten Island Ferry,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Hudson River Greenway at 50th St.,"9th, 10th, 11th, 12th Avenues at 50th St.",Grand Total
1980,207,623,,146,344,,761,"2,081"
1985,231,913,,392,759,,"1,145","3,440"
1986,224,"1,542",,420,780,,"1,256","4,222"
1987,327,"1,633",,368,436,,"1,565","4,329"
1988,244,988,,282,330,,"1,206","3,050"
1989,202,690,,240,423,,"1,606","3,161"
1990,170,"1,075",,248,227,,"1,084","2,804"
1991,341,"1,183",,N/A,602,,"1,741","3,867"
1992,290,"1,073",,362,737,,"1,802","4,264"
1993,293,"1,193",,361,709,,"2,196","4,752"
1994,241,"1,305",,439,672,,"1,881","4,538"
1995,386,"1,715",,664,964,,"1,736","5,465"
1996,387,"1,613",,791,"1,314",,"1,579","5,684"
1997,318,"1,698",,"1,022",786,,"1,679","5,503"
1998,335,"1,115",,966,692,,"1,392","4,500"
1999,366,"1,109",,"1,004",820,,"2,039","5,338"
2000,389,762,,733,546,,"1,880","4,310"
2001,253,867,147,792,667,"2,113",,"4,839"
2002,104,981,546,"1,117",517,"2,366",,"5,631"
2003,354,"1,049",661,"1,387","1,331","2,885",,"7,667"
2004,303,"1,422",856,974,"1,099","2,686",,"7,340"
2005,290,"1,349",829,"1,609",976,"2,037",,"7,090"
2006,105,"1,284","1,578","2,566","1,158","1,958",,"8,649"
2007,252,"1,626","1,313","2,257","1,292","2,586",,"9,326"
2008,235,"1,688","2,210","2,903","1,891","3,400",,"12,327"
2009,256,"2,294","2,606","3,823","2,225","4,289",,"15,493"
2010,378,"2,153","2,984","4,296","2,626","5,055",,"17,492"
2011,368,"2,322","3,617","4,515","2,904","5,120",,"18,846"
