Bronx,2005,2006,2007,2008,2009,Total
40th Precinct,64,68,59,35,53,279
41st Precinct,23,19,29,43,51,165
42nd Precinct,19,38,33,46,35,171
43rd Precinct,88,57,84,64,61,354
44th Precinct,79,117,129,121,94,540
45th Precinct,23,25,20,29,23,120
46th Precinct,83,76,90,84,99,432
47th Precinct,47,59,82,106,96,390
48th Precinct,31,28,58,43,55,215
49th Precinct,44,29,26,35,30,164
50th Precinct,33,28,27,27,27,142
52nd Precinct,50,73,72,97,88,380
Precincts Total,584,617,709,730,712,3352
Task Force,18,12,15,7,11,63
Borough HQ,3,5,11,6,5,30
Anti-crime Unit,11,6,13,7,7,44
Patrol Borough Bronx Total,616,640,748,750,735,3489
