Type of Abuse of Authority Allegation,Substantiated Number,Sunstantiated rate,Exonerated number,Exonerated rate,Unsubstantiated number,Unsubstantiated rate,Unfounded number,Unfounded rate,Officer Unidentified number,Officer Unidentified rate,Miscellaneous,Miscellaneous rate
Gun fired,0,0%,13,59.1%,5,22.7%,0,0%,0,0%,4,18.2%
Gun pointed,1,0.4%,129,55.8%,24,10.4%,40,17.3%,28,12.1%,9,3.9%
Nightstick as club,2,1.4%,30,21.3%,20,14.2%,61,43.3%,26,18.4%,2,1.4%
Gun as club,2,9.1%,2,9.1%,5,22.7%,9,40.9%,3,13.6%,1,4.5%
Police shield,0,0%,2,40%,0,0%,1,20%,2,40%,0,0%
Vehicle,1,4.5%,5,22.7%,2,9.1%,11,50%,3,13.6%,0,0%
Other blunt instrument as club,0,0%,0,0%,6,17.6%,20,58.8%,7,20.6%,1,2.9%
Hit against inanimate object,1,1.1%,15,16.9%,28,31.5%,40,44.9%,5,5.6%,0,0%
Chokehold,2,2.4%,1,1.2%,13,15.3%,61,71.8%,7,8.2%,1,1.2%
Pepper spray,4,2%,145,72.5%,17,8.5%,18,9%,16,8%,0,0%
Physical force*,33,1.4%,1242,54.3%,367,16%,421,18.4%,180,7.9%,46,2%
Radio as club,1,3.6%,1,3.6%,10,35.7%,13,46.4%,3,10.7%,0,0%
Flashlight as club,0,0%,2,14.3%,5,35.7%,6,42.9%,1,7.1%,0,0%
Handcuffs too tight,0,0%,4,7.5%,15,28.3%,25,47.2%,8,15.1%,1,1.9%
Nonlethal restraining device,0,0%,10,76.9%,0,0%,2,15.4%,1,7.7%,0,0%
Animal,0,0%,3,37.5%,1,12.5%,1,12.5%,3,37.5%,0,0%
Other,0,0%,16,44.4%,3,8.3%,11,30.6%,3,8.3%,3,8.3%
Total,47,1.4%,1620,49.2%,521,15.8%,740,22.5%,296,9%,68,2.1%
"* ""Physical force"" includes: dragged/pulled, pushed/shoved/threw, beat, punched/kicked/kneed, slapped, fought, and bit. ",,,,,,,,,,,,
