PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,
After-School Programs,Beacon,PS 11,Bronx,Alianza Dominicana Inc.,718.590.0101,6 and up,"1257 Ogden Avenue
10452
(40.83927054580515, -73.92578827979769)"
After-School Programs,Beacon,JHS 349/345,Bronx,Aspira of New York,718.842.8289,6 and up,"345 Brook Avenue
10454
(40.81004862442692, -73.91782345430987)"
After-School Programs,Beacon,MS 117,Bronx,Community Association Progressive Dominicans,718.466.1806,6 and up,"1865 Morris Avenue
10453
(40.84854841840716, -73.90843506819625)"
After-School Programs,Beacon,Dr. Charles R. Drew Educational Complex,Bronx,Directions for Our Youth,718.293.4344,6 and up,"3630 3rd Avenue
10456
(40.833636708483105, -73.90440606498304)"
After-School Programs,Beacon,MS 45,Bronx,Good Shepherd Services,718.367.9577,6 and up,"2502 Lorillard Place
10466
(40.89080973018497, -73.84600906306775)"
After-School Programs,Beacon,MS 201,Bronx,Graham Windham ,718.861.4671 ext. 230,6 and up,"730 Bryant Avenue
10474
(40.81532077565176, -73.88570625217169)"
After-School Programs,Beacon,MS 142,Bronx,Mosholu Montefiore Community Center,718.798.6670,6 and up,"3750 Baychester Avenue
10466
(40.88554553526394, -73.84075720750138)"
After-School Programs,Beacon,MS 113,Bronx,Mosholu Montefiore Community Center,718.654.5881,6 and up,"3710 Barnes Avenue
10467
(40.88086639044798, -73.86088460706405)"
After-School Programs,Beacon,PS 8,Bronx,Mosholu Montefiore Community Center,718.329.0595,6 and up,"3710 Briggs Street
10467
(40.8770479121315, -73.87153250082423)"
After-School Programs,Beacon,PS 86,Bronx,Mosholu Montefiore Community Center,718.563.7410,6 and up,"2756 Reservoir Avenue
14068
(43.03530268507092, -78.75038750068256)"
After-School Programs,Beacon,Wings Academy,Bronx,Phipps Community Development,718.542.8333,6 and up,"122 180th Street
10460
(40.84309034804119, -73.87860282506028)"
After-School Programs,Beacon,IS 192,Bronx,Phipps Community Development,718.239.4080,6 and up,"650 Hollywood Avenue
10465
(40.826552445151265, -73.81839016541218)"
After-School Programs,Beacon,IS 217,Bronx,"Simpson Street Development Association, Inc. ",718.589.1510,6 and up,"977 Fox Street
10459
(40.822428225918, -73.89392410102988)"
After-School Programs,Beacon,IS 220,Brooklyn,Chinese American Planning Council,718.436.5270,6 and up,"4812 9th Avenue
11220
(40.64083540267695, -74.00045650048278)"
After-School Programs,Beacon,PS 269,Brooklyn,Church Avenue Merchants Block Association Inc. ,718.462.2597 ext.232,6 and up,"1957 Nostrand Avenue
11210
(40.637924792990376, -73.94816819471524)"
After-School Programs,Beacon,IS 271,Brooklyn,Church Avenue Merchants Block Association Inc. ,718.345.5904,6 and up,"1137 Herkimer Street
11233
(40.677823649731764, -73.91583166723669)"
After-School Programs,Beacon,IS 291,Brooklyn,Coalition for Hispanic Family Services,718.574.0361 ext.131,6 and up,"231 Palmetto Street
11237
(40.704095739826585, -73.92099423399668)"
After-School Programs,Beacon,IS 302,Brooklyn,Cypress Hills Local Develoment Corporation ,718.277.3522,6 and up,"350 Linwood Street
11208
(40.67705035241505, -73.88343568072109)"
After-School Programs,Beacon,JHS 166,Brooklyn,East New York Development Corporation,718.257.7003,6 and up,"800 Van Siclen Ave
11207
(40.66022169812547, -73.88548545784624)"
After-School Programs,Beacon,JHS 50,Brooklyn,El Puente De Williamsburg,718.486.3936,6 and up,"198 Third Street
11211
(40.71503097778141, -73.95949546726354)"
After-School Programs,Beacon,IS 96,Brooklyn,Federation of Italian American Organizations of Brooklyn Inc. ,718.232.2266,6 and up,"99 Avenue
P 11204
(40.619055848049015, -73.98479859887618)"
After-School Programs,Beacon,PS 15,Brooklyn,Good Shepherd Services,718.522.6910,6 and up,"71 Sullivan Street
11231
(40.67758744585575, -74.01192870924359)"
After-School Programs,Beacon,JHS 265,Brooklyn,Goodwill Industries of Greater NY,718.237.0852,6 and up,"101 Park Ave
11205
(40.6963585351778, -73.97572262403403)"
After-School Programs,Beacon,PS 288,Brooklyn,Heartshare Human Services,718.714.0103,6 and up,"2950 25th Street
11204
(40.619055848049015, -73.98479859887618)"
After-School Programs,Beacon,IS 259,Brooklyn,Heartshare Human Services,718.836.3620,6 and up,"7301 Fort Hamilton Pkwy
11228
(40.62673254824293, -74.01500752094381)"
After-School Programs,Beacon,IS 218,Brooklyn,Police Athletic League (PAL),718.277.1928,6 and up,"370 Fountain Avenue
11208
(40.67070199017694, -73.8742292684109)"
After-School Programs,Beacon,JHS 275 ,Brooklyn,Police Athletic League (PAL),718.485.2719,6 and up,"985 Rockaway Avenue
11212
(40.656451255408264, -73.90732282830548)"
After-School Programs,Beacon,IS 323,Brooklyn,Research Foundation of CUNY,718.498.8913,6 and up,"210 Chester Avenue
11212
(40.66664113258903, -73.91096479217188)"
