Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort,Total Regents Num,Total Regents Pct of cohort,Total Regents Pct of grads,Advanced Regents Num,Advanced Regents Pct of cohort,Advanced Regents Pct of grads,Regents w/o Advanced Num,Regents w/o Advanced Pct of cohort,Regents w/o Advanced Pct of grads,Local Num,Local Pct of cohort,Local Pct of grads,Still Enrolled Num,Still Enrolled Pct of cohort,Dropped Out Num,Dropped Out Pct of cohort
2001,4 Year  June,Asian,"9,807","6,501",66.30%,"5,261",53.60%,80.90%,"3,277",33.40%,50.40%,"1,984",20.20%,30.50%,"1,245",12.70%,19.20%,"1,934",19.70%,"1,281",13.10%
2001,5 Year,Asian,"9,807","7,377",75.20%,"5,618",57.30%,76.20%,"3,369",34.40%,45.70%,"2,249",22.90%,30.50%,"1,767",18.00%,24.00%,582,5.90%,"1,705",17.40%
2001,6 Year,Asian,"9,807","7,599",77.50%,"5,691",58.00%,74.90%,"3,380",34.50%,44.50%,"2,311",23.60%,30.40%,"1,921",19.60%,25.30%,202,2.10%,"1,856",18.90%
2002,4 Year  June,Asian,"10,554","7,082",67.10%,"6,062",57.40%,85.60%,"3,601",34.10%,50.80%,"2,461",23.30%,34.80%,"1,025",9.70%,14.50%,"2,014",19.10%,"1,257",11.90%
2002,5 Year,Asian,"10,554","8,054",76.30%,"6,554",62.10%,81.40%,"3,743",35.50%,46.50%,"2,811",26.60%,34.90%,"1,521",14.40%,18.90%,627,5.90%,"1,633",15.50%
2002,6 Year,Asian,"10,554","8,260",78.30%,"6,632",62.80%,80.30%,"3,754",35.60%,45.40%,"2,878",27.30%,34.80%,"1,649",15.60%,20.00%,278,2.60%,"1,765",16.70%
2003,4 Year  June,Asian,"10,403","7,467",71.80%,"6,568",63.10%,88.00%,"4,274",41.10%,57.20%,"2,294",22.10%,30.70%,899,8.60%,12.00%,"1,867",17.90%,999,9.60%
2003,5 Year,Asian,"10,403","8,372",80.50%,"7,062",67.90%,84.40%,"4,410",42.40%,52.70%,"2,652",25.50%,31.70%,"1,310",12.60%,15.60%,562,5.40%,"1,340",12.90%
2003,6 Year,Asian,"10,408","8,569",82.30%,"7,150",68.70%,83.40%,"4,420",42.50%,51.60%,"2,730",26.20%,31.90%,"1,419",13.60%,16.60%,223,2.10%,"1,434",13.80%
2004,4 Year  June,Asian,"10,897","8,075",74.10%,"7,188",66.00%,89.00%,"4,729",43.40%,58.60%,"2,459",22.60%,30.50%,887,8.10%,11.00%,"1,946",17.90%,808,7.40%
2004,4 Year August,Asian,"10,897","8,455",77.60%,"7,414",68.00%,87.70%, n/a , n/a , n/a , n/a , n/a , n/a ,"1,043",9.60%,12.30%,"1,566",14.40%,808,7.40%
2004,5 Year,Asian,"10,891","8,999",82.60%,"7,719",70.90%,85.80%,"4,860",44.60%,54.00%,"2,859",26.30%,31.80%,"1,280",11.80%,14.20%,537,4.90%,"1,100",10.10%
2004,6 Year,Asian,"10,884","9,221",84.70%,"7,829",71.90%,84.90%,"4,864",44.70%,52.70%,"2,965",27.20%,32.20%,"1,392",12.80%,15.10%,293,2.70%,"1,191",10.90%
2005,4 Year  June,Asian,"11,075","8,511",76.80%,"7,640",69.00%,89.80%,"4,850",43.80%,57.00%,"2,790",25.20%,32.80%,871,7.90%,10.20%,"1,711",15.40%,656,5.90%
2005,4 Year August,Asian,"11,075","8,876",80.10%,"7,867",71.00%,88.60%,"4,903",44.30%,55.20%,"2,964",26.80%,33.40%,"1,009",9.10%,11.40%,"1,346",12.20%,656,5.90%
2005,5 Year,Asian,"11,124","9,403",84.50%,"8,200",73.70%,87.20%,"4,991",44.90%,53.10%,"3,209",28.80%,34.10%,"1,203",10.80%,12.80%,453,4.10%,"1,026",9.20%
2005,6 Year,Asian,"11,094","9,592",86.50%,"8,299",74.80%,86.50%,"4,997",45.00%,52.10%,"3,302",29.80%,34.40%,"1,293",11.70%,13.50%,194,1.70%,"1,066",9.60%
2006,4 Year  June,Asian,"11,368","8,969",78.90%,"8,337",73.30%,93.00%,"5,083",44.70%,56.70%,"3,254",28.60%,36.30%,632,5.60%,7.00%,"1,554",13.70%,710,6.20%
2006,4 Year August,Asian,"11,368","9,364",82.40%,"8,603",75.70%,91.90%,"5,146",45.30%,55.00%,"3,457",30.40%,36.90%,761,6.70%,8.10%,"1,163",10.20%,706,6.20%
2006,5 Year  June,Asian,"11,445","9,785",85.50%,"8,880",77.60%,90.80%,"5,188",45.30%,53.00%,"3,692",32.30%,37.70%,905,7.90%,9.20%,441,3.90%,"1,018",8.90%
2006,5 Year August,Asian,"11,445","9,851",86.10%,"8,921",77.90%,90.60%,"5,188",45.30%,52.70%,"3,733",32.60%,37.90%,930,8.10%,9.40%,390,3.40%,"1,001",8.70%
2007,4 Year  June,Asian,"11,967","9,494",79.30%,"9,006",75.30%,94.90%,"5,384",45.00%,56.70%,"3,622",30.30%,38.20%,488,4.10%,5.10%,"1,642",13.70%,716,6.00%
2007,4 Year August,Asian,"11,967","9,925",82.90%,"9,324",77.90%,93.90%,"5,439",45.40%,54.80%,"3,885",32.50%,39.10%,601,5.00%,6.10%,"1,218",10.20%,711,5.90%
2001,4 Year  June,Black,"26,107","10,477",40.10%,"5,481",21.00%,52.30%,"1,308",5.00%,12.50%,"4,173",16.00%,39.80%,"5,000",19.20%,47.70%,"8,750",33.50%,"5,956",22.80%
2001,5 Year,Black,"26,107","12,990",49.80%,"5,941",22.80%,45.70%,"1,332",5.10%,10.30%,"4,609",17.70%,35.50%,"7,065",27.10%,54.40%,"3,734",14.30%,"8,058",30.90%
2001,6 Year,Black,"26,107","13,815",52.90%,"6,072",23.30%,44.00%,"1,335",5.10%,9.70%,"4,737",18.10%,34.30%,"7,797",29.90%,56.40%,"1,832",7.00%,"9,015",34.50%
2002,4 Year  June,Black,"25,676","11,012",42.90%,"6,413",25.00%,58.20%,"1,287",5.00%,11.70%,"5,126",20.00%,46.50%,"4,616",18.00%,41.90%,"8,777",34.20%,"4,786",18.60%
2002,5 Year,Black,"25,676","13,662",53.20%,"7,070",27.50%,51.70%,"1,328",5.20%,9.70%,"5,742",22.40%,42.00%,"6,699",26.10%,49.00%,"3,843",15.00%,"6,678",26.00%
2002,6 Year,Black,"25,676","14,564",56.70%,"7,212",28.10%,49.50%,"1,330",5.20%,9.10%,"5,882",22.90%,40.40%,"7,459",29.10%,51.20%,"2,058",8.00%,"7,422",28.90%
2003,4 Year  June,Black,"25,579","12,220",47.80%,"7,409",29.00%,60.60%,"1,784",7.00%,14.60%,"5,625",22.00%,46.00%,"4,811",18.80%,39.40%,"8,574",33.50%,"3,949",15.40%
2003,5 Year,Black,"25,579","14,886",58.20%,"8,142",31.80%,54.70%,"1,805",7.10%,12.10%,"6,337",24.80%,42.60%,"6,744",26.40%,45.30%,"3,646",14.30%,"5,673",22.20%
2003,6 Year,Black,"25,624","15,801",61.70%,"8,342",32.60%,52.80%,"1,805",7.00%,11.40%,"6,537",25.50%,41.40%,"7,459",29.10%,47.20%,"1,778",6.90%,"6,317",24.70%
2004,4 Year  June,Black,"25,791","13,258",51.40%,"8,460",32.80%,63.80%,"2,000",7.80%,15.10%,"6,460",25.00%,48.70%,"4,798",18.60%,36.20%,"8,323",32.30%,"3,390",13.10%
2004,4 Year August,Black,"25,791","14,428",55.90%,"8,878",34.40%,61.50%, n/a , n/a , n/a , n/a , n/a , n/a ,"5,551",21.50%,38.50%,"7,154",27.70%,"3,389",13.10%
2004,5 Year,Black,"26,051","16,053",61.60%,"9,317",35.80%,58.00%,"2,022",7.80%,12.60%,"7,295",28.00%,45.40%,"6,736",25.90%,42.00%,"3,137",12.00%,"4,879",18.70%
2004,6 Year,Black,"26,040","17,028",65.40%,"9,545",36.70%,56.10%,"2,023",7.80%,11.90%,"7,522",28.90%,44.20%,"7,483",28.70%,43.90%,"1,814",7.00%,"5,586",21.50%
