Year of birth,GENDER,ETHNICITY,CHILD FIRST NAME,COUNT,RANK
2009,MALE,HISPANIC,JAYDEN,461,1
2009,MALE,HISPANIC,JUSTIN,338,2
2009,MALE,HISPANIC,ANGEL,299,3
2009,MALE,HISPANIC,CHRISTOPHER,295,4
2009,MALE,HISPANIC,MATTHEW,273,5
2009,MALE,HISPANIC,ALEXANDER,266,6
2009,MALE,HISPANIC,ANTHONY,261,7
2009,MALE,HISPANIC,DANIEL,261,7
2009,MALE,HISPANIC,ETHAN,256,8
2009,MALE,HISPANIC,DAVID,249,9
2009,MALE,HISPANIC,BRANDON,232,10
2009,MALE,HISPANIC,JOSHUA,224,11
2009,MALE,HISPANIC,MICHAEL,213,12
2009,MALE,HISPANIC,KEVIN,212,13
2009,MALE,HISPANIC,JONATHAN,200,14
2009,MALE,HISPANIC,LUIS,200,14
2009,MALE,HISPANIC,CHRISTIAN,188,15
2009,MALE,HISPANIC,SEBASTIAN,187,16
2009,MALE,HISPANIC,JACOB,185,17
2009,MALE,HISPANIC,JOSE,169,18
2009,MALE,HISPANIC,GABRIEL,165,19
2009,MALE,HISPANIC,JOSEPH,164,20
2009,MALE,HISPANIC,AIDEN,157,21
2009,MALE,HISPANIC,ELIJAH,155,22
2009,MALE,HISPANIC,ADRIAN,153,23
2009,MALE,HISPANIC,CARLOS,144,24
2009,MALE,HISPANIC,DYLAN,140,25
2009,MALE,HISPANIC,BRYAN,135,26
2009,MALE,HISPANIC,JOHN,130,27
2009,MALE,HISPANIC,RYAN,130,27
2009,MALE,HISPANIC,XAVIER,129,28
2009,MALE,HISPANIC,JEREMY,126,29
2009,MALE,HISPANIC,ANDREW,125,30
2009,MALE,HISPANIC,JEREMIAH,124,31
2009,MALE,HISPANIC,MIGUEL,115,32
2009,MALE,HISPANIC,JOEL,114,33
2009,MALE,HISPANIC,STEVEN,114,33
2009,MALE,HISPANIC,JULIAN,112,34
2009,MALE,HISPANIC,JASON,110,35
2009,MALE,HISPANIC,JUAN,107,36
2009,MALE,HISPANIC,WILLIAM,102,37
2009,MALE,HISPANIC,LUCAS,101,38
2009,MALE,HISPANIC,JESUS,100,39
2009,MALE,HISPANIC,NICHOLAS,97,40
2009,MALE,HISPANIC,ALEX,95,41
2009,MALE,HISPANIC,BRIAN,93,42
2009,MALE,HISPANIC,AARON,88,43
2009,MALE,HISPANIC,ISAIAH,86,44
2009,MALE,HISPANIC,DIEGO,85,45
2009,MALE,HISPANIC,ERICK,78,46
2009,MALE,HISPANIC,EDWIN,76,47
2009,MALE,HISPANIC,SAMUEL,76,47
2009,MALE,HISPANIC,NOAH,75,48
2009,MALE,HISPANIC,ALEJANDRO,74,49
2009,MALE,HISPANIC,JAMES,74,49
2009,MALE,HISPANIC,JORDAN,73,50
2009,MALE,HISPANIC,EDUARDO,71,51
2009,MALE,HISPANIC,ISAAC,71,51
2009,MALE,HISPANIC,CRISTIAN,68,52
2009,MALE,HISPANIC,EVAN,66,53
2009,MALE,HISPANIC,NATHANIEL,64,54
2009,MALE,HISPANIC,TYLER,63,55
2009,MALE,HISPANIC,ALEXIS,62,56
2009,MALE,HISPANIC,BENJAMIN,62,56
2009,MALE,HISPANIC,VICTOR,62,56
2009,MALE,HISPANIC,EMMANUEL,61,57
2009,MALE,HISPANIC,JADEN,58,58
