Facility,Zip code,Telephone,Website,Location 1
Bronx Lebanon Hospital,10456,(718) 860-4634/4635,www.nyc.gov/hra,"1316 Fulton Avenue
Bronx, New York
(40.83268001616084, -73.90308637583817)"
Lincoln Medical and Mental Health Center,10451,(718) 585-7872/7920,www.nyc.gov/hra,
North Central Bronx Hospital,10467,(718) 920-1070,www.nyc.gov/hra,
Morrisania,10452,(718) 960-2799/2752,www.nyc.gov/hra,"1225 Gerard Avenue
Bronx, New York
(40.83590638794867, -73.92003403701939)"
Boerum Hill,11217,(718) 623-7427/7428,www.nyc.gov/hra,"35 Fourth Avenue
Brooklyn, New York
(40.683369398914, -73.97889237443108)"
Coney Island,11224,(718) 333-3000/3001,www.nyc.gov/hra,"30 50 West 21st Street
Brooklyn, New York
(42.43318899977248, -78.74864600041258)"
East New York,11207,(718) 922-8292/8293,www.nyc.gov/hra,"2094 Pitkin Avenue
Brooklyn, New York
(40.671962495106705, -73.89520529393025)"
Bushwick,11206,(718) 963-4454,www.nyc.gov/hra,"30 Thornton Street
Brooklyn, New York
(40.7009546040378, -73.94372615229187)"
Bellevue Hospital,10016,(212) 679-7424,www.nyc.gov/hra,
Chinatown Medicaid Office,10002,(212) 334-6114,www.nyc.gov/hra,"212 334
New York, New York
(40.82618421751, -72.94013418541365)"
Metropolitan Hospital,10029,(212) 423-7006,www.nyc.gov/hra,"1901 First Avenue 1st Floor
New York, New York
(40.784557024104835, -73.9437956536432)"
NY Presbyterian Hospital Health and Human Services Office,10031,(212) 342-5102/5103,www.nyc.gov/hra,
Manhattanville Medicaid Office,10031,(212) 939-0207/0208,www.nyc.gov/hra,"520 530 West 135th Street
New York, New York
(40.756053999992105, -73.9869510002884)"
Elmhurst Hospital,11373,(718) 476-5904,www.nyc.gov/hra,"79 01 Broadway
Elmhurst, New York
(42.11966800007809, -79.29240600023672)"
Rockaway,11692,(718) 634-6910,www.nyc.gov/hra,"219 Beach 59th Street
Arverne, New York
(40.592516801714936, -73.78903990117873)"
