SITE_NAME,SITE_NUMBER,VOTER_ENTRANCE,HANDICAP_ENTRANCE,STREET_NUMBER,STREET_NAME,STREET_SUFFIX,SITE_STATUS,CITY,STATE,ZIP_CODE,LOCATION,BOROUGH
Coler Hospital,00001,1 Bird S Coler Hospital,Parking Lot,900,Main Street,,A,New York,,10044,"(40.769624, -73.941294)",Manhattan
Goldwater Hospital,00004,1 Goldwater Hospital,1 Goldwater Hospital,1,Main Street,,A,New York,,10044,"(40.754908, -73.957131)",Manhattan
Chryste Field House,00006,533 West 218 Street,218 Street & Broadway,533,West 218 Street,,A,New York,,10034,"(40.871929, -73.915807)",Manhattan
PS 751,00007,113 East 4 Street,113 East 4 Street,113,East 4 Street,,A,New York,,10003,"(40.725731, -73.988303)",Manhattan
The Heritage,00008,1295 5 Avenue,1295 5 Avenue,1295,5 Avenue,,A,New York,,10029,"(40.797119, -73.949042)",Manhattan
Bard H.S.E.C.- 97,00009,525 East Houston Street,Mangin Street,525,East Houston Street,,A,New York,,10002,"(40.718889, -73.975372)",Manhattan
Westbeth  Housing,00013,155 Bank Street,155 Bank Street,155,Bank Street,,A,New York,,10014,"(40.736092, -74.009173)",Manhattan
JASA Community Ctr,00016,200 East 5 Street,200 East 5 Street,200,East 5 Street,,A,New York,,10003,"(40.72757, -73.99085)",Manhattan
Manhattan North,00017,2036 Amsterdam Avenue,2036 Amsterdam Avenue,2036,Amsterdam Avenue,,A,New York,,10032,"(40.835269, -73.940293)",Manhattan
Los Tres Unidos,00018,22 East 112 Street,22 East 112 Street,22,East 112 Street,,A,New York,,10029,"(40.797703, -73.947323)",Manhattan
HS Fashion Industry,00019,225 West 24 Street,225 West 24 Street,225,West 24 Street,,A,New York,,10011,"(40.745153, -73.99607)",Manhattan
PS 92,00020,222 West 134 Street,West 133 Street,222,West 134 Street,,A,New York,,10030,"(40.814994, -73.945069)",Manhattan
PS 84,00021,32 West  92 Street,32 West  92 Street,32,West 92 Street,,A,New York,,10025,"(40.789539, -73.967603)",Manhattan
Convent Avenue Bapti,00023,425 West 144 Street,425 West 144 Street,425,West 144 Street,,A,manhattan,,10031,"(40.823821, -73.94633)",Manhattan
PS 206,00025,508 East 120 Street,508 East 120 Street,508,East 120 Street,,A,New York,,10035,"(40.797508, -73.930973)",Manhattan
PS 52,00028,650 Academy Street,Broadway,650,Academy Street,,A,New York,,10034,"(40.866053, -73.924835)",Manhattan
Washington Sq SE Ap,10007,505 LaGuardia Place,505 LaGuardia Place,505,Laguardia Place,,A,New York,,10012,"(40.727666, -73.999282)",Manhattan
Bayard Rustin H S,10099,351 West 18 Street,351 West 18 Street,351,West 18 Street,,A,New York,,10011,"(40.742867, -74.002136)",Manhattan
HS of Graphic Arts,10100,West 50 St (9th & 10th Ave),West 50 St,439,West 49 Street,,A,New York,,10019,"(40.76337, -73.990593)",Manhattan
The Door,10115,555 Broome Street,555 Broome Street,121,6 Avenue,,A,New York,,10013,"(40.723903, -74.00469)",Manhattan
Lesbian And Gay Ctr,10119,208 West 13 Street,208 West 13 Street,208,West 13 Street,,A,New York,,10011,"(40.738033, -74.000603)",Manhattan
Hayden Hall,10121,33 Washington Square West,33 Washington Square West,33,Washington Square West,,A,New York,,10011,"(40.731545, -73.999192)",Manhattan
Prospect Tower,10131,45 Tudor City Place,45 Tudor City Place,45,Tudor City Place,,A,New York,,10017,"(40.74917, -73.970333)",Manhattan
Sirovich Senior Center,10139,331 East 12 Street,331 East 12 Street,331,East 12 Street,,A,New York,,10003,"(40.730663, -73.985044)",Manhattan
Brachetti Plaza,10141,296 East 4 Street,296 East 4 Street,296,East 4 Street,,A,New York,,10009,"(40.722496, -73.980699)",Manhattan
Compos Community Ctr,10142,611 East 13 Street,611 East 13 Street,611,East 13 Street,,A,New York,,10009,"(40.728633, -73.978244)",Manhattan
United Nations Plaza,10143,860 United Nations Plaza,860 United Nations Plaza,860,United Nations Plaza,,A,New York,,10017,"(40.752691, -73.966942)",Manhattan
