Rank,2005 Number of Officers,2005 Percent of Subtotal,2005 NYPD Population 2005,2006 Number of Officers,2006 Percent of Subtotal,2006 NYPD Population 2006,2007 Number of Officers,2007 Percent of Subtotal,2007 NYPD Population 2007,2008 Number of Officers,2008 Percent of Subtotal,2008 NYPD Population 2008,2009 Number of Officers,2009 Percent of Subtotal,2009 NYPD Population 2009
Police officer,240,65%,64.8%,248,71.5%,65.7%,212,70.9%,65.8%,134,61.2%,65%,199,72.4%,64%
Detective 3,40,10.8%,10.5%,30,8.6%,9.3%,17,5.7%,8.7%,26,11.9%,9%,11,4%,9.4%
Detective 2,0,0%,1.8%,3,0.9%,2.2%,1,0.3%,2.6%,4,1.8%,3%,3,1.1%,3.1%
Detective 1,0,0%,0.6%,1,0.3%,0.8%,1,0.3%,0.9%,0,0%,1%,0,0%,1.1%
Detective specialist,6,1.6%,1.7%,3,0.9%,1.6%,2,0.7%,1.7%,0,0%,1.7%,1,0.4%,1.8%
Sergeant,65,17.6%,13.5%,48,13.8%,13.3%,51,17.1%,12.9%,40,18.3%,13.2%,50,18.2%,13.5%
Lieutenant,14,3.8%,4.7%,11,3.2%,4.7%,11,3.7%,4.8%,12,5.5%,4.8%,11,4%,4.6%
Lieutenant commander detective,1,0.3%,0.2%,0,0%,0.2%,0,0%,0.3%,0,0%,0.3%,0,0%,0.4%
Captain,3,0.8%,1.4%,1,0.3%,1.3%,2,0.7%,1.3%,3,1.4%,1.1%,0,0%,1.2%
Deputy Inspector/Inspector,0,0%,0.7%,1,0.3%,0.7%,1,0.3%,0.8%,0,0%,0.7%,0,0%,0.7%
Other ranks,0,0%,0.1%,1,0.3%,0.2%,1,0.3%,0.2%,0,0%,0.2%,0,0%,0.2%
Subtotal,369,100%,100%,347,100%,100%,299,100%,100%,219,100%,100%,275,100%,100%
Officer unidentified,2,,,0,,,1,,,0,,,1,,
Total,371,,,347,,,300,,,219,,,276,,
,,,,, ,,,,,, ,,,,
