Program Code,Program Name,DBN,Printed School Name,Interest Area,Selection Method,Selection Method Abbreviated,Directory Page #,Borough,URLS
Y31B,National Academy Foundation Media Communications,09X365,Academy for Language and Technology,Communications,Screened: Language,SL,1,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X365
Y31C,National Academy Foundation Institute for Computer Technology,09X365,Academy for Language and Technology,Computer Science & Technology,Screened: Language,SL,1,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X365
Y31D,National Academy Foundation Computer Networking,09X365,Academy for Language and Technology,Computer Science & Technology,Screened: Language,SL,1,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X365
X02R,Academy for Scholarship and Entrepreneurship: A College Board School,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Business,Limited Unscreened,L,3,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X270
X69C,NATEF Automotive Technology,07X600,Alfred E. Smith Career and Technical Education High School,Engineering,Screened,S,4,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X600
X69D,Bilingual Spanish NATEF Automotive Technology,07X600,Alfred E. Smith Career and Technical Education High School,Engineering,Screened: Language,SL,4,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X600
Y34A,Antonia Pantoja Preparatory Academy: A College Board School,08X376,Antonia Pantoja Preparatory Academy: A College Board School,Humanities & Interdisciplinary,Limited Unscreened,L,6,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X376
Y37A,"Archimedes Academy for Math, Science and Technology",08X367,"Archimedes Academy for Math, Science and Technology Applications",Science & Math,Limited Unscreened,L,7,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X367
X17B,Science & Technology,11X299,Astor Collegiate Academy,Science & Math,Limited Unscreened,L,8,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X299
X94A,Banana Kelly High School,08X530,Banana Kelly High School,Humanities & Interdisciplinary,Ed. Opt.,E,9,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X530
X42A,Humanities Academy of Research and Technology (HART),10X434,Belmont Preparatory High School,Humanities & Interdisciplinary,Screened,S,10,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X434
X22A,Bronx Academy of Health Careers,11X290,Bronx Academy of Health Careers,Health Professions,Limited Unscreened,L,12,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X290
X27A,Bronx Academy of Letters,07X551,Bronx Academy of Letters,Humanities & Interdisciplinary,Limited Unscreened,L,13,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X551
X30A,Bronx Aerospace High School,11X545,Bronx Aerospace High School,Communications,Limited Unscreened,L,14,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X545
Y47A,Bronx Bridges High School,08X432,Bronx Bridges High School,Humanities & Interdisciplinary,Screened: Language,SL,15,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X432
Y43A,Bronx Career and College Preparatory High School,12X479,Bronx Career and College Preparatory High School,Humanities & Interdisciplinary,Limited Unscreened,L,16,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X479
X05R,Bronx Center for Science and Mathematics,09X260,Bronx Center for Science and Mathematics,Science & Math,Limited Unscreened,L,17,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X260
X58X,Bronx Collegiate Academy,09X227,Bronx Collegiate Academy (formerly Bronx Expeditionary Learning High School),Humanities & Interdisciplinary,Limited Unscreened,L,18,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X227
Y51A,Building Construction and Technology,07X522,Bronx Design and Construction Academy,Engineering,Limited Unscreened,L,19,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X522
Y51B,Architecture and Design,07X522,Bronx Design and Construction Academy,Architecture,Limited Unscreened,L,19,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X522
Y36A,Bronx Early College Academy,09X324,Bronx Early College Academy,Humanities & Interdisciplinary,Screened,S,20,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X324
X61X,Bronx Engineering & Technology Academy (BETA),10X213,Bronx Engineering and Technology Academy,Engineering,Limited Unscreened,L,21,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X213
Y54A,Bronx Envision,12X511,Bronx Envision Academy,Humanities & Interdisciplinary,Limited Unscreened,L,22,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X511
