Boro/Central Library,Network,Branch,ADULT Program,ADULT Attendance,YOUNG ADULT Program,YOUNG ADULT Attendance,JUVENILE Program,JUVENILE Attendance,OUTREACH SERVICES Program,OUTREACH SERVICES Attendance, TOTAL Program, TOTAL Attendance, REFERENCE TRANSACTIONS Adult, REFERENCE TRANSACTIONS Young Adult, REFERENCE TRANSACTIONS Juvenile, REFERENCE TRANSACTIONS,CIRCULATION Adult,CIRCULATION Young Adult,CIRCULATION Juvenile,CIRCULATION,Weekly Hours of Public Service
Bronx,Bronx Library Center Network,Allerton,25,250,37,420,183,4714,1,17,246,5401,75595,32253,38038,145886,62767,20191,47961,130919,46
Bronx,Bronx Library Center Network,Belmont,226,2795,186,2166,352,6792,62,740,826,12493,96980,93028,94263,284271,61924,14614,42140,118678,46
Bronx,Bronx Library Center Network,Bronx  Library Center,449,15179,201,4324,379,13069,303,8151,1332,40723,254384,78494,173134,506012,354231,75239,184508,613978,78
Bronx,Bronx Library Center Network,Francis Martin,7,108,44,506,206,3805,18,645,275,5064,27469,8112,11609,47190,43431,15379,37966,96776,46
Bronx,Bronx Library Center Network,Grand Concourse,228,1841,220,2450,349,8976,368,5097,1165,18364,44460,17810,17238,79508,77381,21413,51671,150465,50
Bronx,Bronx Library Center Network,High Bridge,74,693,47,591,45,3403,40,1549,206,6236,36023,17173,16991,70187,54853,26971,62964,144788,46
Bronx,Bronx Library Center Network,Jerome Park,94,424,106,1828,117,2321,7,91,324,4664,11479,7462,7566,26507,48450,15534,38205,102189,46
Bronx,Bronx Library Center Network,Kingsbridge,15,661,82,1066,147,2862,117,2189,361,6778,24661,5694,6825,37180,96645,20455,45262,162362,46
Bronx,Bronx Library Center Network,Morrisania,84,660,186,4341,316,5881,99,2202,685,13084,52780,15327,33787,101894,49208,16005,36447,101660,46
Bronx,Bronx Library Center Network,Mosholu,119,1259,132,1456,198,5709,59,1739,508,10163,47619,18499,16302,82420,100420,27057,106836,234313,46
Bronx,Bronx Library Center Network,Riverdale,109,906,45,413,212,3980,17,118,383,5417,16978,4654,3835,25467,72512,10117,55779,138408,46
Bronx,Bronx Library Center Network,Sedgwick,56,406,139,2649,160,2828,47,1398,402,7281,18395,9295,8528,36218,35981,12496,33045,81522,46
Bronx,Bronx Library Center Network,Spuyten Duyvil,68,874,11,503,179,3924,1,42,259,5343,24193,3510,5070,32773,135638,13578,90154,239370,46
Bronx,Bronx Library Center Network,Tremont,174,1200,256,2802,361,5084,29,662,820,9748,23257,6760,13910,43927,41377,15661,31248,88286,46
Bronx,Bronx Library Center Network,Van Cortlandt,17,149,24,201,133,2137,2,44,176,2531,33605,7423,9009,50037,50460,11677,24228,86365,46
Bronx,Bronx Library Center Network,Van Nest ,35,327,43,570,133,1971,124,2230,335,5098,35373,16770,20267,72410,65998,15957,50707,132662,46
Bronx,Bronx Library Center Network,Woodlawn Heights,38,282,7,42,61,844,0,0,106,1168,12649,3159,7267,23075,40387,6060,24440,70887,46
Bronx,Bronx Library Center Network,Subtotal:,1818,28014,1766,26328,3531,78300,1294,26914,8409,159556,835900,345423,483639,1664962,1391663,338404,963561,2693628,818
Bronx,Parkchester Network,Baychester,111,1836,114,1733,160,1882,6,137,391,5588,31278,7787,9178,48243,106265,20253,45099,171617,48
Bronx,Parkchester Network,Castle Hill,37,327,50,632,137,2433,5,229,229,3621,14568,6282,8049,28899,32774,11139,33338,77251,46
Bronx,Parkchester Network,City Island,110,990,162,869,158,2781,26,804,456,5444,21190,5265,14937,41392,27667,3169,13927,44763,44
Bronx,Parkchester Network,Clason's Point,246,2085,307,4426,239,6150,255,11370,1047,24031,70538,44538,55705,170781,54993,16834,71248,143075,48
Bronx,Parkchester Network,Eastchester,27,264,129,1531,172,3235,9,136,337,5166,26221,23218,37232,86671,59150,16391,39223,114764,46
Bronx,Parkchester Network,Edenwald,62,375,57,1156,167,3905,70,890,356,6326,13728,11232,9347,34307,56939,19447,47325,123711,46
Bronx,Parkchester Network,Hunt's Point,61,998,85,1164,219,4415,168,4032,533,10609,30706,21320,27053,79079,63087,20499,48519,132105,48
Bronx,Parkchester Network,Melrose,80,821,44,694,308,6170,34,535,466,8220,26455,8827,12831,48113,66296,22494,68037,156827,48
Bronx,Parkchester Network,Morris Park,142,1980,152,2022,228,3397,79,2561,601,9960,61945,20215,25116,107276,69446,17572,69906,156924,48
Bronx,Parkchester Network,Mott Haven ,94,955,157,2044,318,8952,144,2786,713,14737,28028,16029,26494,70551,51164,17760,48129,117053,48
Bronx,Parkchester Network,Parkchester ,188,1705,289,4200,620,16301,194,3325,1291,25531,23738,13702,20540,57980,129885,39299,134124,303308,62
Bronx,Parkchester Network,Pelham Bay,70,399,88,1593,260,5567,5,59,423,7618,36023,10439,10608,57070,70993,17308,49439,137740,46
Bronx,Parkchester Network,Soundview,209,2247,119,2314,545,9849,40,1333,913,15743,35815,20098,24817,80730,49336,19222,47820,116378,46
Bronx,Parkchester Network,Throg's Neck,120,910,145,1796,289,8399,19,597,573,11702,46514,23595,35932,106041,55142,11468,43537,110147,46
Bronx,Parkchester Network,Wakefield,99,2180,177,2380,330,4468,80,2061,686,11089,80314,28145,27079,135538,58124,17138,45095,120357,46
Bronx,Parkchester Network,West Farms,135,913,129,1268,133,3112,92,983,489,6276,10465,3666,4095,18226,21461,8599,12945,43005,46
Bronx,Parkchester Network,Westchester Square,78,437,198,2153,294,5398,183,2639,753,10627,19370,8138,10595,38103,43227,13086,55036,111349,46
Bronx,Parkchester Network,Woodstock,15,148,73,1595,130,2953,3,233,221,4929,16445,5954,5317,27716,49258,12749,29588,91595,46
Bronx,Parkchester Network,Subtotal:,1884,19570,2475,33570,4707,99367,1412,34710,10478,187217,593341,278450,364925,1236716,1065207,304427,902335,2271969,854
Bronx,Special Units,Bronx  Borough Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,Special Units,Subtotal:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,,BRONX TOTAL:,3702,47584,4241,59898,8238,177667,2706,61624,18887,346773,1429241,623873,848564,2901678,2456870,642831,1865896,4965597,1672
Manhattan,Countee Cullen Network,67th Street ,146,1298,80,884,253,9004,71,834,550,12020,66209,3497,5343,75049,173087,20149,112878,306114,42
Manhattan,Countee Cullen Network,96th Street,154,2466,90,1710,276,8470,28,706,548,13352,71448,19591,9503,100542,228111,39402,105718,373231,50
Manhattan,Countee Cullen Network,115th Street ,53,497,75,1036,142,5382,12,708,282,7623,14924,3471,6903,25298,77833,16783,65517,160133,42
Manhattan,Countee Cullen Network,125th Street,116,1008,46,345,142,1311,67,1015,371,3679,23400,8632,11479,43511,45516,14352,20366,80234,42
Manhattan,Countee Cullen Network,Aguilar,29,524,28,450,364,8143,247,3343,668,12460,34502,9711,21281,65494,92228,26945,89477,208650,44
Manhattan,Countee Cullen Network,Bloomingdale,107,1241,105,1245,340,10626,21,327,573,13439,36608,7527,6019,50154,236267,30858,133536,400661,44
Manhattan,Countee Cullen Network,Countee Cullen,199,2330,159,1676,254,4053,20,557,632,8616,52780,18941,13182,84903,118246,21545,59759,199550,54
Manhattan,Countee Cullen Network,Fort Washington,97,1387,124,1544,336,8990,158,2911,715,14832,29211,9113,13767,52091,170872,37962,110765,319599,44
Manhattan,Countee Cullen Network,George Bruce,81,833,94,1432,208,3607,42,1058,425,6930,327119,256360,282750,866229,67313,14443,38463,120219,42
Manhattan,Countee Cullen Network,Hamilton Grange,137,2779,94,1138,115,3037,38,996,384,7950,77246,30212,35412,142870,110572,25338,73395,209305,44
Manhattan,Countee Cullen Network,Harlem ,170,2667,37,266,228,4979,42,911,477,8823,37596,6357,17472,61425,58898,10710,35936,105544,42
Manhattan,Countee Cullen Network,Inwood,75,935,129,2691,255,7015,153,4346,612,14987,21164,8333,13858,43355,165179,27844,114618,307641,44
Manhattan,Countee Cullen Network,Macomb's Bridge,13,25,30,318,118,1721,6,64,167,2128,9659,4875,4355,18889,18657,6743,12021,37421,42
Manhattan,Countee Cullen Network,Morningside Heights,100,968,188,2995,246,5623,30,1039,564,10625,48776,9841,8034,66651,286668,34916,120204,441788,50
Manhattan,Countee Cullen Network,Riverside,116,1873,74,1096,228,6555,113,2354,531,11878,47944,5694,3978,57616,250528,31002,121739,403269,46
Manhattan,Countee Cullen Network,St. Agnes,118,2966,10,663,241,8249,49,1409,418,13287,37739,4745,7020,49504,251584,30736,176853,459173,43
Manhattan,Countee Cullen Network,Washington Heights*   * Closed for major renovation - effective 4/15/10,0,0,0,0,0,0,2,50,2,50,0,0,0,0,830,165,520,1515,0
Manhattan,Countee Cullen Network,Webster,80,1211,58,426,211,8614,27,1020,376,11271,66976,5291,4134,76401,152390,14765,86007,253162,42
Manhattan,Countee Cullen Network,Yorkville,39,621,28,102,205,5767,25,1317,297,7807,123500,6214,11206,140920,182624,16372,74566,273562,44
Manhattan,Countee Cullen Network,Subtotal:,1830,25629,1449,20017,4162,111146,1151,24965,8592,181757,1126801,418405,475696,2020902,2687403,421030,1552338,4660771,801
Manhattan,Seward Park Network,Seward Park Network,,,,,,,,,,,,,,,,,,,
Manhattan,Seward Park Network,58th Street,348,6095,0,0,3,120,18,743,369,6958,90649,0,0,90649,340058,33683,36775,410516,46
Manhattan,Seward Park Network,Battery Park City,87,511,133,1397,278,7787,12,408,510,10103,34749,3302,10595,48646,162657,28170,108737,299564,46
Manhattan,Seward Park Network,Chatham Square,70,1176,53,478,366,8717,57,1951,546,12322,31122,10504,24063,65689,280124,82349,209667,572140,50
