MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Address,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
1-00011-0014,"26 BEAVER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D4-ELEVATOR,21,1909,51387,1695771,33,8120000,158,1-00053-0033,"110 GREENWICH STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D8-ELEVATOR,60,1929,57941,2231133,38.5,11200000,193,0.3,1-00071-0001,"156 FRONT STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D2-ELEVATOR,64,1930,50955,1651435,32.4,7910000,155,0.35
1-00028-0001,"3 HANOVER SQUARE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D0-ELEVATOR,209,1926,239121,7412751,31,35500000,148,1-00042-0001,"100 MAIDEN LANE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D6-ELEVATOR,342,1930,290116,10561837,36.4,53000000,183,0.15,1-00021-0006,"69 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D5-ELEVATOR,237,1900,303086,9886246,32.6,47400000,156,0.25
1-00064-0008,"53 LIBERTY STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D4-ELEVATOR,94,1911,167448,5860680,35,28100000,168,1-00077-0024,"82 FULTON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D7-ELEVATOR,208,1900,159000,5484019,34.5,26300000,165,0.15,1-00068-0016,"84 WILLIAM STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D9-ELEVATOR,124,1907,111184,4867077,43.8,24400000,219,0.15
1-00065-0017,"176 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D4-ELEVATOR,82,1927,168176,5886160,35,28200000,168,1-00077-0024,"82 FULTON STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D7-ELEVATOR,208,1900,159000,5484019,34.5,26300000,165,0.15,1-00068-0016,"84 WILLIAM STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FINANCIAL,D9-ELEVATOR,124,1907,111184,4867077,43.8,24400000,219,0.15
1-00094-0001,"80 GOLD STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D4-ELEVATOR,1664,1971,2075590,58116520,28,134766672,65,1-00934-0001,"500 2 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",KIPS BAY,D6-ELEVATOR,900,1975,829024,28328264,34.2,123000000,148,2.5,1-00142-0025,"310 GREENWICH STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",TRIBECA,D6-ELEVATOR,3525,1975,1970736,44219589,22.44,161000000,82,0.7
1-00100-0026,"138 NASSAU STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D4-ELEVATOR,43,1901,79422,2064972,26,8970000,113,1-01125-0009,"37 72 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (59-79),D7-ELEVATOR,94,1929,80281,2183172,27.2,10500000,131,4.75,1-00771-0046,"196 7 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CHELSEA,D7-ELEVATOR,85,1940,76450,1885000,24.66,8180000,107,2.3
1-00101-0001,"36 PARK ROW
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D4-ELEVATOR,51,1900,111685,2903810,26,12600000,113,1-01169-0008,"2181 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (59-79),D6-ELEVATOR,115,1924,114767,3182029,27.7,15200000,132,5.1,1-01148-0001,"341 AMSTERDAM AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (59-79),D6-ELEVATOR,103,1925,125040,3218618,25.7,14000000,112,4.95
1-00106-0007,"266 WATER STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",SOUTHBRIDGE,D0-ELEVATOR,24,1900,41203,1318496,32,6320000,153,1-01424-0029,"226 70 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER EAST SIDE (59-79),D1-ELEVATOR,50,1921,41898,1669663,39.9,8370000,200,4.55,1-01229-0006,"265 81 STREET
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER WEST SIDE (79-96),D3-ELEVATOR,36,1900,41137,1160460,28.2,5560000,135,5.4
1-00117-0001,"185 PARK ROW
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D4-ELEVATOR,880,1960,515425,13401050,26,58200000,113,1-01465-0021,"1313 YORK AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",UPPER EAST SIDE (59-79),D6-ELEVATOR,442,1966,400612,11203842,28,53700000,134,4.35,1-01079-9029,"737 10 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CLINTON,D7-ELEVATOR,394,1975,419217,11626089,27.7,55700000,133,3.65
1-00134-0025,"258 BROADWAY
Manhattan, NY
(40.74988399964684, -73.98797699993861)",CIVIC CENTER,D4-ELEVATOR,46,1915,88320,2826240,32,13500000,153,1-00786-0042,"488 7 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",FASHION,D9-ELEVATOR,108,1902,88872,3037391,34.2,14500000,163,2.85,1-01029-0036,"910 7 AVENUE
Manhattan, NY
(40.74988399964684, -73.98797699993861)",MIDTOWN WEST,D6-ELEVATOR,66,1913,94166,2796271,29.7,13400000,142,3.85
