Category,Subcategory,FY 2002 Actual,FY 2003 Actual,FY 2004 Actual,FY 2005 Actual,FY 2006 Actual,FY 2007 Actual,FY 2008 Actual,FY 2009 Actual,FY 2010 Actual,FY 2011 Plan,FY 2012 Plan,FY 2013 Plan,FY 2014 Plan,FY 2015 Plan,REVENUE ($ IN MILLIONS)
Taxes,Real Property Tax,8761,10063,11582,11616,12636,13123,13204,14487,16369,17068,17857,18411,18846,19276,Plan data as of February 2011 Financial Plan (Includes TFA PIT Retention)
Taxes,Personal Income Tax,4990,5000,6093,7135,8007,8618,9861,7627,7576,7982,8774,9108,9596,10192,
Taxes,Business Taxes,2440,2282,2863,3711,4343,6013,5412,5204,4505,5365,5630,5762,5966,6165,
Taxes,Sales Tax,3360,3535,4018,4355,4418,4619,4868,4594,5059,5509,5797,5939,6086,6345,
Taxes,Other Taxes,2618,3017,3718,4546,5157,6154,5420,4099,3692,4058,3861,3941,4142,4413,
Miscellaneous Revenue,Licenses,47,46,45,47,50,46,53,49,56,57,57,56,57,57,
Miscellaneous Revenue,Permits,95,99,107,122,136,147,161,152,140,145,142,142,142,142,
Miscellaneous Revenue,Franchises,214,212,223,226,231,278,289,292,291,296,308,309,311,312,
Miscellaneous Revenue,Charges,461,501,592,614,606,613,638,687,746,751,798,795,794,794,
Miscellaneous Revenue,Water & Sewer,858,846,885,899,990,1064,1202,1284,1540,1314,1335,1332,1361,1378,
Miscellaneous Revenue,Rental,115,109,108,944,209,211,257,255,234,239,250,256,264,267,
Miscellaneous Revenue,Fines & Forfeitures,485,549,697,745,723,741,830,802,833,799,801,799,799,799,
Miscellaneous Revenue,Miscellaneous,1383,2242,683,1327,553,671,1238,982,828,668,525,506,500,483,
Miscellaneous Revenue,Interest,81,44,30,150,364,472,376,124,22,21,34,107,140,165,
Unrestricted Intergovernmental Aid,Unrestricted Intergovernmental Aid,666,1443,963,603,494,35,242,327,-18,14,12,12,12,12,
Anticipated State Actions,Anticipated State Actions,0,0,0,0,0,0,0,0,0,0,600,600,600,600,
Disallowance of Categorical Grants,Disallowance of Categorical Grants,0,-47,-27,-87,-542,-103,-114,0,0,-15,-15,-15,-15,-15,
Federal Categorical Grants,Community Development,281,226,240,268,261,241,260,251,263,284,241,241,241,240,
Federal Categorical Grants,Social Services,2541,2550,2448,2405,2181,2429,2619,2758,3084,2964,2743,2707,2707,2707,
Federal Categorical Grants,Education,1364,1595,1770,1909,1693,1745,1739,1717,2911,2953,1724,1719,1718,1718,
Federal Categorical Grants,Other,1911,1247,957,2072,1108,1056,1074,1215,1458,1996,1229,1128,1095,1096,
State Categorical Grants,Social Services,1585,1576,1724,1741,1906,1889,2060,2041,2099,2048,1932,1929,1926,1926,
State Categorical Grants,Education,5592,5834,5873,6177,6702,7145,8011,8648,8078,7982,7909,7978,8028,8028,
State Categorical Grants,Higher Education,129,133,139,140,153,165,174,178,173,186,204,204,204,204,
State Categorical Grants,Health and Mental Hygiene,434,416,377,393,415,428,487,468,448,463,443,438,438,439,
State Categorical Grants,Other,290,358,342,372,410,559,689,789,847,886,775,737,734,734,
Other Categorical Grants,Other Categorical Grants,615,1006,956,862,1150,1037,1089,1279,1579,1315,1160,1157,1154,1150,
Capital IFA,Capital IFA,305,300,328,346,365,421,455,475,583,559,500,493,493,493,
TOTAL CITYWIDE REVENUES,TOTAL CITYWIDE REVENUES,41621,45182,47734,53638,54719,59817,62594,60784,63396,65907,65626,66791,68339,70120,
