Organization,Neighborhood Served,Site Address
Settlement Housing Fund - DREAMS/Youth Build,Brownsville,"1615 St. John's Place, Brooklyn, NY 11233 "
Settlement Housing Fund - DREAMS/Youth Build,Brownsville,"1604 St. John's Place, Brooklyn, NY 11233"
Brooklyn Public Library,East New York,"665 New Lots Avenue, Brooklyn, NY 11207"
"Union Settlement Association, Inc",Harlem,"1775 Third Avenue, New York, NY 10029"
The Fortune Society,Harlem,"625 West 140th Street, New York, NY 10040"
Queens Library,Jamaica,"91-14 Merrick Boulevard, Jamaica, NY 11432"
Queens Library,Jamaica,"108-41 Guy Brewer Boulevard, Jamaica, NY 11433"
"Federation Employment and Guidance Services, Inc",South Bronx,"412-424 East 147th St, 4th Fl, Bronx, NY 10455"
"East Side House, Inc",South Bronx,"201 St. Ann's Avenue, Bronx, NY 10454"
"East Side House, Inc",South Bronx,"337 Alexander Avenue, Bronx, NY 10454"
