NEIGHBORHOOD,TYPE OF HOME,TOTAL NO. OF PROPERTIES,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ANNADALE                 ,01 ONE FAMILY HOMES                        ,2006,48,$208000.00,$591818.00,$516000.00,$1500000.00
ANNADALE                 ,02 TWO FAMILY HOMES                        ,859,19,$332666.00,$727020.00,$575000.00,$3000000.00
ARDEN HEIGHTS            ,01 ONE FAMILY HOMES                        ,3399,158,$175000.00,$302553.00,$294500.00,$775000.00
ARDEN HEIGHTS            ,02 TWO FAMILY HOMES                        ,467,12,$310353.00,$466457.00,$430000.00,$739758.00
ARROCHAR                 ,01 ONE FAMILY HOMES                        ,333,15,$265000.00,$434956.00,$395000.00,$700000.00
ARROCHAR                 ,02 TWO FAMILY HOMES                        ,128,3,$420000.00,$610000.00,$510000.00,$900000.00
ARROCHAR-SHORE ACRES     ,01 ONE FAMILY HOMES                        ,199,5,$365000.00,$425600.00,$390000.00,$585000.00
ARROCHAR-SHORE ACRES     ,02 TWO FAMILY HOMES                        ,104,2,$365000.00,$373500.00,$373500.00,$382000.00
BULLS HEAD               ,01 ONE FAMILY HOMES                        ,2400,73,$170000.00,$333123.00,$325000.00,$471500.00
BULLS HEAD               ,02 TWO FAMILY HOMES                        ,1788,39,$190947.00,$435070.00,$418000.00,$670000.00
CASTLETON CORNERS        ,01 ONE FAMILY HOMES                        ,2184,64,$185000.00,$408852.00,$410000.00,$630000.00
CASTLETON CORNERS        ,02 TWO FAMILY HOMES                        ,659,13,$350000.00,$519854.00,$465000.00,$1090000.00
CLOVE LAKES              ,01 ONE FAMILY HOMES                        ,1378,30,$221000.00,$452904.00,$427750.00,$820000.00
CLOVE LAKES              ,02 TWO FAMILY HOMES                        ,171,6,$320000.00,$468619.00,$487000.00,$629000.00
CONCORD                  ,01 ONE FAMILY HOMES                        ,1016,38,$150000.00,$266305.00,$256500.00,$463753.00
CONCORD                  ,02 TWO FAMILY HOMES                        ,246,10,$179000.00,$338691.00,$284495.00,$650000.00
CONCORD-FOX HILLS        ,01 ONE FAMILY HOMES                        ,624,10,$175000.00,$282500.00,$267500.00,$395000.00
DONGAN HILLS             ,01 ONE FAMILY HOMES                        ,977,27,$202800.00,$573663.00,$416000.00,$4000000.00
DONGAN HILLS             ,02 TWO FAMILY HOMES                        ,437,15,$235500.00,$472028.00,$465000.00,$812000.00
DONGAN HILLS-COLONY      ,01 ONE FAMILY HOMES                        ,927,15,$318750.00,$678998.00,$625000.00,$1225000.00
DONGAN HILLS-COLONY      ,02 TWO FAMILY HOMES                        ,167,3,$225000.00,$441667.00,$450000.00,$650000.00
DONGAN HILLS-OLD TOWN    ,01 ONE FAMILY HOMES                        ,48,1,$315000.00,$315000.00,$315000.00,$315000.00
DONGAN HILLS-OLD TOWN    ,02 TWO FAMILY HOMES                        ,23,1,$245000.00,$245000.00,$245000.00,$245000.00
ELTINGVILLE              ,01 ONE FAMILY HOMES                        ,4599,121,$200000.00,$409956.00,$410000.00,$875000.00
ELTINGVILLE              ,02 TWO FAMILY HOMES                        ,1378,32,$240000.00,$501373.00,$494950.00,$840000.00
EMERSON HILL             ,01 ONE FAMILY HOMES                        ,287,3,$350000.00,$989544.00,$798000.00,$1820631.00
GRANT CITY               ,01 ONE FAMILY HOMES                        ,1232,33,$275000.00,$395304.00,$375000.00,$580000.00
GRANT CITY               ,02 TWO FAMILY HOMES                        ,411,15,$331000.00,$565367.00,$595000.00,$895000.00
GRANT CITY               ,03 THREE FAMILY HOMES                      ,23,1,$478000.00,$478000.00,$478000.00,$478000.00
GRASMERE                 ,01 ONE FAMILY HOMES                        ,1070,32,$200000.00,$455032.00,$441500.00,$875000.00
GRASMERE                 ,02 TWO FAMILY HOMES                        ,226,1,$804417.00,$804417.00,$804417.00,$804417.00
GREAT KILLS              ,01 ONE FAMILY HOMES                        ,8503,248,$150000.00,$401171.00,$396429.00,$793001.00
GREAT KILLS              ,02 TWO FAMILY HOMES                        ,2535,64,$175000.00,$507892.00,$515000.00,$789144.00
GREAT KILLS              ,03 THREE FAMILY HOMES                      ,33,1,$180000.00,$180000.00,$180000.00,$180000.00
GREAT KILLS-BAY TERRACE  ,01 ONE FAMILY HOMES                        ,708,25,$175000.00,$407436.00,$395000.00,$602000.00
GREAT KILLS-BAY TERRACE  ,02 TWO FAMILY HOMES                        ,347,7,$166000.00,$396686.00,$335800.00,$560000.00
GRYMES HILL              ,01 ONE FAMILY HOMES                        ,453,8,$160000.00,$458490.00,$393959.00,$850000.00
HUGUENOT                 ,01 ONE FAMILY HOMES                        ,1580,40,$245000.00,$535673.00,$500000.00,$990000.00
HUGUENOT                 ,02 TWO FAMILY HOMES                        ,820,25,$260000.00,$658805.00,$675000.00,$950000.00
LIVINGSTON               ,01 ONE FAMILY HOMES                        ,516,11,$154610.00,$367575.00,$415000.00,$539000.00
LIVINGSTON               ,02 TWO FAMILY HOMES                        ,123,4,$282000.00,$465496.00,$504882.00,$570220.00
LIVINGSTON               ,03 THREE FAMILY HOMES                      ,11,2,$192660.00,$431330.00,$431330.00,$670000.00
MANOR HEIGHTS            ,01 ONE FAMILY HOMES                        ,1804,35,$188000.00,$419566.00,$380000.00,$750000.00
MANOR HEIGHTS            ,02 TWO FAMILY HOMES                        ,577,15,$232494.00,$398230.00,$410000.00,$561055.00
MANOR HEIGHTS            ,03 THREE FAMILY HOMES                      ,8,2,$212000.00,$348500.00,$348500.00,$485000.00
MARINERS HARBOR          ,01 ONE FAMILY HOMES                        ,2155,86,$150000.00,$282249.00,$285600.00,$460000.00
MARINERS HARBOR          ,02 TWO FAMILY HOMES                        ,837,33,$150000.00,$336208.00,$345000.00,$820000.00
MIDLAND BEACH            ,01 ONE FAMILY HOMES                        ,2650,73,$150000.00,$347537.00,$345000.00,$970000.00
MIDLAND BEACH            ,02 TWO FAMILY HOMES                        ,627,22,$220152.00,$441743.00,$450000.00,$680000.00
NEW BRIGHTON             ,01 ONE FAMILY HOMES                        ,1039,33,$150000.00,$297334.00,$305000.00,$536000.00
NEW BRIGHTON             ,02 TWO FAMILY HOMES                        ,978,59,$154128.00,$285424.00,$270000.00,$550000.00
NEW BRIGHTON             ,03 THREE FAMILY HOMES                      ,160,12,$157170.00,$316079.00,$306960.00,$465000.00
NEW DORP                 ,01 ONE FAMILY HOMES                        ,1985,50,$160000.00,$409643.00,$403128.00,$675000.00
NEW DORP                 ,02 TWO FAMILY HOMES                        ,756,22,$330000.00,$503361.00,$477500.00,$725000.00
NEW DORP-BEACH           ,01 ONE FAMILY HOMES                        ,1057,36,$165000.00,$316258.00,$312500.00,$540719.00
NEW DORP-BEACH           ,02 TWO FAMILY HOMES                        ,204,4,$280000.00,$430245.00,$445490.00,$550000.00
NEW DORP-BEACH           ,03 THREE FAMILY HOMES                      ,13,1,$250000.00,$250000.00,$250000.00,$250000.00
NEW DORP-HEIGHTS         ,01 ONE FAMILY HOMES                        ,1170,25,$200000.00,$471731.00,$425000.00,$885000.00
NEW DORP-HEIGHTS         ,02 TWO FAMILY HOMES                        ,264,9,$312500.00,$521111.00,$575000.00,$630000.00
NEW SPRINGVILLE          ,01 ONE FAMILY HOMES                        ,2294,67,$240000.00,$394376.00,$395000.00,$651680.00
NEW SPRINGVILLE          ,02 TWO FAMILY HOMES                        ,1806,61,$344760.00,$531436.00,$535000.00,$829873.00
OAKWOOD                  ,01 ONE FAMILY HOMES                        ,934,31,$300000.00,$529731.00,$489000.00,$875000.00
OAKWOOD                  ,02 TWO FAMILY HOMES                        ,128,3,$265000.00,$360000.00,$265000.00,$550000.00
OAKWOOD-BEACH            ,01 ONE FAMILY HOMES                        ,997,34,$192500.00,$385703.00,$367576.00,$712775.00
OAKWOOD-BEACH            ,02 TWO FAMILY HOMES                        ,230,5,$424000.00,$494859.00,$467000.00,$605297.00
PLEASANT PLAINS          ,01 ONE FAMILY HOMES                        ,569,11,$235000.00,$454273.00,$440000.00,$625000.00
PLEASANT PLAINS          ,02 TWO FAMILY HOMES                        ,277,2,$653000.00,$778450.00,$778450.00,$903900.00
PORT IVORY               ,01 ONE FAMILY HOMES                        ,355,11,$185000.00,$280068.00,$310000.00,$370110.00
PORT IVORY               ,02 TWO FAMILY HOMES                        ,143,9,$268710.00,$358904.00,$305131.00,$483263.00
PORT RICHMOND            ,01 ONE FAMILY HOMES                        ,1667,43,$156000.00,$274519.00,$279840.00,$400000.00
PORT RICHMOND            ,02 TWO FAMILY HOMES                        ,1134,44,$152516.00,$300733.00,$280876.00,$613126.00
PORT RICHMOND            ,03 THREE FAMILY HOMES                      ,35,2,$300000.00,$328187.00,$328187.00,$356374.00
PRINCES BAY              ,01 ONE FAMILY HOMES                        ,1293,29,$200000.00,$491830.00,$440000.00,$1778135.00
PRINCES BAY              ,02 TWO FAMILY HOMES                        ,697,39,$251766.00,$644988.00,$610950.00,$995000.00
RICHMONDTOWN             ,01 ONE FAMILY HOMES                        ,1235,34,$157000.00,$556196.00,$532000.00,$1175000.00
RICHMONDTOWN             ,02 TWO FAMILY HOMES                        ,116,1,$510000.00,$510000.00,$510000.00,$510000.00
RICHMONDTOWN-LIGHTHS HILL,01 ONE FAMILY HOMES                        ,214,5,$203500.00,$796700.00,$880000.00,$1275000.00
ROSEBANK                 ,01 ONE FAMILY HOMES                        ,1740,48,$169750.00,$366175.00,$370000.00,$750000.00
ROSEBANK                 ,02 TWO FAMILY HOMES                        ,664,17,$169900.00,$370187.00,$375000.00,$548000.00
ROSEBANK                 ,03 THREE FAMILY HOMES                      ,67,2,$219300.00,$358650.00,$358650.00,$498000.00
ROSSVILLE                ,01 ONE FAMILY HOMES                        ,1193,40,$240216.00,$421730.00,$340000.00,$1100000.00
ROSSVILLE                ,02 TWO FAMILY HOMES                        ,680,26,$360000.00,$644687.00,$625000.00,$1400000.00
ROSSVILLE-CHARLESTON     ,01 ONE FAMILY HOMES                        ,427,22,$250000.00,$484159.00,$484360.00,$650661.00
ROSSVILLE-CHARLESTON     ,02 TWO FAMILY HOMES                        ,95,9,$507000.00,$580656.00,$560037.00,$730000.00
ROSSVILLE-RICHMOND VALLEY,01 ONE FAMILY HOMES                        ,99,1,$516648.00,$516648.00,$516648.00,$516648.00
ROSSVILLE-RICHMOND VALLEY,02 TWO FAMILY HOMES                        ,42,4,$258954.00,$709739.00,$702500.00,$1175000.00
SILVER LAKE              ,01 ONE FAMILY HOMES                        ,735,25,$180866.00,$486323.00,$450000.00,$930000.00
SILVER LAKE              ,02 TWO FAMILY HOMES                        ,142,5,$340000.00,$579400.00,$442000.00,$975000.00
SOUTH BEACH              ,01 ONE FAMILY HOMES                        ,2427,74,$220000.00,$376068.00,$366000.00,$733140.00
SOUTH BEACH              ,02 TWO FAMILY HOMES                        ,749,21,$164800.00,$436843.00,$425000.00,$715000.00
STAPLETON                ,01 ONE FAMILY HOMES                        ,789,17,$180000.00,$318187.00,$324450.00,$596250.00
STAPLETON                ,02 TWO FAMILY HOMES                        ,555,16,$152100.00,$258964.00,$242500.00,$467277.00
STAPLETON-CLIFTON        ,01 ONE FAMILY HOMES                        ,403,15,$183000.00,$294451.00,$291824.00,$565000.00
STAPLETON-CLIFTON        ,02 TWO FAMILY HOMES                        ,47,1,$350000.00,$350000.00,$350000.00,$350000.00
SUNNYSIDE                ,01 ONE FAMILY HOMES                        ,690,22,$210000.00,$395704.00,$395000.00,$500000.00
SUNNYSIDE                ,02 TWO FAMILY HOMES                        ,349,4,$200000.00,$399250.00,$447500.00,$502000.00
TODT HILL                ,01 ONE FAMILY HOMES                        ,736,14,$400000.00,$1034066.00,$967500.00,$1875000.00
TOMPKINSVILLE            ,01 ONE FAMILY HOMES                        ,393,7,$230000.00,$317714.00,$325000.00,$399000.00
TOMPKINSVILLE            ,02 TWO FAMILY HOMES                        ,261,13,$161000.00,$338951.00,$316772.00,$496860.00
TOTTENVILLE              ,01 ONE FAMILY HOMES                        ,2229,66,$163000.00,$503668.00,$443000.00,$1365000.00
TOTTENVILLE              ,02 TWO FAMILY HOMES                        ,1370,48,$175000.00,$660406.00,$690000.00,$1165000.00
TRAVIS                   ,01 ONE FAMILY HOMES                        ,752,34,$200000.00,$340662.00,$359875.00,$497996.00
TRAVIS                   ,02 TWO FAMILY HOMES                        ,108,3,$433000.00,$596523.00,$630000.00,$726570.00
WEST NEW BRIGHTON        ,01 ONE FAMILY HOMES                        ,2380,72,$152100.00,$339399.00,$327495.00,$605000.00
WEST NEW BRIGHTON        ,02 TWO FAMILY HOMES                        ,1290,46,$150000.00,$360222.00,$383234.00,$760339.00
WEST NEW BRIGHTON        ,03 THREE FAMILY HOMES                      ,43,1,$225108.00,$225108.00,$225108.00,$225108.00
WESTERLEIGH              ,01 ONE FAMILY HOMES                        ,2708,66,$172500.00,$393075.00,$400000.00,$675000.00
WESTERLEIGH              ,02 TWO FAMILY HOMES                        ,926,27,$250000.00,$511284.00,$528500.00,$778500.00
WILLOWBROOK              ,01 ONE FAMILY HOMES                        ,1899,46,$155000.00,$394640.00,$400000.00,$735000.00
WILLOWBROOK              ,02 TWO FAMILY HOMES                        ,1004,26,$225000.00,$527308.00,$542950.00,$702592.00
WOODROW                  ,01 ONE FAMILY HOMES                        ,1364,37,$233660.00,$457820.00,$420000.00,$1750000.00
WOODROW                  ,02 TWO FAMILY HOMES                        ,817,28,$350000.00,$506311.00,$465000.00,$763687.00
