Type of Abuse of Authority Allegation,Substantiated Number,Sunstantiated rate,Exonerated number,Exonerated rate,Unsubstantiated number,Unsubstantiated rate,Unfounded number,Unfounded rate,Officer Unidentified number,Officer Unidentified rate,Miscellaneous,Miscellaneous rate
Gun fired,0,0%,12,85.7%,0,0%,0,0%,0,0%,2,14.3%
Gun pointed,4,1.9%,122,58.7%,50,24%,24,11.5%,6,2.9%,2,1%
Nightstick as club,2,1.3%,50,32.3%,44,28.4%,31,20%,28,18.1%,0,0%
Gun as club,0,0%,2,10.5%,9,47.4%,7,36.8%,0,0%,1,5.3%
Police shield,0,0%,6,60%,4,40%,0,0%,0,0%,0,0%
Vehicle,0,0%,0,0%,7,53.8%,3,23.1%,3,23.1%,0,0%
Other blunt instrument as club,3,8.1%,2,5.4%,11,29.7%,15,40.5%,5,13.5%,1,2.7%
Hit against inanimate object,0,0%,14,20.3%,30,43.5%,17,24.6%,6,8.7%,2,2.9%
Chokehold,0,0%,0,0%,36,42.9%,38,45.2%,10,11.9%,0,0%
Pepper spray,3,1.9%,93,60%,23,14.8%,14,9%,19,12.3%,3,1.9%
Physical force*,27,1.3%,1044,49.7%,570,27.1%,226,10.8%,181,8.6%,52,2.5%
Radio as club,0,0%,0,0%,6,31.6%,9,47.4%,2,10.5%,2,10.5%
Flashlight as club,0,0%,0,0%,2,18.2%,8,72.7%,0,0%,1,9.1%
Handcuffs too tight,0,0%,0,0%,12,40%,12,40%,5,16.7%,1,3.3%
Nonlethal restraining device,1,3.2%,17,54.8%,4,12.9%,7,22.6%,1,3.2%,1,3.2%
Animal,0,0%,2,100%,0,0%,0,0%,0,0%,0,0%
Other,0,0%,6,26.1%,7,30.4%,8,34.8%,1,4.3%,1,4.3%
Total,40,1.3%,1370,46%,815,27.3%,419,14.1%,267,9%,69,2.3%
"* ""Physical force"" includes: dragged/pulled, pushed/shoved/threw, beat, punched/kicked/kneed, slapped, fought, and bit. ",,,,,,,,,,,,
