CSD,BOROUGH,GRADE LEVEL,PROGRAM TYPE,CORE SUBJECT,SERVICE CATEGORY,CLASS SIZE,NUMBER OF CLASSES,NUMBER OF STUDENTS,PERCENT OF STUDENTS IN DISTRICT / BOROUGH / GRADE / PROGRAM / SUBJECT
01,M,0K,GEN ED / CTT / G&T,-,-,<15,7,89,9%
01,M,0K,GEN ED / CTT / G&T,-,-,15,1,15,2%
01,M,0K,GEN ED / CTT / G&T,-,-,17,3,51,5%
01,M,0K,GEN ED / CTT / G&T,-,-,18,1,18,2%
01,M,0K,GEN ED / CTT / G&T,-,-,19,6,114,12%
01,M,0K,GEN ED / CTT / G&T,-,-,20,5,100,10%
01,M,0K,GEN ED / CTT / G&T,-,-,21,4,84,9%
01,M,0K,GEN ED / CTT / G&T,-,-,22,4,88,9%
01,M,0K,GEN ED / CTT / G&T,-,-,23,7,161,16%
01,M,0K,GEN ED / CTT / G&T,-,-,25,4,100,10%
01,M,0K,GEN ED / CTT / G&T,-,-,26,4,104,11%
01,M,0K,GEN ED / CTT / G&T,-,-,27,1,27,3%
01,M,0K,GEN ED / CTT / G&T,-,-,28,1,28,3%
01,M,01,GEN ED / CTT / G&T,-,-,<15,10,125,14%
01,M,01,GEN ED / CTT / G&T,-,-,16,1,16,2%
01,M,01,GEN ED / CTT / G&T,-,-,17,2,34,4%
01,M,01,GEN ED / CTT / G&T,-,-,19,3,57,6%
01,M,01,GEN ED / CTT / G&T,-,-,20,4,80,9%
01,M,01,GEN ED / CTT / G&T,-,-,21,3,63,7%
01,M,01,GEN ED / CTT / G&T,-,-,22,6,132,15%
01,M,01,GEN ED / CTT / G&T,-,-,23,4,92,10%
01,M,01,GEN ED / CTT / G&T,-,-,24,6,144,16%
01,M,01,GEN ED / CTT / G&T,-,-,25,4,100,11%
01,M,01,GEN ED / CTT / G&T,-,-,26,2,52,6%
01,M,02,GEN ED / CTT / G&T,-,-,<15,8,97,12%
01,M,02,GEN ED / CTT / G&T,-,-,15,2,30,4%
01,M,02,GEN ED / CTT / G&T,-,-,16,1,16,2%
01,M,02,GEN ED / CTT / G&T,-,-,17,1,17,2%
01,M,02,GEN ED / CTT / G&T,-,-,18,1,18,2%
01,M,02,GEN ED / CTT / G&T,-,-,19,3,57,7%
01,M,02,GEN ED / CTT / G&T,-,-,20,5,100,13%
01,M,02,GEN ED / CTT / G&T,-,-,21,2,42,5%
01,M,02,GEN ED / CTT / G&T,-,-,22,5,110,14%
01,M,02,GEN ED / CTT / G&T,-,-,24,4,96,12%
01,M,02,GEN ED / CTT / G&T,-,-,25,6,150,19%
01,M,02,GEN ED / CTT / G&T,-,-,26,2,52,7%
01,M,03,GEN ED / CTT / G&T,-,-,<15,8,82,10%
01,M,03,GEN ED / CTT / G&T,-,-,15,4,60,7%
01,M,03,GEN ED / CTT / G&T,-,-,16,1,16,2%
01,M,03,GEN ED / CTT / G&T,-,-,17,5,85,11%
01,M,03,GEN ED / CTT / G&T,-,-,18,2,36,4%
01,M,03,GEN ED / CTT / G&T,-,-,19,2,38,5%
01,M,03,GEN ED / CTT / G&T,-,-,20,5,100,12%
01,M,03,GEN ED / CTT / G&T,-,-,21,2,42,5%
01,M,03,GEN ED / CTT / G&T,-,-,22,8,176,22%
01,M,03,GEN ED / CTT / G&T,-,-,23,1,23,3%
01,M,03,GEN ED / CTT / G&T,-,-,24,3,72,9%
01,M,03,GEN ED / CTT / G&T,-,-,25,2,50,6%
01,M,03,GEN ED / CTT / G&T,-,-,29,1,29,4%
01,M,04,GEN ED / CTT / G&T,-,-,<15,14,165,21%
01,M,04,GEN ED / CTT / G&T,-,-,18,2,36,4%
01,M,04,GEN ED / CTT / G&T,-,-,19,3,57,7%
01,M,04,GEN ED / CTT / G&T,-,-,20,1,20,2%
01,M,04,GEN ED / CTT / G&T,-,-,21,1,21,3%
01,M,04,GEN ED / CTT / G&T,-,-,22,4,88,11%
01,M,04,GEN ED / CTT / G&T,-,-,23,6,138,17%
01,M,04,GEN ED / CTT / G&T,-,-,24,6,144,18%
01,M,04,GEN ED / CTT / G&T,-,-,25,1,25,3%
01,M,04,GEN ED / CTT / G&T,-,-,27,4,108,13%
01,M,05,GEN ED / CTT / G&T,-,-,<15,4,50,6%
01,M,05,GEN ED / CTT / G&T,-,-,15,1,15,2%
01,M,05,GEN ED / CTT / G&T,-,-,17,1,17,2%
01,M,05,GEN ED / CTT / G&T,-,-,18,1,18,2%
01,M,05,GEN ED / CTT / G&T,-,-,19,2,38,5%
01,M,05,GEN ED / CTT / G&T,-,-,21,1,21,3%
01,M,05,GEN ED / CTT / G&T,-,-,22,3,66,8%
