DISTRICT###,PROGRAM,GRADE OR SERVICE CATEGORY##,CORE COURSE(High Schools only),AVERAGE CLASS SIZE
1,GENERAL EDUCATION ,Kindergarten             ,,16.1
1,GENERAL EDUCATION ,1,,17.8
1,GENERAL EDUCATION ,2,,17
1,GENERAL EDUCATION ,3,,18
1,GENERAL EDUCATION ,4,,18.4
1,GENERAL EDUCATION ,5,,19.7
1,GENERAL EDUCATION ,6,,21.3
1,GENERAL EDUCATION ,7,,24
1,GENERAL EDUCATION ,8,,21.8
1,GENERAL EDUCATION,9,ENGLISH,23.3
1,GENERAL EDUCATION,9,MATH   ,22.8
1,GENERAL EDUCATION,9,SOCIAL STUDIES,23.8
1,GENERAL EDUCATION,9,SCIENCE,25
1,GENERAL EDUCATION,10,ENGLISH,22.2
1,GENERAL EDUCATION,10,MATH   ,21.7
1,GENERAL EDUCATION,10,SOCIAL STUDIES,22.1
1,GENERAL EDUCATION,10,SCIENCE,23.6
1,GENERAL EDUCATION,11,ENGLISH,24.1
1,GENERAL EDUCATION,11,MATH   ,22.5
1,GENERAL EDUCATION,11,SOCIAL STUDIES,22.3
1,GENERAL EDUCATION,11,SCIENCE,22.7
1,GENERAL EDUCATION,12,ENGLISH,20.3
1,GENERAL EDUCATION,12,MATH   ,22.3
1,GENERAL EDUCATION,12,SOCIAL STUDIES,22.8
1,GENERAL EDUCATION,12,SCIENCE,20.2
1,SPECIAL CLASS - Grades K-9#,12:1           ,,10
1,SPECIAL CLASS - Grades K-9#,12:1:1         ,,8.8
1,SPECIAL CLASS - High School,Mainstream,ENGLISH,15.6
1,SPECIAL CLASS - High School,Mainstream,MATH   ,17.1
1,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,14.7
1,SPECIAL CLASS - High School,Mainstream,SCIENCE,25.5
1,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,14.2
1,COLLABORATIVE TEAM TEACHING    ,1,,22
1,COLLABORATIVE TEAM TEACHING    ,2,,17
1,COLLABORATIVE TEAM TEACHING    ,3,,17
1,COLLABORATIVE TEAM TEACHING    ,4,,21.3
1,COLLABORATIVE TEAM TEACHING    ,5,,18.8
1,COLLABORATIVE TEAM TEACHING    ,6,,30.3
1,COLLABORATIVE TEAM TEACHING    ,7,,31.8
1,COLLABORATIVE TEAM TEACHING    ,8,,24.8
1,GIFTED & TALENTED    ,Kindergarten             ,,21.5
1,GIFTED & TALENTED    ,1,,21.2
1,GIFTED & TALENTED    ,2,,22.8
1,GIFTED & TALENTED    ,3,,20.8
1,GIFTED & TALENTED    ,4,,20
1,GIFTED & TALENTED    ,5,,22.3
1,GIFTED & TALENTED    ,6,,12.6
1,GIFTED & TALENTED    ,7,,8.6
1,GIFTED & TALENTED    ,8,,10.5
2,GENERAL EDUCATION ,Kindergarten             ,,21.6
2,GENERAL EDUCATION ,1,,21.7
2,GENERAL EDUCATION ,2,,22
2,GENERAL EDUCATION ,3,,22.6
2,GENERAL EDUCATION ,4,,25.1
2,GENERAL EDUCATION ,5,,26.1
2,GENERAL EDUCATION ,6,,27.4
2,GENERAL EDUCATION ,7,,27.6
2,GENERAL EDUCATION ,8,,26.8
2,GENERAL EDUCATION,9,ENGLISH,26.5
2,GENERAL EDUCATION,9,MATH   ,27.3
2,GENERAL EDUCATION,9,SOCIAL STUDIES,28
2,GENERAL EDUCATION,9,SCIENCE,28.8
2,GENERAL EDUCATION,10,ENGLISH,27.8
2,GENERAL EDUCATION,10,MATH   ,28
2,GENERAL EDUCATION,10,SOCIAL STUDIES,28.8
2,GENERAL EDUCATION,10,SCIENCE,28.7
2,GENERAL EDUCATION,11,ENGLISH,27.8
2,GENERAL EDUCATION,11,MATH   ,28.3
2,GENERAL EDUCATION,11,SOCIAL STUDIES,28.4
2,GENERAL EDUCATION,11,SCIENCE,28.3
2,GENERAL EDUCATION,12,ENGLISH,26.8
2,GENERAL EDUCATION,12,MATH   ,26.1
2,GENERAL EDUCATION,12,SOCIAL STUDIES,28.4
2,GENERAL EDUCATION,12,SCIENCE,27.8
2,SPECIAL CLASS - Grades K-9#,12:1           ,,9.1
2,SPECIAL CLASS - Grades K-9#,12:1:1         ,,9.4
2,SPECIAL CLASS - High School,Mainstream,ENGLISH,23.8
2,SPECIAL CLASS - High School,Mainstream,MATH   ,25.1
2,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,24.7
2,SPECIAL CLASS - High School,Mainstream,SCIENCE,26.6
2,SPECIAL CLASS - High School,Self-Contained,ENGLISH,13.1
2,SPECIAL CLASS - High School,Self-Contained,MATH   ,13.8
2,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,14.4
2,SPECIAL CLASS - High School,Self-Contained,SCIENCE,14.1
2,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,20.3
2,COLLABORATIVE TEAM TEACHING    ,1,,21.8
2,COLLABORATIVE TEAM TEACHING    ,2,,21.8
2,COLLABORATIVE TEAM TEACHING    ,3,,22.7
2,COLLABORATIVE TEAM TEACHING    ,4,,26.4
2,COLLABORATIVE TEAM TEACHING    ,5,,25.6
2,COLLABORATIVE TEAM TEACHING    ,6,,23.8
2,COLLABORATIVE TEAM TEACHING    ,7,,22.8
