TITLE,DESCR,SFFX,SFX DESCR,STD HRS,ASG LVL,JOBCODE,UNION CD,UNION DESCR,BARG UNIT,BARG DESCR,MIN RATE,MAX RATE
70467,CAPTAIN (CORRECTION) TED < 11/,0,CAPTAIN (CORRECTION) TED < 11/1/92,40,0,5859,25,CORRECTION CAPTAINS ASSOCIATIO,CCA,Correction Captains Assocation,$74491.00,$94300.00
70467,CAPTAIN (CORRECTION) TED < 11/,1,CAPTAIN (CORRECTION)(ROTATING SHIFT) TED < 11/1/92,40,0,5860,25,CORRECTION CAPTAINS ASSOCIATIO,CCA,Correction Captains Assocation,$74491.00,$94300.00
70467,CAPTAIN (CORRECTION) TED < 11/,2,CAPTAIN (CORRECTION) 8 1/4 HR DAY TED < 11/1/92,40,0,5861,25,CORRECTION CAPTAINS ASSOCIATIO,CCA,Correction Captains Assocation,$74491.00,$94300.00
70467,CAPTAIN (CORRECTION) TED < 11/,3,CAPTAIN (CORRECTION) - PROMOTED AFTER 10/31/92,40,0,5862,25,CORRECTION CAPTAINS ASSOCIATIO,CCA,Correction Captains Assocation,$74491.00,$94300.00
70467,CAPTAIN (CORRECTION) TED < 11/,4,CAPTAIN (CORRECTION)-ROTATING SHIFTS-PROMOTED AFTER 10/31/92,40,0,5863,25,CORRECTION CAPTAINS ASSOCIATIO,CCA,Correction Captains Assocation,$74491.00,$94300.00
70467,CAPTAIN (CORRECTION) TED < 11/,5,CAPTAIN (CORRECTION)-8 1/4 HR DAY-PROMOTED AFTER 10/31/92,40,0,5864,25,CORRECTION CAPTAINS ASSOCIATIO,CCA,Correction Captains Assocation,$74491.00,$94300.00
70265,CAPTAIN (POLICE SERVICE)(REC N,0,CAPTAIN (POLICE SERVICE)(REC N/S)(< 5YRS),40,0,5777,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$110556.00,$140945.00
70265,CAPTAIN (POLICE SERVICE)(REC N,1,CAPTAIN (POLICE SERVICE)(10 HOURS)(NON-RECUR N/S)(=> 5YRS),40,0,5778,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$110556.00,$140945.00
70265,CAPTAIN (POLICE SERVICE)(REC N,2,CAPTAIN (POLICE SERVICE)(NON-RECUR N/S)(< 5YRS),40,0,5779,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$110556.00,$140945.00
70265,CAPTAIN (POLICE SERVICE)(REC N,3,CAPTAIN (POLICE SERVICE)(REC N/S)(=> 5YRS),40,0,5780,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$110556.00,$140945.00
