Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
3,2006,Asian,7661,684,215,2.8,980,12.8,5607,73.2,859,11.2,6466,84.4
3,2007,Asian,9392,675,463,4.9,1775,18.9,6031,64.2,1123,12,7154,76.2
3,2008,Asian,9600,674,304,3.2,1953,20.3,6064,63.2,1279,13.3,7343,76.5
3,2009,Asian,10648,680,223,2.1,1288,12.1,7505,70.5,1632,15.3,9137,85.8
3,2010,Asian,10016,673,832,8.3,2964,29.6,4161,41.5,2059,20.6,6220,62.1
3,2011,Asian,10630,668,851,8,2665,25.1,6420,60.4,694,6.5,7114,66.9
3,2012,Asian,10995,671,858,7.8,2677,24.3,6169,56.1,1291,11.7,7460,67.8
4,2006,Asian,8510,678,278,3.3,1326,15.6,5776,67.9,1130,13.3,6906,81.2
4,2007,Asian,9489,673,435,4.6,1800,19,6188,65.2,1066,11.2,7254,76.4
4,2008,Asian,9540,676,451,4.7,1403,14.7,6461,67.7,1225,12.8,7686,80.6
4,2009,Asian,9715,679,200,2.1,1270,13.1,7095,73,1150,11.8,8245,84.9
4,2010,Asian,10768,682,483,4.5,2841,26.4,6236,57.9,1208,11.2,7444,69.1
4,2011,Asian,10344,680,564,5.5,2518,24.3,6715,64.9,547,5.3,7262,70.2
4,2012,Asian,10719,684,592,5.5,2381,22.2,6742,62.9,1004,9.4,7746,72.3
5,2006,Asian,8810,675,269,3.1,1585,18,5292,60.1,1664,18.9,6956,79
5,2007,Asian,9754,672,335,3.4,2003,20.5,6519,66.8,897,9.2,7416,76
5,2008,Asian,9725,674,126,1.3,1452,14.9,7225,74.3,922,9.5,8147,83.8
5,2009,Asian,9687,683,40,0.4,1156,11.9,6556,67.7,1935,20,8491,87.7
5,2010,Asian,9972,684,629,6.3,2512,25.2,4439,44.5,2392,24,6831,68.5
5,2011,Asian,11062,675,750,6.8,2631,23.8,6591,59.6,1090,9.9,7681,69.4
5,2012,Asian,10525,676,707,6.7,2186,20.8,6597,62.7,1035,9.8,7632,72.5
6,2006,Asian,8567,670,265,3.1,1939,22.6,4825,56.3,1538,18,6363,74.3
6,2007,Asian,9399,669,185,2,2484,26.4,5396,57.4,1334,14.2,6730,71.6
6,2008,Asian,9718,666,142,1.5,2370,24.4,6661,68.5,545,5.6,7206,74.2
