Category,Type of Business,Business,Parsed Address,City/State,Zip Code,Phone Number,Location 1
Food and Drink,Bars and Lounges,12th Street Ale House,192,"New York, NY",10003,212-253-2323,"192 2nd Avenue
New York, NY 10003
(40.73115159396423, -73.98581787710589)"
Food and Drink,Bars and Lounges,Bar 13,35,"New York, NY",10003,212-979-6677,"35 13th Street
New York, NY 10003
(40.73453199675884, -73.99220020738805)"
Food and Drink,Bars and Lounges,Bar Jamon,125,"New York, NY",10003,212-253-2773,"125 17th Street
New York, NY 10003
(40.73587834070102, -73.98730883952659)"
Food and Drink,Bars and Lounges,Bar None,98,"New York, NY",10003,212-777-6663,"98 3rd Avenue
New York, NY 10003
(40.73231171938198, -73.98790430421388)"
Food and Drink,Bars and Lounges,Beauty Bar,231,"New York, NY",10003,212-539-1389,"231 14th Street
New York, NY 10003
(40.73275238717633, -73.98590780930886)"
Food and Drink,Bars and Lounges,Belmont Lounge,117,"New York, NY",10003,212-533-0009,"117 15th Street
New York, NY 10003
(40.73484780750465, -73.988767653362)"
Food and Drink,Bars and Lounges,Blatt Billiards,809,"New York, NY",10003,212-674-8855,"809 Broadway
New York, NY 10003
(40.732860305819884, -73.99120481606138)"
Food and Drink,Bars and Lounges,Blind Pig,233,"New York, NY",10003,212-209-1573,"233 14th Street
New York, NY 10003
(40.73271641429517, -73.9858268703262)"
Food and Drink,Bars and Lounges,Boxer's NYC,37,"New York, NY",10010,212-255-5082,"37 20th Street
New York, NY 10010
(40.73914078212147, -73.98289845639863)"
Food and Drink,Bars and Lounges,Cibar Lounge ,56,"New York, NY",10003,212-460-5656,"56 Irving Place
New York, NY 10003
(40.73609786512537, -73.98722981269191)"
Food and Drink,Bars and Lounges,Corkbuzz Wine Studio,13,"New York, NY",10003,646-873-6071,"13 13th Street
New York, NY 10003
(40.73503664915934, -73.99338885836333)"
Food and Drink,Bars and Lounges,Crocodile Lounge,325,"New York, NY",10003,212-477-7747,"325 14th Street
New York, NY 10003
(40.731898031248534, -73.98386634830234)"
Food and Drink,Bars and Lounges,Finnerty's,221,"New York, NY",10003,212-677-2655,"221 2nd Avenue
New York, NY 10003
(40.73203292955293, -73.98519734490566)"
Food and Drink,Bars and Lounges,Flatiron Lounge,37,"New York, NY",10011,212-727-7741,"27 19th Street
New York, NY 10011
(40.739465213084046, -73.9922132276018)"
Food and Drink,Bars and Lounges,Flute Bar,40,"New York, NY",10003,212-529-7870,"40 20th Street
New York, NY 10003
(40.73864294646825, -73.98853382963438)"
Food and Drink,Bars and Lounges,Heartland Brewery,35,"New York, NY",10011,212-645-3400,"35 Union Square
New York, NY 10011
(40.73681732274878, -73.99057529064089)"
Food and Drink,Bars and Lounges,Hype Lounge,243,"New York, NY",10003,212-253-2112,"243 14th Street
New York, NY 10003
(40.73254554310961, -73.98542217541302)"
Food and Drink,Bars and Lounges,Karaoke One 7,29,"New York, NY",10011,212-675-3527,"29 17th Street
New York, NY 10011
(40.73857999392624, -73.9937948635058)"
Food and Drink,Bars and Lounges,NEMO NYC,54,"New York, NY",10003,212-477-1177,"54 13th Street
New York, NY 10003
(40.734230121983956, -73.9916131764903)"
Food and Drink,Bars and Lounges,Nightingale,213,"New York, NY",10003,212-473-9398,"213 2nd Avenue
New York, NY 10003
(40.73179011260498, -73.98536821609127)"
Food and Drink,Bars and Lounges,No Idea Bar,30,"New York, NY",10003,212-777-0100,"30 20th Street
New York, NY 10003
(40.73875985833206, -73.98882161268375)"
Food and Drink,Bars and Lounges,NoWhere,322,"New York, NY",10003,212-477-4744 ,"322 14th Street
New York, NY 10003
(40.73195199057028, -73.98400124660674)"
Food and Drink,Bars and Lounges,O'Hanlon's Bar,349,"New York, NY",10003,212-533-7333,"349 14th Street
New York, NY 10003
(40.731547295657094, -73.9830209855948)"
Food and Drink,Bars and Lounges,Old Town Bar,45,"New York, NY",10003,212-529-6732,"45 18th Street
New York, NY 10003
(40.737643948887325, -73.98971552537726)"
Food and Drink,Bars and Lounges,Paddy Maguire's Ale House,237,"New York, NY",10003,212-253-0031,"237 3rd Avenue
New York, NY 10003
(40.73671839732555, -73.98468473134898)"
Food and Drink,Bars and Lounges,Park Bar,15,"New York, NY",10003,212-367-9085,"15 15th Street
New York, NY 10003
(40.736576341549636, -73.99278643140573)"
Food and Drink,Bars and Lounges,Pierre Loti,53,"New York, NY",10003,212-777-5684,"53 Irving Place
New York, NY 10003
(40.73600279540167, -73.98734440163307)"
Food and Drink,Bars and Lounges,Professor Thom's,219,"New York, NY",10003,212-260-9480,"219 2nd Avenue
New York, NY 10003
(40.73197897023118, -73.98524231100714)"
Food and Drink,Bars and Lounges,Revival,129,"New York, NY",10003,212-253-8061,"129 15th Street
New York, NY 10003
(40.73447908547263, -73.98787732455298)"
Food and Drink,Bars and Lounges,Shades of Green,125,"New York, NY",10003,212-674-1394,"125 15th Street
New York, NY 10003
(40.73451505835379, -73.98797624997621)"
Food and Drink,Bars and Lounges,Shoolbred's,197,"New York, NY",10003,212-529-0340,"197 2nd Avenue
New York, NY 10003
(40.7312505193874, -73.98574593134356)"
Food and Drink,Bars and Lounges,Sidebar,120,"New York, NY",10003,212-677-2900,"120 15th Street
New York, NY 10003
(40.73463761939186, -73.98834760821919)"
Food and Drink,Bars and Lounges,Splash Bar,50,"New York, NY",10011,212-691-0073,"50 17th Street
New York, NY 10011
(40.73891274307704, -73.99459526011185)"
Food and Drink,Bars and Lounges,Still Bar & Grill,192,"New York, NY",10003,212-471-9807,"192 3rd Avenue
New York, NY 10003
(40.735423373603396, -73.98562901947975)"
Food and Drink,Bars and Lounges,The Penny Farthing,103,"New York, NY",10003,212-387-7300,"103 3rd Avenue
New York, NY 10003
(40.73266469143512, -73.98759692996641)"
Food and Drink,Bars and Lounges,The Watering Hole,106,"New York, NY",10003,212-674-5783,"106 19th Street
New York, NY 10003
(40.737410875288106, -73.98740068387747)"
Food and Drink,Bars and Lounges,Underbar,201,"New York, NY",10003,212-358-1560,"201 Park Avenue
New York, NY 10003
(40.736808329528515, -73.98877664658232)"
Food and Drink,Bars and Lounges,Union Bar,204,"New York, NY",10003,212-674-2105,"204 Park Avenue
New York, NY 10003
(40.7367610638196, -73.98897459203866)"
Food and Drink,Casual Eateries,2 Brothers Pizza,601,"New York, NY",10011,212-206-8656,"601 6th Avenue
New York, NY 10011
(40.73954791037468, -73.99527918109105)"
Food and Drink,Casual Eateries,71 Irving Place Coffee & Tea Bar,71,"New York, NY",10003,212-995-5252,"71 Irving Place
New York, NY 10003
(40.736709404105284, -73.98678914489756)"
Food and Drink,Casual Eateries,99 Miles to Philly,94,"New York, NY",10003,212-253-2700,"94 3rd avenue
New York, NY 10003
(40.73222401898494, -73.98800335412427)"
Food and Drink,Casual Eateries,Adriatic Pizzaria,321,"New York, NY",10003,212-260-2797,"321 1st Avenue
New York, NY 10003
(40.73423626852468, -73.98043993137071)"
Food and Drink,Casual Eateries,Alberto's Pizza,539,"New York, NY",10011,212-989-0500,"539 6th Avenue
New York, NY 10011
(40.7377076515578, -73.99657376857635)"
Food and Drink,Casual Eateries,Amore's Pizza,104,"New York, NY",10003,212-420-8287,"104 14th Street
New York, NY 10003
(40.73426671518677, -73.98957863750378)"
Food and Drink,Casual Eateries,Artichoke,328,"New York, NY",10003,212-228-2004,"328 14th Street
New York, NY 10003
(40.73185306514705, -73.98376742287911)"
Food and Drink,Casual Eateries,Au Bon Pain,6,"New York, NY",10003,212-475-0453,"6 Union Square
New York, NY 10003
(40.73596308628365, -73.98931939420669)"
Food and Drink,Casual Eateries,Bagel Boss,263,"New York, NY",10003,,"263 1st Avenue
New York, NY 10003
(40.732257760060236, -73.98189683305816)"
Food and Drink,Casual Eateries,Bagel Buffet,510,"New York, NY",10011,212-924-8875,"510 6th Avenue
New York, NY 10011
(40.73673689551687, -73.9972430761928)"
Food and Drink,Casual Eateries,Baked by Melissa,7,"New York, NY",10003,212-255-5526,"7 14th Street
New York, NY 10003
(40.73588023182016, -73.99327322372638)"
Food and Drink,Casual Eateries,Baohaus,238,"New York, NY",10003,212-533-8424,"238 14th Street
New York, NY 10003
(40.73263547531252, -73.98563801270006)"
Food and Drink,Casual Eateries,Beecher's,900,"New York, NY",10003,212-466-3340,"900 Broadway
New York, NY 10003
(40.73908791889474, -73.98981185377654)"
Food and Drink,Casual Eateries,Big Arc Chicken,233,"New York, NY",10003,212-477-0091,"233 1st Avenue
New York, NY 10003
(40.731106627862744, -73.98275118898601)"
Food and Drink,Casual Eateries,Big Daddy's Diner,239,"New York, NY",10003,212-477-1500,"239 Park Avenue
New York, NY 10003
(40.737941475285425, -73.98794027709505)"
Food and Drink,Casual Eateries,Birdbath Bakery,223,"New York, NY",10003,646-722-6565,"223 1st Avenue
New York, NY 10003
(40.73087280413512, -73.98294004661216)"
Food and Drink,Casual Eateries,Bite,211,"New York, NY",10003,212-677-3123,"211 14th Street
New York, NY 10003
(40.73294124480253, -73.98635747032347)"
Food and Drink,Casual Eateries,Blimpie,145,"New York, NY",10003,212-533-7733,"145 4th Avenue
New York, NY 10003
(40.733887963771586, -73.98979182138295)"
Food and Drink,Casual Eateries,Blue 9 Burger,92,"New York, NY",10003,212-333-3042,"92 3rd Avenue
New York, NY 10003
(40.73215004974803, -73.98805724599687)"
Food and Drink,Casual Eateries,Blue Valley Deli and Grocery,570,"New York, NY",10011,212-242-9118,"570 6th Avenue
New York, NY 10011
(40.73864718966728, -73.99585355735229)"
Food and Drink,Casual Eateries,Boqueria,53,"New York, NY",10011,212-255-4160,"53 19th Street
New York, NY 10011
(40.74011783459633, -73.99384882282754)"
Food and Drink,Casual Eateries,Bourbon Coffee,43,"New York, NY",10011,212-675-5552,"43 14th Street
New York, NY 10011
(40.73660554609126, -73.99498699969458)"
Food and Drink,Casual Eateries,Bravo Pizza,115,"New York, NY",10003,212-253-2220,"115 14th Street
New York, NY 10003
(40.73410703918648, -73.98903278938955)"
Food and Drink,Casual Eateries,Bravo Pizza,146,"New York, NY",10011,212-523-0300,"146 5th Avenue
New York, NY 10011
(40.739335424430806, -73.99120481606138)"
Food and Drink,Casual Eateries,Bravo Pizza,257,"New York, NY",10003,212-253-6090,"257 Park Avenue
New York, NY 10003
(40.73826172036685, -73.98766899496006)"
Food and Drink,Casual Eateries,Brothers Deli & Grocery,127,"New York, NY",10003,212-477-0870,"127 4th Avenue
New York, NY 10003
(40.73322708645454, -73.98987720687002)"
Food and Drink,Casual Eateries,Burger House,820,"New York, NY",10003,212-677-8282,"820 Broadway
New York, NY 10003
(40.73324658875044, -73.99108266884785)"
Food and Drink,Casual Eateries,Café Beyond,620,"New York, NY",10011,212-620-9752,"620 6th Avenue
New York, NY 10011
(40.73998098469299, -73.99488336487511)"
Food and Drink,Casual Eateries,Café Medina,9,"New York, NY",10003,212-242-2777,"9 17th Street
New York, NY 10003
(40.73758174647372, -73.99142964656875)"
Food and Drink,Casual Eateries,Café Prague,2,"New York, NY",10011,212-929-2602,"2 19th Street
New York, NY 10011
(40.73907073747317, -73.99142847570117)"
Food and Drink,Casual Eateries,Café Season's,538,"New York, NY",10011,212-929-9993,"538 6th Avenue
New York, NY 10011
(40.737624652371046, -73.99658590520606)"
Food and Drink,Casual Eateries,Chat 'N' Chew,10,"New York, NY",10003,212-243-1616,"10 16th Street
New York, NY 10003
(40.737203218009554, -73.99245960604283)"
Food and Drink,Casual Eateries,Chickpea,210,"New York, NY",10003,212-228-3445,"210 14th Street
New York, NY 10003
(40.73305815666629, -73.98664525337284)"
Food and Drink,Casual Eateries,Chipotle,117,"New York, NY",10003,212-260-0641,"117 14th Street
New York, NY 10003
(40.734060074609545, -73.98891725653026)"
Food and Drink,Casual Eateries,Chipotle,510,"New York, NY",10011,646-336-6203,"510 6th Avenue
New York, NY 10011
(40.73673689551687, -73.9972430761928)"
Food and Drink,Casual Eateries,Chipotle,864,"New York, NY",10003,212-253-7860,"864 Broadway
New York, NY 10003
(40.737347922746096, -73.99023354826977)"
Food and Drink,Casual Eateries,Chocolat Moderne,27,"New York, NY",10011,212-229-4797,"27 20th Street
New York, NY 10011
(40.740477563408035, -73.99281460249387)"
Food and Drink,Casual Eateries,Chop't,24,"New York, NY",10003,646-336-5523,"24 17th Street
New York, NY 10003
(40.73724304743148, -73.99068693569711)"
Food and Drink,Casual Eateries,City Bakery,3,"New York, NY",10011,212-366-1414,"3 18th Street
New York, NY 10011
(40.73875985833206, -73.99247286012275)"
Food and Drink,Casual Eateries,City Chow Café,897,"New York, NY",10003,212-529-9160,"897 Broadway
New York, NY 10003
(40.738929413387076, -73.9898541219119)"
Food and Drink,Casual Eateries,City Gourmet,238,"New York, NY",10003,212-260-6040,"238 14th Street
New York, NY 10003
(40.73263547531252, -73.98563801270006)"
Food and Drink,Casual Eateries,Cooper Town Diner,339,"New York, NY",10003,,"339 1st Avenue
New York, NY 10003
(40.734874787165495, -73.97997228391546)"
Food and Drink,Casual Eateries,Corbet & Conley,145,"New York, NY",10003,212-982-3939,"125 17th Street
New York, NY 10003
(40.73587834070102, -73.98730883952659)"
Food and Drink,Casual Eateries,Cosi,257,"New York, NY",10003,212-598-4070,"257 Park Avenue
New York, NY 10003
(40.73826172036685, -73.98766899496006)"
