Boro/Central Library,Network,Branch,ADULT Program,ADULT Attendance,YOUNG ADULT Program,YOUNG ADULT Attendance,JUVENILE Program,JUVENILE Attendance,OUTREACH SERVICES Program,OUTREACH SERVICES Attendance, TOTAL Program, TOTAL Attendance, REFERENCE TRANSACTIONS Adult, REFERENCE TRANSACTIONS Young Adult, REFERENCE TRANSACTIONS Juvenile, REFERENCE TRANSACTIONS,CIRCULATION Adult,CIRCULATION Young Adult,CIRCULATION Juvenile,CIRCULATION,Weekly Hours of Public Service
Bronx,Bronx Library Center Network,Allerton,25,250,37,420,183,4714,1,17,246,5401,75595,32253,38038,145886,62767,20191,47961,130919,46
Bronx,Bronx Library Center Network,Belmont,226,2795,186,2166,352,6792,62,740,826,12493,96980,93028,94263,284271,61924,14614,42140,118678,46
Bronx,Bronx Library Center Network,Bronx  Library Center,449,15179,201,4324,379,13069,303,8151,1332,40723,254384,78494,173134,506012,354231,75239,184508,613978,78
Bronx,Bronx Library Center Network,Francis Martin,7,108,44,506,206,3805,18,645,275,5064,27469,8112,11609,47190,43431,15379,37966,96776,46
Bronx,Bronx Library Center Network,Grand Concourse,228,1841,220,2450,349,8976,368,5097,1165,18364,44460,17810,17238,79508,77381,21413,51671,150465,50
Bronx,Bronx Library Center Network,High Bridge,74,693,47,591,45,3403,40,1549,206,6236,36023,17173,16991,70187,54853,26971,62964,144788,46
Bronx,Bronx Library Center Network,Jerome Park,94,424,106,1828,117,2321,7,91,324,4664,11479,7462,7566,26507,48450,15534,38205,102189,46
Bronx,Bronx Library Center Network,Kingsbridge,15,661,82,1066,147,2862,117,2189,361,6778,24661,5694,6825,37180,96645,20455,45262,162362,46
Bronx,Bronx Library Center Network,Morrisania,84,660,186,4341,316,5881,99,2202,685,13084,52780,15327,33787,101894,49208,16005,36447,101660,46
Bronx,Bronx Library Center Network,Mosholu,119,1259,132,1456,198,5709,59,1739,508,10163,47619,18499,16302,82420,100420,27057,106836,234313,46
Bronx,Bronx Library Center Network,Riverdale,109,906,45,413,212,3980,17,118,383,5417,16978,4654,3835,25467,72512,10117,55779,138408,46
Bronx,Bronx Library Center Network,Sedgwick,56,406,139,2649,160,2828,47,1398,402,7281,18395,9295,8528,36218,35981,12496,33045,81522,46
Bronx,Bronx Library Center Network,Spuyten Duyvil,68,874,11,503,179,3924,1,42,259,5343,24193,3510,5070,32773,135638,13578,90154,239370,46
Bronx,Bronx Library Center Network,Tremont,174,1200,256,2802,361,5084,29,662,820,9748,23257,6760,13910,43927,41377,15661,31248,88286,46
Bronx,Bronx Library Center Network,Van Cortlandt,17,149,24,201,133,2137,2,44,176,2531,33605,7423,9009,50037,50460,11677,24228,86365,46
Bronx,Bronx Library Center Network,Van Nest ,35,327,43,570,133,1971,124,2230,335,5098,35373,16770,20267,72410,65998,15957,50707,132662,46
Bronx,Bronx Library Center Network,Woodlawn Heights,38,282,7,42,61,844,0,0,106,1168,12649,3159,7267,23075,40387,6060,24440,70887,46
Bronx,Bronx Library Center Network,Subtotal:,1818,28014,1766,26328,3531,78300,1294,26914,8409,159556,835900,345423,483639,1664962,1391663,338404,963561,2693628,818
Bronx,Parkchester Network,Parkchester Network,,,,,,,,,,,,,,,,,,,
Bronx,Parkchester Network,Baychester,111,1836,114,1733,160,1882,6,137,391,5588,31278,7787,9178,48243,106265,20253,45099,171617,48
Bronx,Parkchester Network,Castle Hill,37,327,50,632,137,2433,5,229,229,3621,14568,6282,8049,28899,32774,11139,33338,77251,46
Bronx,Parkchester Network,City Island,110,990,162,869,158,2781,26,804,456,5444,21190,5265,14937,41392,27667,3169,13927,44763,44
Bronx,Parkchester Network,Clason's Point,246,2085,307,4426,239,6150,255,11370,1047,24031,70538,44538,55705,170781,54993,16834,71248,143075,48
Bronx,Parkchester Network,Eastchester,27,264,129,1531,172,3235,9,136,337,5166,26221,23218,37232,86671,59150,16391,39223,114764,46
Bronx,Parkchester Network,Edenwald,62,375,57,1156,167,3905,70,890,356,6326,13728,11232,9347,34307,56939,19447,47325,123711,46
Bronx,Parkchester Network,Hunt's Point,61,998,85,1164,219,4415,168,4032,533,10609,30706,21320,27053,79079,63087,20499,48519,132105,48
Bronx,Parkchester Network,Melrose,80,821,44,694,308,6170,34,535,466,8220,26455,8827,12831,48113,66296,22494,68037,156827,48
Bronx,Parkchester Network,Morris Park,142,1980,152,2022,228,3397,79,2561,601,9960,61945,20215,25116,107276,69446,17572,69906,156924,48
Bronx,Parkchester Network,Mott Haven ,94,955,157,2044,318,8952,144,2786,713,14737,28028,16029,26494,70551,51164,17760,48129,117053,48
Bronx,Parkchester Network,Parkchester ,188,1705,289,4200,620,16301,194,3325,1291,25531,23738,13702,20540,57980,129885,39299,134124,303308,62
Bronx,Parkchester Network,Pelham Bay,70,399,88,1593,260,5567,5,59,423,7618,36023,10439,10608,57070,70993,17308,49439,137740,46
Bronx,Parkchester Network,Soundview,209,2247,119,2314,545,9849,40,1333,913,15743,35815,20098,24817,80730,49336,19222,47820,116378,46
Bronx,Parkchester Network,Throg's Neck,120,910,145,1796,289,8399,19,597,573,11702,46514,23595,35932,106041,55142,11468,43537,110147,46
Bronx,Parkchester Network,Wakefield,99,2180,177,2380,330,4468,80,2061,686,11089,80314,28145,27079,135538,58124,17138,45095,120357,46
Bronx,Parkchester Network,West Farms,135,913,129,1268,133,3112,92,983,489,6276,10465,3666,4095,18226,21461,8599,12945,43005,46
Bronx,Parkchester Network,Westchester Square,78,437,198,2153,294,5398,183,2639,753,10627,19370,8138,10595,38103,43227,13086,55036,111349,46
Bronx,Parkchester Network,Woodstock,15,148,73,1595,130,2953,3,233,221,4929,16445,5954,5317,27716,49258,12749,29588,91595,46
Bronx,Parkchester Network,Subtotal:,1884,19570,2475,33570,4707,99367,1412,34710,10478,187217,593341,278450,364925,1236716,1065207,304427,902335,2271969,854
Bronx,Special Units,Bronx  Borough Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,Special Units,Subtotal:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,,BRONX TOTAL:,3702,47584,4241,59898,8238,177667,2706,61624,18887,346773,1429241,623873,848564,2901678,2456870,642831,1865896,4965597,1672
