DBN,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
01M015,3,2006,Not SWD,28,659,1,3.6,9,32.1,18,64.3,0,0,18,64.3
01M015,3,2006,SWD,9,625,3,33.3,5,55.6,1,11.1,0,0,1,11.1
01M015,3,2007,Not SWD,29,637,4,13.8,18,62.1,7,24.1,0,0,7,24.1
01M015,3,2007,SWD,4,s,s,s,s,s,s,s,s,s,s,s
01M015,3,2008,Not SWD,32,647,1,3.1,19,59.4,12,37.5,0,0,12,37.5
01M015,3,2008,SWD,7,638,2,28.6,3,42.9,2,28.6,0,0,2,28.6
01M015,3,2009,Not SWD,29,645,1,3.4,15,51.7,13,44.8,0,0,13,44.8
01M015,3,2009,SWD,4,s,s,s,s,s,s,s,s,s,s,s
01M015,3,2010,Not SWD,19,659,5,26.3,10,52.6,3,15.8,1,5.3,4,21.1
01M015,3,2010,SWD,6,629,5,83.3,1,16.7,0,0,0,0,0,0
01M015,3,2011,Not SWD,21,650,5,23.8,13,61.9,3,14.3,0,0,3,14.3
01M015,3,2011,SWD,7,636,2,28.6,5,71.4,0,0,0,0,0,0
01M015,3,2012,Not SWD,14,659,2,14.3,7,50,4,28.6,1,7.1,5,35.7
01M015,3,2012,SWD,7,634,5,71.4,2,28.6,0,0,0,0,0,0
01M015,4,2006,Not SWD,30,628,10,33.3,14,46.7,5,16.7,1,3.3,6,20
01M015,4,2006,SWD,16,606,8,50,6,37.5,2,12.5,0,0,2,12.5
01M015,4,2007,Not SWD,28,656,1,3.6,10,35.7,17,60.7,0,0,17,60.7
01M015,4,2007,SWD,14,633,1,7.1,11,78.6,2,14.3,0,0,2,14.3
01M015,4,2008,Not SWD,32,636,4,12.5,19,59.4,9,28.1,0,0,9,28.1
01M015,4,2008,SWD,9,623,2,22.2,5,55.6,2,22.2,0,0,2,22.2
01M015,4,2009,Not SWD,31,643,5,16.1,14,45.2,12,38.7,0,0,12,38.7
01M015,4,2009,SWD,7,610,1,14.3,4,57.1,2,28.6,0,0,2,28.6
01M015,4,2010,Not SWD,25,647,5,20,18,72,2,8,0,0,2,8
01M015,4,2010,SWD,3,s,s,s,s,s,s,s,s,s,s,s
01M015,4,2011,Not SWD,21,666,2,9.5,12,57.1,7,33.3,0,0,7,33.3
01M015,4,2011,SWD,6,641,2,33.3,4,66.7,0,0,0,0,0,0
01M015,4,2012,Not SWD,16,659,1,6.3,11,68.8,4,25,0,0,4,25
01M015,4,2012,SWD,5,s,s,s,s,s,s,s,s,s,s,s
01M015,5,2006,Not SWD,15,643,2,13.3,6,40,7,46.7,0,0,7,46.7
01M015,5,2006,SWD,13,604,6,46.2,7,53.8,0,0,0,0,0,0
01M015,5,2007,Not SWD,29,642,3,10.3,14,48.3,12,41.4,0,0,12,41.4
01M015,5,2007,SWD,19,629,2,10.5,14,73.7,3,15.8,0,0,3,15.8
01M015,5,2008,Not SWD,24,649,0,0,11,45.8,13,54.2,0,0,13,54.2
01M015,5,2008,SWD,12,629,2,16.7,8,66.7,2,16.7,0,0,2,16.7
01M015,5,2009,Not SWD,30,660,0,0,10,33.3,20,66.7,0,0,20,66.7
01M015,5,2009,SWD,11,653,0,0,5,45.5,6,54.5,0,0,6,54.5
01M015,5,2010,Not SWD,24,661,4,16.7,14,58.3,5,20.8,1,4.2,6,25
01M015,5,2010,SWD,11,647,5,45.5,5,45.5,1,9.1,0,0,1,9.1
01M015,5,2011,Not SWD,22,657,5,22.7,12,54.5,5,22.7,0,0,5,22.7
01M015,5,2011,SWD,3,s,s,s,s,s,s,s,s,s,s,s
01M015,5,2012,Not SWD,18,662,2,11.1,9,50,7,38.9,0,0,7,38.9
01M015,5,2012,SWD,3,s,s,s,s,s,s,s,s,s,s,s
01M015,6,2006,Not SWD,27,644,1,3.7,12,44.4,13,48.1,1,3.7,14,51.9
01M015,6,2006,SWD,9,624,1,11.1,6,66.7,2,22.2,0,0,2,22.2
01M015,All Grades,2006,Not SWD,100,,14,14,41,41,43,43,2,2,45,45
01M015,All Grades,2006,SWD,47,,18,38.3,24,51.1,5,10.6,0,0,5,10.6
01M015,All Grades,2007,Not SWD,86,,8,9.3,42,48.8,36,41.9,0,0,36,41.9
01M015,All Grades,2007,SWD,37,,5,13.5,25,67.6,7,18.9,0,0,7,18.9
01M015,All Grades,2008,Not SWD,88,,5,5.7,49,55.7,34,38.6,0,0,34,38.6
01M015,All Grades,2008,SWD,28,,6,21.4,16,57.1,6,21.4,0,0,6,21.4
01M015,All Grades,2009,Not SWD,90,,6,6.7,39,43.3,45,50,0,0,45,50
01M015,All Grades,2009,SWD,22,,1,4.5,13,59.1,8,36.4,0,0,8,36.4
01M015,All Grades,2010,Not SWD,68,,14,20.6,42,61.8,10,14.7,2,2.9,12,17.6
01M015,All Grades,2010,SWD,20,,11,55,8,40,1,5,0,0,1,5
01M015,All Grades,2011,Not SWD,64,658,12,18.8,37,57.8,15,23.4,0,0,15,23.4
01M015,All Grades,2011,SWD,16,640,5,31.3,11,68.8,0,0,0,0,0,0
01M015,All Grades,2012,Not SWD,48,660,5,10.4,27,56.3,15,31.3,1,2.1,16,33.3
01M015,All Grades,2012,SWD,15,637,9,60,6,40,0,0,0,0,0,0
01M019,3,2006,Not SWD,49,662,2,4.1,15,30.6,31,63.3,1,2,32,65.3
01M019,3,2006,SWD,7,592,5,71.4,2,28.6,0,0,0,0,0,0
01M019,3,2007,Not SWD,41,655,2,4.9,16,39,23,56.1,0,0,23,56.1
01M019,3,2007,SWD,3,s,s,s,s,s,s,s,s,s,s,s
01M019,3,2008,Not SWD,39,662,1,2.6,12,30.8,25,64.1,1,2.6,26,66.7
01M019,3,2008,SWD,9,644,0,0,7,77.8,2,22.2,0,0,2,22.2
01M019,3,2009,Not SWD,38,673,0,0,3,7.9,33,86.8,2,5.3,35,92.1
01M019,3,2009,SWD,8,641,2,25,4,50,1,12.5,1,12.5,2,25
01M019,3,2010,Not SWD,28,653,7,25,14,50,7,25,0,0,7,25
01M019,3,2010,SWD,7,662,3,42.9,2,28.6,1,14.3,1,14.3,2,28.6
01M019,3,2011,Not SWD,28,663,1,3.6,16,57.1,11,39.3,0,0,11,39.3
01M019,3,2011,SWD,6,632,3,50,3,50,0,0,0,0,0,0
01M019,3,2012,Not SWD,35,661,3,8.6,16,45.7,15,42.9,1,2.9,16,45.7
01M019,3,2012,SWD,12,633,6,50,5,41.7,1,8.3,0,0,1,8.3
01M019,4,2006,Not SWD,37,660,2,5.4,12,32.4,23,62.2,0,0,23,62.2
01M019,4,2006,SWD,17,610,7,41.2,8,47.1,2,11.8,0,0,2,11.8
01M019,4,2007,Not SWD,36,663,0,0,8,22.2,28,77.8,0,0,28,77.8
01M019,4,2007,SWD,12,610,6,50,5,41.7,1,8.3,0,0,1,8.3
01M019,4,2008,Not SWD,38,649,5,13.2,11,28.9,22,57.9,0,0,22,57.9
