YEAR of BIRTH,GENDER,CHILD FIRST NAME,COUNT,RANK
2009,FEMALE,ISABELLA,544,1
2009,FEMALE,SOPHIA,513,2
2009,FEMALE,MIA,464,3
2009,FEMALE,EMILY,462,4
2009,FEMALE,OLIVIA,419,5
2009,FEMALE,MADISON,411,6
2009,FEMALE,SARAH,386,7
2009,FEMALE,ASHLEY,358,8
2009,FEMALE,LEAH,339,9
2009,FEMALE,EMMA,337,10
2009,FEMALE,CHLOE,320,11
2009,FEMALE,RACHEL,305,12
2009,FEMALE,KAYLA,299,13
2009,FEMALE,SAMANTHA,290,14
2009,FEMALE,AVA,289,15
2009,FEMALE,ABIGAIL,284,16
2009,FEMALE,BRIANNA,267,17
2009,FEMALE,VICTORIA,251,18
2009,FEMALE,ELIZABETH,238,19
2009,FEMALE,MAYA,236,20
2009,FEMALE,ESTHER,233,21
2009,FEMALE,GABRIELLA,233,21
2009,FEMALE,SOFIA,213,22
2009,FEMALE,MICHELLE,211,23
2009,FEMALE,ANGELINA,209,24
2009,FEMALE,NICOLE,208,25
2009,FEMALE,ZOE,207,26
2009,FEMALE,SARA,204,27
2009,FEMALE,ARIANNA,201,28
2009,FEMALE,ALEXANDRA,200,29
2009,FEMALE,ALYSSA,199,30
2009,FEMALE,JULIA,194,31
2009,FEMALE,GRACE,191,32
2009,FEMALE,HAILEY,191,32
2009,FEMALE,ELLA,189,33
2009,FEMALE,JESSICA,180,34
2009,FEMALE,ANNA,170,35
2009,FEMALE,CHAYA,170,35
2009,FEMALE,CHANA,165,36
2009,FEMALE,MELANIE,164,37
2009,FEMALE,NATALIE,164,37
2009,FEMALE,SOPHIE,155,38
2009,FEMALE,ARIANA,154,39
2009,FEMALE,MIRIAM,153,40
2009,FEMALE,HANNAH,152,41
2009,FEMALE,LILY,152,41
2009,FEMALE,CHARLOTTE,150,42
2009,FEMALE,GENESIS,148,43
2009,FEMALE,KATHERINE,147,44
2009,FEMALE,GIANNA,146,45
2009,FEMALE,ALLISON,144,46
2009,FEMALE,AALIYAH,143,47
2009,FEMALE,ALEXA,143,47
2009,FEMALE,DESTINY,142,48
2009,FEMALE,AMELIA,139,49
2009,FEMALE,MARIA,139,49
2009,FEMALE,KIMBERLY,136,50
2009,FEMALE,VALENTINA,136,50
2009,FEMALE,AMY,132,51
2009,FEMALE,JASMINE,132,51
2009,FEMALE,KAYLEE,130,52
2009,FEMALE,STEPHANIE,130,52
2009,FEMALE,NEVAEH,128,53
2009,FEMALE,LAILA,125,54
2009,FEMALE,MAKAYLA,123,55
2009,FEMALE,EVA,118,56
2009,FEMALE,JADA,118,56
2009,FEMALE,EVELYN,116,57
2009,FEMALE,NAOMI,115,58
2009,FEMALE,KAITLYN,114,59
2009,FEMALE,JENNIFER,113,60
2009,FEMALE,LAUREN,113,60
2009,FEMALE,LAYLA,112,61
2009,FEMALE,ADRIANA,111,62
2009,FEMALE,GABRIELA,111,62
2009,FEMALE,CAMILA,109,63
2009,FEMALE,AMANDA,108,64
2009,FEMALE,DIANA,108,64
2009,FEMALE,GABRIELLE,105,65
2009,FEMALE,TIFFANY,105,65
2009,FEMALE,JADE,101,66
2009,FEMALE,TAYLOR,100,67
2009,FEMALE,ALEXIS,99,68
2009,FEMALE,REBECCA,97,69
2009,FEMALE,KELLY,96,70
2009,FEMALE,NATALIA,96,70
2009,FEMALE,SABRINA,96,70
2009,FEMALE,SYDNEY,96,70
2009,FEMALE,SERENITY,92,71
2009,FEMALE,BRIANA,91,72
2009,FEMALE,RIVKA,91,72
2009,FEMALE,SAVANNAH,91,72
2009,FEMALE,ANDREA,90,73
2009,FEMALE,CHELSEA,90,73
2009,FEMALE,ISABEL,90,73
2009,FEMALE,JOCELYN,90,73
2009,FEMALE,MALIA,90,73
2009,FEMALE,JAYLA,89,74
2009,FEMALE,CAROLINE,88,75
2009,FEMALE,DANIELLA,88,75
2009,FEMALE,VALERIE,87,76
2009,FEMALE,VANESSA,87,76
2009,FEMALE,VIVIAN,87,76
2009,FEMALE,MELISSA,86,77
2009,FEMALE,FIONA,85,78
2009,FEMALE,DANIELA,84,79
2009,FEMALE,CLAIRE,83,80
2009,FEMALE,KAREN,82,81
2009,FEMALE,LONDON,82,81
2009,FEMALE,MADELINE,82,81
2009,FEMALE,MORGAN,82,81
2009,FEMALE,MYA,81,82
2009,FEMALE,ANGELA,80,83
2009,FEMALE,STELLA,79,84
2009,FEMALE,AMBER,77,85
2009,FEMALE,BROOKE,77,85
2009,FEMALE,KATELYN,76,86
2009,FEMALE,RUBY,76,86
2009,FEMALE,ARIEL,75,87
2009,FEMALE,JACQUELINE,74,88
2009,FEMALE,LILA,74,88
2009,FEMALE,SASHA,73,89
2009,FEMALE,JULIANA,71,90
2009,FEMALE,MEGAN,71,90
2009,FEMALE,CATHERINE,70,91
2009,FEMALE,LESLIE,70,91
2009,FEMALE,AUDREY,69,92
2009,FEMALE,ELIANA,69,92
2009,FEMALE,KIARA,69,92
2009,FEMALE,SERENA,69,92
2009,FEMALE,AMAYA,68,93
2009,FEMALE,BELLA,68,93
2009,FEMALE,CHRISTINA,67,94
2009,FEMALE,EMELY,67,94
2009,FEMALE,KHLOE,67,94
2009,FEMALE,SIENNA,67,94
2009,FEMALE,ALICE,66,95
2009,FEMALE,DANIELLE,66,95
2009,FEMALE,FAIGY,66,95
2009,FEMALE,ISABELLE,66,95
2009,FEMALE,LUCY,66,95
2009,FEMALE,FAITH,65,96
2009,FEMALE,MARIAM,64,97
2009,FEMALE,MIKAYLA,64,97
2009,FEMALE,ANA,63,98
2009,FEMALE,MALKA,63,98
2009,FEMALE,MARIAH,62,99
2009,FEMALE,NINA,62,99
2009,FEMALE,RAIZY,62,99
2009,FEMALE,RILEY,62,99
2009,FEMALE,GISELLE,61,100
2009,FEMALE,FATIMA,60,101
2009,FEMALE,JOANNA,60,101
2009,FEMALE,ALINA,59,102
2009,FEMALE,LILIANA,59,102
2009,FEMALE,VALERIA,59,102
2009,FEMALE,GITTY,58,103
2009,FEMALE,ANIYAH,57,104
2009,FEMALE,DAISY,57,104
