Energy Type,-,_,FY 2009Jul-2008,Aug-2008,Sep-2008,Oct-2008,Nov-2008,Dec-2008,Jan-2009,Feb-2009,Mar-2009,Apr-2009,May-2009,Jun-2009,FY 2010Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010,FY 2011Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011,Jun-2011,FY 2012Jul-2011,Aug-2011,Sep-2011,Oct-2011,Nov-2011,Dec-2011,Jan-2012,Feb-2012,Mar-2012,Apr-2012,May-2012,Jun-2012,Location 1
Electricity Demand (KW),1741.5,1621.5,1534,1213,894.5,895.5,861.5,889.5,867.5,1253.5,1307,1345.5,1670.5,1704,1644.5,1254,933,888,820.5,836.5,831.5,1174.5,1386,1693,1748.5,1650,1584,1391.5,1253.5,883.5,820.5,892.5,806,1061.5,1147,1639.5,1683.5,1667,1455,1322,882,846,831,824,783,1121,1232,1567.5,,,
Electricity Usage (KWH),622200,581400,505800,397800,376200,419400,393000,381000,393600,387600,435600,483000,601200,601800,507600,435000,378000,420600,345000,369000,340200,378600,427200,543000,646200,594600,520800,462000,387600,420600,420600,360000,341400,332400,403800,544800,587400,546000,516600,430200,372600,355800,354000,370200,319200,340800,379800,528600,,,
Steam (mlbs),73,64,72,612,2760,6011,6988,5472,4708,1479,98,74,74,67,78,682,1019,4301,4557,4469,2096,564,284,77,56,63,69,385,1816,4593,5146,3560,3047,1069,242,104,93,113,116,282,1603,2801,3981,2670,1550,1062,171,119,,,
Total Usage (mmBTUs),2205.1,2055.8,1806.72,2041.39,4367.38,8146.77,9148.15,7413.55,6603.03,2975.18,1596.17,1731.14,2134.55,2128.78,1819.56,2246.56,2428.51,6240.49,6268.46,6252.06,3502.7,1922.24,1775.3,1939.27,2268.02,2099.73,1854.56,2006.91,3351.67,6566.7,7184.5,5205.83,4569.24,2328.74,1648.51,1975.57,2108.68,1989.72,1892.73,1783.3,3062.51,4343.56,5655.68,4246.35,2821.05,2349.59,1487.28,1937.04,,,
Electricity Demand (KW),252,236,224,172,164,164,136,148,136,224,232,228,248,260,236,196,168,156,152,144,152,240,236,296,272,272,272,220,200,160,160,160,156,188,208,248,268,228,212,184,148,140,140,136,164,200,156,228,,,
Electricity Usage (KWH),112800,104800,82000,65200,62000,66400,62400,58800,60400,61200,70800,76800,96400,102000,84800,73200,64000,68400,62800,62400,61200,65600,74400,104000,110400,96400,100800,70400,66400,72000,61200,66400,60000,62800,68000,88800,101200,92000,81600,64000,64800,59200,57200,60800,58400,54400,55600,74000,,,
Gas (Therms),211,215,214,1200,1745,4971,3950,4338,3239,1230,240,229,225,190,198,1319,1878,4532,5113,3999,3942,1357,442,82,63,57,59,293,2170,5486,8188,1742,3419,1783,331,214,238,215,243,268,435,2986,6555,5237,2868,1726,828,284,,,
Total Usage (mmBTUs),406.08,379.18,301.26,342.53,386.1,723.72,607.97,634.48,530.04,331.87,265.64,285.02,351.51,367.12,309.22,381.73,406.23,686.65,725.63,612.87,603.07,359.59,298.12,363.15,383.09,334.71,349.93,269.57,443.62,794.33,1027.67,400.82,546.68,392.63,265.18,324.47,369.19,335.49,302.8,245.23,264.66,500.65,850.72,731.21,486.12,358.27,272.56,280.96,,,
Electricity Demand (KW),1592,1394,1396,1370,912,908,888,892,894,1296,1320,1322,1366,1556,1306,1248,1222,886,886,888,888,1294,1326,1388,1432,1452,1342,1346,1282,860,886,888,866,872,1326,1388,1588,1320,1318,1320,846,836,832,826,822,1216,1218,1516,,,
Electricity Usage (KWH),553600,538400,506400,407200,372000,376000,406400,364800,368000,364800,403200,438400,507200,510400,458400,393600,344000,388800,348000,357600,362400,356000,385600,480000,558400,502400,469600,406400,327200,388800,388800,247200,327200,327200,366400,458400,485600,448800,440000,379200,324800,322400,320800,320000,300800,313600,341600,444000,,,
