Residence,2005 Number of Officers,2005 Percent of Subtotal,2005 NYPD Population 2005,2006 Number of Officers,2006 Percent of Subtotal,2006 NYPD Population 2006,2007 Number of Officers,2007 Percent of Subtotal,2007 NYPD Population 2007,2008 Number of Officers,2008 Percent of Subtotal,2008 NYPD Population 2008,2009 Number of Officers,2009 Percent of Subtotal,2009 NYPD Population 2009
Bronx,49,13.3%,9.4%,35,10.1%,9.6%,19,6.4%,9.7%,19,8.8%,9.7%,38,13.8%,9.5%
Brooklyn,39,10.6%,12.5%,45,13%,13%,22,7.4%,13.2%,20,9.3%,12.7%,27,9.8%,12.4%
Manhattan,18,4.9%,4.4%,12,3.5%,4.4%,11,3.7%,4.3%,7,3.2%,4.1%,26,9.5%,4%
Queens,51,13.8%,15.8%,46,13.3%,16.1%,68,22.7%,16.1%,48,22.2%,16.2%,42,15.3%,16.1%
Staten Island,36,9.8%,11.5%,37,10.7%,11.4%,27,9%,11.4%,22,10.2%,11.2%,26,9.5%,11.2%
NYC Resident Total,193,52.3%,53.6%,175,50.4%,54.5%,147,49.2%,54.7%,116,53.7%,53.9%,159,57.8%,53.2%
Nassau,47,12.7%,15.2%,51,14.7%,14.5%,34,11.4%,14.4%,16,7.4%,14.6%,19,6.9%,14.9%
Orange,22,6%,6%,18,5.2%,6.1%,23,7.7%,6.2%,10,4.6%,6.5%,14,5.1%,6.6%
Putnam,8,2.2%,1.5%,8,2.3%,1.5%,3,1%,1.5%,3,1.4%,1.5%,2,0.7%,1.5%
Rockland,15,4.1%,3.9%,27,7.8%,3.8%,19,6.4%,3.7%,13,6%,3.7%,15,5.5%,3.8%
Suffolk,62,16.8%,15.4%,50,14.4%,15.1%,45,15.1%,14.9%,39,18.1%,15%,33,12%,15%
Westchester,22,6%,4.4%,18,5.2%,4.5%,28,9.4%,4.6%,19,8.8%,4.8%,33,12%,5%
Non-NYC Resident Total,176,47.7%,46.4%,172,49.6%,45.5%,152,50.8%,45.3%,100,46.3%,46.1%,116,42.2%,46.8%
Subtotal,369,100%,100%,347,100%,100%,299,100%,100%,216,100%,100%,275,100%,100%
Officer unidentified,2,,,0,,,1,,,3,,,1,,
Total,371,,,347,,,300,,,219,,,276,,
