Borough,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
BRONX,3,2006,Female,7984,664,911,11.4,1635,20.5,4232,53,1206,15.1,5438,68.1
BRONX,3,2006,Male,8461,663,1151,13.6,1622,19.2,4386,51.8,1302,15.4,5688,67.2
BRONX,3,2007,Female,7803,675,484,6.2,1296,16.6,4410,56.5,1613,20.7,6023,77.2
BRONX,3,2007,Male,8386,673,761,9.1,1344,16,4586,54.7,1695,20.2,6281,74.9
BRONX,3,2008,Female,7556,678,249,3.3,958,12.7,5123,67.8,1226,16.2,6349,84
BRONX,3,2008,Male,8080,676,421,5.2,1103,13.7,5324,65.9,1232,15.2,6556,81.1
BRONX,3,2009,Female,7659,683,84,1.1,683,8.9,5519,72.1,1373,17.9,6892,90
BRONX,3,2009,Male,8150,680,174,2.1,883,10.8,5776,70.9,1317,16.2,7093,87
BRONX,3,2010,Female,7653,683,1200,15.7,3109,40.6,2274,29.7,1070,14,3344,43.7
BRONX,3,2010,Male,8213,683,1438,17.5,3228,39.3,2355,28.7,1192,14.5,3547,43.2
BRONX,3,2011,Female,7714,679,1199,15.5,3249,42.1,2900,37.6,366,4.7,3266,42.3
BRONX,3,2011,Male,8104,678,1367,16.9,3377,41.7,2853,35.2,507,6.3,3360,41.5
BRONX,3,2012,Female,7748,680,1177,15.2,3173,41,2925,37.8,473,6.1,3398,43.9
BRONX,3,2012,Male,8310,679,1512,18.2,3258,39.2,3045,36.6,495,6,3540,42.6
BRONX,4,2006,Female,7738,658,997,12.9,2073,26.8,3763,48.6,905,11.7,4668,60.3
BRONX,4,2006,Male,8060,658,1215,15.1,1852,23,3939,48.9,1054,13.1,4993,61.9
BRONX,4,2007,Female,7721,663,823,10.7,1884,24.4,4021,52.1,993,12.9,5014,64.9
BRONX,4,2007,Male,8345,662,1083,13,1891,22.7,4181,50.1,1190,14.3,5371,64.4
BRONX,4,2008,Female,7623,668,599,7.9,1439,18.9,4460,58.5,1125,14.8,5585,73.3
BRONX,4,2008,Male,8122,667,805,9.9,1504,18.5,4550,56,1263,15.6,5813,71.6
BRONX,4,2009,Female,7532,678,420,5.6,1050,13.9,4297,57,1765,23.4,6062,80.5
BRONX,4,2009,Male,7999,677,611,7.6,1138,14.2,4334,54.2,1916,24,6250,78.1
BRONX,4,2010,Female,7739,674,678,8.8,3496,45.2,2513,32.5,1052,13.6,3565,46.1
BRONX,4,2010,Male,8167,673,846,10.4,3484,42.7,2719,33.3,1118,13.7,3837,47
BRONX,4,2011,Female,7715,676,639,8.3,3139,40.7,2868,37.2,1069,13.9,3937,51
BRONX,4,2011,Male,8196,674,892,10.9,3259,39.8,2932,35.8,1113,13.6,4045,49.4
BRONX,4,2012,Female,7457,678,620,8.3,2813,37.7,2775,37.2,1249,16.7,4024,54
BRONX,4,2012,Male,7911,677,832,10.5,2936,37.1,2789,35.3,1354,17.1,4143,52.4
BRONX,5,2006,Female,8098,648,1360,16.8,2869,35.4,3291,40.6,578,7.1,3869,47.8
BRONX,5,2006,Male,8295,646,1615,19.5,2671,32.2,3407,41.1,602,7.3,4009,48.3
BRONX,5,2007,Female,7903,657,815,10.3,2462,31.2,3867,48.9,759,9.6,4626,58.5
BRONX,5,2007,Male,8357,655,1145,13.7,2419,28.9,3935,47.1,858,10.3,4793,57.4
BRONX,5,2008,Female,7549,665,467,6.2,1681,22.3,4399,58.3,1002,13.3,5401,71.5
BRONX,5,2008,Male,8213,663,769,9.4,1764,21.5,4558,55.5,1122,13.7,5680,69.2
BRONX,5,2009,Female,7486,675,251,3.4,1221,16.3,4329,57.8,1685,22.5,6014,80.3
BRONX,5,2009,Male,8013,672,413,5.2,1371,17.1,4461,55.7,1768,22.1,6229,77.7
BRONX,5,2010,Female,7500,674,709,9.5,3178,42.4,2591,34.5,1022,13.6,3613,48.2
BRONX,5,2010,Male,8020,672,1010,12.6,3148,39.3,2740,34.2,1122,14,3862,48.2
BRONX,5,2011,Female,7655,676,659,8.6,3005,39.3,3057,39.9,934,12.2,3991,52.1
BRONX,5,2011,Male,8050,674,902,11.2,3086,38.3,3058,38,1004,12.5,4062,50.5
BRONX,5,2012,Female,7606,677,764,10,2705,35.6,2797,36.8,1340,17.6,4137,54.4
BRONX,5,2012,Male,8112,674,1095,13.5,2825,34.8,2847,35.1,1345,16.6,4192,51.7
BRONX,6,2006,Female,7806,637,1911,24.5,2878,36.9,2691,34.5,326,4.2,3017,38.6
BRONX,6,2006,Male,8025,636,2184,27.2,2720,33.9,2776,34.6,345,4.3,3121,38.9
BRONX,6,2007,Female,7494,649,1220,16.3,2443,32.6,3264,43.6,567,7.6,3831,51.1
BRONX,6,2007,Male,8128,645,1642,20.2,2685,33,3252,40,549,6.8,3801,46.8
BRONX,6,2008,Female,7479,656,753,10.1,2117,28.3,3837,51.3,772,10.3,4609,61.6
BRONX,6,2008,Male,7896,652,1084,13.7,2290,29,3704,46.9,818,10.4,4522,57.3
BRONX,6,2009,Female,7347,665,460,6.3,1729,23.5,4196,57.1,962,13.1,5158,70.2
BRONX,6,2009,Male,8093,660,771,9.5,2127,26.3,4189,51.8,1006,12.4,5195,64.2
BRONX,6,2010,Female,7433,666,1099,14.8,3221,43.3,2096,28.2,1017,13.7,3113,41.9
BRONX,6,2010,Male,7975,663,1481,18.6,3351,42,2154,27,989,12.4,3143,39.4
BRONX,6,2011,Female,7429,669,1033,13.9,3084,41.5,2411,32.5,901,12.1,3312,44.6
BRONX,6,2011,Male,7962,665,1496,18.8,3229,40.6,2360,29.6,877,11,3237,40.7
BRONX,6,2012,Female,7518,670,975,13,2859,38,2437,32.4,1247,16.6,3684,49
BRONX,6,2012,Male,8026,666,1368,17,3149,39.2,2331,29,1178,14.7,3509,43.7
BRONX,7,2006,Female,8272,631,1931,23.3,3742,45.2,2414,29.2,185,2.2,2599,31.4
BRONX,7,2006,Male,8383,628,2261,27,3631,43.3,2312,27.6,179,2.1,2491,29.7
BRONX,7,2007,Female,7889,645,1061,13.4,3309,41.9,3035,38.5,484,6.1,3519,44.6
BRONX,7,2007,Male,8317,640,1510,18.2,3437,41.3,2899,34.9,471,5.7,3370,40.5
BRONX,7,2008,Female,7736,655,499,6.5,2567,33.2,4002,51.7,668,8.6,4670,60.4
BRONX,7,2008,Male,8295,649,852,10.3,2979,35.9,3845,46.4,619,7.5,4464,53.8
BRONX,7,2009,Female,7613,664,185,2.4,1802,23.7,4863,63.9,763,10,5626,73.9
BRONX,7,2009,Male,7998,662,314,3.9,2131,26.6,4688,58.6,865,10.8,5553,69.4
BRONX,7,2010,Female,7433,662,1258,16.9,3129,42.1,2127,28.6,919,12.4,3046,41
BRONX,7,2010,Male,8121,659,1522,18.7,3597,44.3,2134,26.3,868,10.7,3002,37
BRONX,7,2011,Female,7542,664,1088,14.4,3284,43.5,2272,30.1,898,11.9,3170,42
BRONX,7,2011,Male,7903,662,1440,18.2,3239,41,2204,27.9,1020,12.9,3224,40.8
BRONX,7,2012,Female,7391,664,1109,15,3075,41.6,2208,29.9,999,13.5,3207,43.4
BRONX,7,2012,Male,7982,661,1535,19.2,3152,39.5,2269,28.4,1026,12.9,3295,41.3
BRONX,8,2006,Female,8346,629,2631,31.5,3499,41.9,2012,24.1,204,2.4,2216,26.6
BRONX,8,2006,Male,8392,624,2917,34.8,3443,41,1862,22.2,170,2,2032,24.2
BRONX,8,2007,Female,8201,636,2076,25.3,3428,41.8,2437,29.7,260,3.2,2697,32.9
BRONX,8,2007,Male,8528,633,2424,28.4,3525,41.3,2342,27.5,237,2.8,2579,30.2
BRONX,8,2008,Female,7718,648,994,12.9,2980,38.6,3296,42.7,448,5.8,3744,48.5
BRONX,8,2008,Male,8094,644,1416,17.5,3018,37.3,3238,40,422,5.2,3660,45.2
BRONX,8,2009,Female,7786,661,419,5.4,2295,29.5,4381,56.3,691,8.9,5072,65.1
BRONX,8,2009,Male,8268,656,605,7.3,2718,32.9,4403,53.3,542,6.6,4945,59.8
BRONX,8,2010,Female,7708,663,1321,17.1,3842,49.8,1901,24.7,644,8.4,2545,33
BRONX,8,2010,Male,8191,659,1892,23.1,3923,47.9,1808,22.1,568,6.9,2376,29
BRONX,8,2011,Female,7543,665,1096,14.5,3319,44,2534,33.6,594,7.9,3128,41.5
BRONX,8,2011,Male,8208,660,1573,19.2,3675,44.8,2436,29.7,524,6.4,2960,36.1
BRONX,8,2012,Female,7470,668,890,11.9,3262,43.7,2656,35.6,662,8.9,3318,44.4
BRONX,8,2012,Male,7877,665,1190,15.1,3549,45.1,2538,32.2,600,7.6,3138,39.8
BRONX,All Grades,2006,Female,48244,644,9741,20.2,16696,34.6,18403,38.1,3404,7.1,21807,45.2
BRONX,All Grades,2006,Male,49616,642,11343,22.9,15939,32.1,18682,37.7,3652,7.4,22334,45
BRONX,All Grades,2007,Female,47011,654,6479,13.8,14822,31.5,21034,44.7,4676,9.9,25710,54.7
BRONX,All Grades,2007,Male,50061,651,8565,17.1,15301,30.6,21195,42.3,5000,10,26195,52.3
BRONX,All Grades,2008,Female,45661,662,3561,7.8,11742,25.7,25117,55,5241,11.5,30358,66.5
BRONX,All Grades,2008,Male,48700,659,5347,11,12658,26,25219,51.8,5476,11.2,30695,63
BRONX,All Grades,2009,Female,45423,671,1819,4,8780,19.3,27585,60.7,7239,15.9,34824,76.7
BRONX,All Grades,2009,Male,48521,668,2888,6,10368,21.4,27851,57.4,7414,15.3,35265,72.7
