BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
2-02290-0001,"401 145 STREET
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,13,1910,10789,0,0,235000,21.78,2-02285-0001,"401 140 STREET
Bronx, NY
(40.810411837191104, -73.92189788277214)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,14,1910,11510,110743,9.62,235000,20.42,0.25,2-02550-0007,"218 ST ANNS AVENUE
Bronx, NY
(40.80635278553079, -73.91777134483357)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,16,1910,13440,125342,9.33,266000,19.79,0.5
2-02293-0041,"426 149 STREET
Bronx, NY
(40.815586003474664, -73.91658913224703)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1905,10845,0,0,295000,27.2,2-02551-0064,"605 138 STREET
Bronx, NY
(40.80633208693502, -73.91624647804682)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,26,1905,16020,139611,8.71,296000,18.48,0.6,2-02285-0070,"441 140 STREET
Bronx, NY
(40.81007369210936, -73.92108286642132)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,11,1905,13235,94760,7.16,201000,15.19,0.4
2-02301-0004,"330 139 STREET
Bronx, NY
(40.81069298762525, -73.92462634274597)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1931,9415,0,0,280000,29.7,2-02285-0003,"306 WILLIS AVENUE
Bronx, NY
(40.81054332618791, -73.92182611052176)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,11,1931,8870,102257,11.53,265000,29.9,0.2,2-02550-0003,"214 ST ANNS AVENUE
Bronx, NY
(40.806244297320795, -73.91784883641213)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,12,1931,9180,119960,13.07,374000,40.7,0.5
2-02360-0070,"530 159 STREET
Bronx, NY
(40.82138198884924, -73.91077726081927)",MORRISANIA/LONGWOOD,C6-WALK-UP,46,1928,46210,0,0,974000,21.08,2-02748-0060,"1001 BRYANT AVENUE
Bronx, NY
(40.823290282837036, -73.8885882162631)",MORRISANIA/LONGWOOD,D3-ELEVATOR,26,1928,22075,240221,10.88,509000,23.06,1.15,2-02612-0058,"1229 FRANKLIN AVENUE
Bronx, NY
(40.83051205520179, -73.90338176338274)",MORRISANIA/LONGWOOD,D7-ELEVATOR,62,1928,68722,466897,6.79,990000,14.41,0.85
2-02373-0043,"3531 3 AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,C6-WALK-UP,15,1920,12651,0,0,296000,23.4,2-02603-0067,"576 TIMPSON PLACE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,D1-ELEVATOR,50,1920,51384,561680,10.93,1190000,23.16,1.4,2-02665-0061,"721 UNION AVENUE
Bronx, NY
(40.817112732397234, -73.90379396408963)",MORRISANIA/LONGWOOD,C7-WALK-UP,49,1920,43750,425889,9.73,903000,20.64,1.05
2-02375-0029,"425 153 STREET
Bronx, NY
(40.818768553987205, -73.91596089641712)",MORRISANIA/LONGWOOD,C6-WALK-UP,25,1912,17220,200425,11.64,425000,24.68,2-02615-0050,"1239 BOSTON ROAD
Bronx, NY
(40.830081087930616, -73.90172135574859)",MORRISANIA/LONGWOOD,C1-WALK-UP,21,1912,15765,193333,12.26,543000,34.4,1.05,2-02674-0027,"592 UNION AVENUE
Bronx, NY
(40.81365223753357, -73.90495325584675)",MORRISANIA/LONGWOOD,C1-WALK-UP,43,1926,33890,534664,15.78,1810000,53,0.7
2-02410-0031,"318 151 STREET
Bronx, NY
(40.81830039334598, -73.9203135874597)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,6948,93748,13.49,199000,28.6,2-02430-0033,"1191 CLAY AVENUE
Bronx, NY
(40.83192503007201, -73.91091398535674)",MELROSE/CONCOURSE,C1-WALK-UP,12,1929,11500,140601,12.23,395000,34.3,1.05,2-02427-0018,"1268 CLAY AVENUE
Bronx, NY
(40.833666143802176, -73.90985166470924)",MELROSE/CONCOURSE,C1-WALK-UP,12,1909,11345,102734,9.06,218000,19.22,1.2
2-02410-0032,"320 151 STREET
Bronx, NY
(40.81828155380546, -73.92024088615592)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,7560,102000,13.49,216000,28.6,2-02430-0033,"1191 CLAY AVENUE
Bronx, NY
(40.83192503007201, -73.91091398535674)",MELROSE/CONCOURSE,C1-WALK-UP,12,1929,11500,140601,12.23,395000,34.3,1.05,2-02674-0027,"592 UNION AVENUE
Bronx, NY
(40.81365223753357, -73.90495325584675)",MORRISANIA/LONGWOOD,C1-WALK-UP,43,1926,33890,534664,15.78,1810000,53,0.9
2-02421-0013,"270 162 STREET
Bronx, NY
(40.8264570018299, -73.91782103862984)",MELROSE/CONCOURSE,C6-WALK-UP,11,1931,10675,120950,11.33,256000,23.98,2-02430-0033,"1191 CLAY AVENUE
Bronx, NY
(40.83192503007201, -73.91091398535674)",MELROSE/CONCOURSE,C1-WALK-UP,12,1929,11500,140601,12.23,395000,34.3,0.5,2-02427-0018,"1268 CLAY AVENUE
Bronx, NY
(40.833666143802176, -73.90985166470924)",MELROSE/CONCOURSE,C1-WALK-UP,12,1909,11345,102734,9.06,218000,19.22,0.65
2-02422-0030,"943 TELLER AVENUE
Bronx, NY
(40.82615911625451, -73.91557814166602)",MELROSE/CONCOURSE,C6-WALK-UP,37,1920,33055,357489,10.81,758000,22.93,2-02427-0018,"1268 CLAY AVENUE
Bronx, NY
(40.833666143802176, -73.90985166470924)",MELROSE/CONCOURSE,C1-WALK-UP,12,1909,11345,102734,9.06,218000,19.22,0.6,2-02430-0033,"1191 CLAY AVENUE
Bronx, NY
(40.83192503007201, -73.91091398535674)",MELROSE/CONCOURSE,C1-WALK-UP,12,1929,11500,140601,12.23,395000,34.3,0.45
