Type of Abuse of Authority Allegation,Substantiated Number,Sunstantiated rate,Exonerated number,Exonerated rate,Unsubstantiated number,Unsubstantiated rate,Unfounded number,Unfounded rate,Officer Unidentified number,Officer Unidentified rate,Miscellaneous,Miscellaneous rate
Gun fired,0,0%,18,94.7%,0,0%,0,0%,0,0%,1,5.3%
Gun pointed,4,1.3%,199,65.2%,36,11.8%,47,15.4%,12,3.9%,7,2.3%
Nightstick as club,4,2.1%,73,37.6%,31,16%,54,27.8%,28,14.4%,4,2.1%
Gun as club,1,4%,1,4%,6,24%,14,56%,2,8%,1,4%
Police shield,0,0%,5,83.3%,0,0%,0,0%,1,16.7%,0,0%
Vehicle,1,6.3%,3,18.8%,2,12.5%,9,56.3%,0,0%,1,6.3%
Other blunt instrument as club,0,0%,6,12.5%,11,22.9%,23,47.9%,8,16.7%,0,0%
Hit against inanimate object,1,0.9%,23,21.7%,21,19.8%,45,42.5%,12,11.3%,4,3.8%
Chokehold,0,0%,0,0%,28,24.8%,70,61.9%,13,11.5%,2,1.8%
Pepper spray,5,2.6%,138,72.6%,14,7.4%,24,12.6%,9,4.7%,0,0%
Physical force*,43,1.7%,1546,59.9%,410,15.9%,365,14.1%,168,6.5%,50,1.9%
Radio as club,0,0%,3,10%,4,13.3%,19,63.3%,2,6.7%,2,6.7%
Flashlight as club,0,0%,1,10%,5,50%,3,30%,1,10%,0,0%
Handcuffs too tight,0,0%,0,0%,14,29.8%,24,51.1%,8,17%,1,2.1%
Nonlethal restraining device,0,0%,19,59.4%,3,9.4%,8,25%,1,3.1%,1,3.1%
Animal,0,0%,0,0%,0,0%,1,100%,0,0%,0,0%
Other,3,7.1%,14,33.3%,11,26.2%,12,28.6%,2,4.8%,0,0%
Total,62,1.6%,2049,54.4%,596,15.8%,718,19.1%,267,7.1%,74,2%
"* ""Physical force"" includes: dragged/pulled, pushed/shoved/threw, beat, punched/kicked/kneed, slapped, fought, and bit. ",,,,,,,,,,,,
