Type of Abuse of Authority Allegation,Substantiated Number,Sunstantiated rate,Exonerated number,Exonerated rate,Unsubstantiated number,Unsubstantiated rate,Unfounded number,Unfounded rate,Officer Unidentified number,Officer Unidentified rate,Miscellaneous,Miscellaneous rate
Type of Abuse of Authority Allegation,Substantiated Number,Sunstantiated rate,Exonerated number,Exonerated rate,Unsubstantiated number,Unsubstantiated rate,Unfounded number,Unfounded rate,Officer Unidentified number,Officer Unidentified rate,Miscellaneous,Miscellaneous rate
Question and/or stop**,78,8.2%,641,67.2%,118,12.4%,24,2.5%,70,7.3%,23,2.4%
Question ,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Stop,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Frisk and/or search*,34,15%,75,33%,60,26.4%,18,7.9%,37,16.3%,3,1.3%
Search,41,0%,76,0%,82,0%,46,0%,34,0%,7,0%
Frisk,29,0%,105,0%,31,0%,7,0%,21,0%,3,0%
Vehicle search,36,15.3%,92,39%,64,27.1%,19,8.1%,22,9.3%,3,1.3%
Vehicle stop,22,7.8%,183,64.7%,42,14.8%,2,0.7%,24,8.5%,10,3.5%
Premises entered or searched,32,7.1%,305,67.6%,63,14%,24,5.3%,18,4%,9,2%
Strip search,19,12.3%,50,32.3%,40,25.8%,29,18.7%,8,5.2%,9,5.8%
Gun drawn,1,1.1%,46,51.1%,9,10%,25,27.8%,6,6.7%,3,3.3%
Property seized,6,10.7%,33,58.9%,8,14.3%,5,8.9%,2,3.6%,2,3.6%
Property damaged,5,2.9%,39,22.9%,44,25.9%,52,30.6%,24,14.1%,6,3.5%
Threat to notify ACS,1,2.9%,19,54.3%,6,17.1%,4,11.4%,4,11.4%,1,2.9%
Threat of force,19,5.4%,38,10.8%,114,32.5%,120,34.2%,48,13.7%,12,3.4%
Threat to damage/seize property,1,1.6%,24,38.7%,18,29%,13,21%,5,8.1%,1,1.6%
Threat of arrest,23,3.7%,288,46.7%,154,25%,89,14.4%,47,7.6%,16,2.6%
Threat of summons,3,5.9%,23,45.1%,16,31.4%,4,7.8%,5,9.8%,0,0%
Retaliatory arrest,24,31.6%,31,40.8%,20,26.3%,0,0%,0,0%,1,1.3%
Retaliatory summons,20,19.8%,44,43.6%,25,24.8%,9,8.9%,0,0%,3,3%
Refusal to process complaint,6,11.3%,5,9.4%,15,28.3%,12,22.6%,12,22.6%,3,5.7%
Refusal to give name/shield number,76,13.7%,15,2.7%,232,41.8%,154,27.7%,65,11.7%,13,2.3%
Refusal to obtain medical treatment,7,5.1%,7,5.1%,33,23.9%,80,58%,7,5.1%,4,2.9%
Refusal to show search warrant***,0,0%,1,10%,3,30%,5,50%,1,10%,0,0%
Improper dissemination of medical info,1,50%,0,0%,0,0%,0,0%,1,50%,0,0%
Other,30,16.1%,79,42.5%,37,19.9%,24,12.9%,16,8.6%,0,0%
Total,514,9.6%,2219,41.5%,1234,23.1%,765,14.3%,477,8.9%,132,2.5%
"* Beginning in 2005, the CCRB captured ""frisk"" and ""search"" as distinct allegations.",,,,,,,,,,,,
"** Beginning in 2007, the CCRB captured ""question"" and ""stop"" as distinct allegations.",,,,,,,,,,,,
"*** The CCRB began to capture the allegation ""refusal to show search warrant"" on April 1, 2004.",,,,,,,,,,,,
