REGION,Empowerment School,DISTRICT,SCHOOL,NAME,PROGRAM,GRADE OR SERVICE CATEGORY##,CORE COURSE(High Schools only),AVG CLASS SIZE,Pupil / Teacher Ratio (PTR): All Students,PTR: Excluding Special Ed
1, ,9,2,PS 002 MORRISANIA,GENERAL EDUCATION ,Kindergarten             ,,18,,
1, ,9,2,PS 002 MORRISANIA,GENERAL EDUCATION ,1,,17,,
1, ,9,2,PS 002 MORRISANIA,GENERAL EDUCATION ,2,,23,,
1, ,9,2,PS 002 MORRISANIA,GENERAL EDUCATION ,3,,20,,
1, ,9,2,PS 002 MORRISANIA,GENERAL EDUCATION ,4,,19,,
1, ,9,2,PS 002 MORRISANIA,GENERAL EDUCATION ,5,,16.5,,
1, ,9,2,PS 002 MORRISANIA,SPECIAL CLASS - Grades K-9#,12:1           ,,11,,
1, ,9,2,PS 002 MORRISANIA,SPECIAL CLASS - Grades K-9#,12:1:1         ,,12.3,,
1, ,9,2,PS 002 MORRISANIA,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,21,,
1, ,9,2,PS 002 MORRISANIA,COLLABORATIVE TEAM TEACHING    ,5,,19,,
1,,9,2,PS 002 MORRISANIA,,,,,7.5027964969,7.7
1,*,9,4,PS MS 004 CROTONA PARK WEST,GENERAL EDUCATION ,Kindergarten             ,,17.7,,
1,*,9,4,PS MS 004 CROTONA PARK WEST,GENERAL EDUCATION ,1,,17,,
1,*,9,4,PS MS 004 CROTONA PARK WEST,GENERAL EDUCATION ,2,,19,,
1,*,9,4,PS MS 004 CROTONA PARK WEST,GENERAL EDUCATION ,3,,14.5,,
1,*,9,4,PS MS 004 CROTONA PARK WEST,GENERAL EDUCATION ,4,,16.5,,
1,*,9,4,PS MS 004 CROTONA PARK WEST,GENERAL EDUCATION ,5,,20,,
1,*,9,4,PS MS 004 CROTONA PARK WEST,GENERAL EDUCATION ,6,,21,,
1,*,9,4,PS MS 004 CROTONA PARK WEST,GENERAL EDUCATION ,7,,17.7,,
1,*,9,4,PS MS 004 CROTONA PARK WEST,GENERAL EDUCATION ,8,,22.7,,
1,*,9,4,PS MS 004 CROTONA PARK WEST,SPECIAL CLASS - Grades K-9#,12:1           ,,11,,
1,*,9,4,PS MS 004 CROTONA PARK WEST,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.2,,
1,*,9,4,PS MS 004 CROTONA PARK WEST,COLLABORATIVE TEAM TEACHING    ,3,,14,,
1,*,9,4,PS MS 004 CROTONA PARK WEST,COLLABORATIVE TEAM TEACHING    ,4,,19,,
1,*,9,4,PS MS 004 CROTONA PARK WEST,COLLABORATIVE TEAM TEACHING    ,6,,22,,
1,*,9,4,PS\MS 004 CROTONA PARK WEST,,,,,8.5354854362,8.8581815093
