MONTH,PLANT,# COMPLAINT RESPONDED,# COMPLAINT REC'D,# COMPLAINT NOT RESPONDED W/IN 24
JANUARY,OH,3,3,0
JANUARY,RK,1,1,0
JANUARY,NR,0,1,1
JANUARY,26th Ward,1,1,0
TOTAL,,5,6,1
FEBRUARY,OH,7,9,2
FEBRUARY,CFN,1,1,0
FEBRUARY,26th Ward,0,1,1
TOTAL,,8,11,3
MARCH,,,,
MARCH,NR,1,1,0
MARCH,OB,1,1,0
MARCH,OH,4,6,2
MARCH,26th Ward,1,1,0
MARCH,Rockaway,1,1,0
TOTAL,,8,10,2
APRIL,,,,
APRIL,WI,1,1,0
APRIL,CI,3,3,0
APRIL,Jam,1,1,0
APRIL,NR,2,3,1
APRIL,OB,0,1,1
APRIL,OH,0,1,1
APRIL,26th Ward,0,1,1
APRIL,CFS,0,2,2
TOTAL,,7,13,6
MAY,26th Ward,0,3,3
MAY,OH,0,4,4
MAY,CI,1,1,0
MAY,HP,1,1,0
MAY,BB,0,1,1
MAY,OB,0,1,1
TOTAL,,2,11,9
JUNE,CI,4,4,0
JUNE,NR,2,2,0
JUNE,OH,0,6,6
JUNE,ROCK,0,1,0
JUNE,WI,0,1,1
JUNE,CFS,1,1,0
TOTAL,,8,15,7
JULY,BB,1,2,1
JULY,NR,5,12,7
JULY,CI,0,8,8
JULY,OH,0,4,4
JULY,26th Ward,0,3,3
JULY,ROCK,1,1,0
TOTAL,,7,30,23
AUGUST,,,,
AUGUST,,,,
AUGUST,,,,
AUGUST,,,,
AUGUST,,,,
AUGUST,,,,
AUGUST,,,,
AUGUST,,,,
AUGUST,,,,
TOTAL,,,,
SEPTEMBER,,,,
SEPTEMBER,,,,
SEPTEMBER,,,,
SEPTEMBER,,,,
SEPTEMBER,,,,
SEPTEMBER,,,,
SEPTEMBER,,,,
SEPTEMBER,,,,
SEPTEMBER,,,,
TOTAL,,,,
OCTOBER,,,,
OCTOBER,,,,
OCTOBER,,,,
OCTOBER,,,,
OCTOBER,,,,
TOTAL,,,,
NOVEMBER,,,,
NOVEMBER,,,,
NOVEMBER,,,,
NOVEMBER,,,,
NOVEMBER,,,,
NOVEMBER,,,,
NOVEMBER,,,,
TOTAL,,,,
DECEMBER,,,,
DECEMBER,,,,
DECEMBER,,,,
DECEMBER,,,,
DECEMBER,,,,
TOTAL,,,,
