District,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
1,3,2006,Female,496,675,34,6.9,96,19.4,252,50.8,114,23,366,73.8
1,3,2006,Male,441,672,39,8.8,74,16.8,232,52.6,96,21.8,328,74.4
1,3,2007,Female,406,681,23,5.7,35,8.6,248,61.1,100,24.6,348,85.7
1,3,2007,Male,413,678,24,5.8,49,11.9,250,60.5,90,21.8,340,82.3
1,3,2008,Female,407,686,8,2,42,10.3,256,62.9,101,24.8,357,87.7
1,3,2008,Male,437,687,8,1.8,47,10.8,271,62,111,25.4,382,87.4
1,3,2009,Female,447,694,3,0.7,24,5.4,290,64.9,130,29.1,420,94
1,3,2009,Male,445,688,5,1.1,39,8.8,292,65.6,109,24.5,401,90.1
1,3,2010,Female,417,698,36,8.6,129,30.9,135,32.4,117,28.1,252,60.4
1,3,2010,Male,449,695,53,11.8,128,28.5,144,32.1,124,27.6,268,59.7
1,3,2011,Female,419,691,36,8.6,131,31.3,154,36.8,98,23.4,252,60.1
1,3,2011,Male,407,688,42,10.3,116,28.5,165,40.5,84,20.6,249,61.2
1,3,2012,Female,448,689,39,8.7,149,33.3,185,41.3,75,16.7,260,58
1,3,2012,Male,412,691,31,7.5,120,29.1,186,45.1,75,18.2,261,63.3
1,4,2006,Female,405,671,30,7.4,87,21.5,195,48.1,93,23,288,71.1
1,4,2006,Male,491,670,51,10.4,101,20.6,227,46.2,112,22.8,339,69
1,4,2007,Female,448,675,27,6,85,19,238,53.1,98,21.9,336,75
1,4,2007,Male,399,673,37,9.3,75,18.8,196,49.1,91,22.8,287,71.9
1,4,2008,Female,412,677,21,5.1,65,15.8,233,56.6,93,22.6,326,79.1
1,4,2008,Male,411,677,23,5.6,77,18.7,209,50.9,102,24.8,311,75.7
1,4,2009,Female,399,686,27,6.8,35,8.8,193,48.4,144,36.1,337,84.5
1,4,2009,Male,431,685,23,5.3,51,11.8,215,49.9,142,32.9,357,82.8
1,4,2010,Female,448,688,27,6,148,33,149,33.3,124,27.7,273,60.9
1,4,2010,Male,458,687,32,7,141,30.8,165,36,120,26.2,285,62.2
1,4,2011,Female,421,692,24,5.7,107,25.4,147,34.9,143,34,290,68.9
1,4,2011,Male,442,689,30,6.8,130,29.4,148,33.5,134,30.3,282,63.8
1,4,2012,Female,428,694,13,3,114,26.6,161,37.6,140,32.7,301,70.3
1,4,2012,Male,391,692,17,4.3,104,26.6,134,34.3,136,34.8,270,69.1
1,5,2006,Female,374,656,50,13.4,120,32.1,159,42.5,45,12,204,54.5
1,5,2006,Male,424,658,60,14.2,113,26.7,188,44.3,63,14.9,251,59.2
1,5,2007,Female,380,671,21,5.5,86,22.6,192,50.5,81,21.3,273,71.8
1,5,2007,Male,472,666,45,9.5,102,21.6,238,50.4,87,18.4,325,68.9
1,5,2008,Female,430,678,16,3.7,58,13.5,254,59.1,102,23.7,356,82.8
1,5,2008,Male,397,676,20,5,64,16.1,215,54.2,98,24.7,313,78.8
1,5,2009,Female,384,685,4,1,44,11.5,210,54.7,126,32.8,336,87.5
1,5,2009,Male,402,685,8,2,52,12.9,208,51.7,134,33.3,342,85.1
1,5,2010,Female,377,680,38,10.1,118,31.3,121,32.1,100,26.5,221,58.6
1,5,2010,Male,430,682,31,7.2,146,34,148,34.4,105,24.4,253,58.8
1,5,2011,Female,427,687,30,7,118,27.6,156,36.5,123,28.8,279,65.3
1,5,2011,Male,448,686,35,7.8,128,28.6,162,36.2,123,27.5,285,63.6
1,5,2012,Female,402,691,37,9.2,104,25.9,119,29.6,142,35.3,261,64.9
1,5,2012,Male,440,691,37,8.4,117,26.6,138,31.4,148,33.6,286,65
1,6,2006,Female,457,656,68,14.9,122,26.7,192,42,75,16.4,267,58.4
1,6,2006,Male,455,662,48,10.5,126,27.7,200,44,81,17.8,281,61.8
1,6,2007,Female,367,675,27,7.4,82,22.3,166,45.2,92,25.1,258,70.3
1,6,2007,Male,397,663,52,13.1,82,20.7,191,48.1,72,18.1,263,66.2
1,6,2008,Female,372,675,28,7.5,68,18.3,165,44.4,111,29.8,276,74.2
1,6,2008,Male,470,670,49,10.4,93,19.8,197,41.9,131,27.9,328,69.8
1,6,2009,Female,455,684,17,3.7,76,16.7,211,46.4,151,33.2,362,79.6
1,6,2009,Male,410,681,22,5.4,57,13.9,200,48.8,131,32,331,80.7
1,6,2010,Female,398,687,32,8,125,31.4,108,27.1,133,33.4,241,60.6
1,6,2010,Male,403,682,42,10.4,140,34.7,103,25.6,118,29.3,221,54.8
1,6,2011,Female,387,685,43,11.1,100,25.8,119,30.7,125,32.3,244,63
1,6,2011,Male,440,684,37,8.4,145,33,120,27.3,138,31.4,258,58.6
1,6,2012,Female,443,689,26,5.9,115,26,136,30.7,166,37.5,302,68.2
1,6,2012,Male,462,684,49,10.6,145,31.4,123,26.6,145,31.4,268,58
1,7,2006,Female,470,649,77,16.4,164,34.9,156,33.2,73,15.5,229,48.7
1,7,2006,Male,497,647,76,15.3,195,39.2,170,34.2,56,11.3,226,45.5
1,7,2007,Female,438,659,36,8.2,156,35.6,164,37.4,82,18.7,246,56.2
1,7,2007,Male,452,658,27,6,170,37.6,184,40.7,71,15.7,255,56.4
1,7,2008,Female,388,677,6,1.5,74,19.1,198,51,110,28.4,308,79.4
1,7,2008,Male,430,670,23,5.3,83,19.3,222,51.6,102,23.7,324,75.3
1,7,2009,Female,382,682,7,1.8,50,13.1,208,54.5,117,30.6,325,85.1
1,7,2009,Male,447,678,13,2.9,81,18.1,214,47.9,139,31.1,353,79
1,7,2010,Female,448,682,39,8.7,123,27.5,129,28.8,157,35,286,63.8
1,7,2010,Male,432,679,51,11.8,136,31.5,106,24.5,139,32.2,245,56.7
1,7,2011,Female,386,687,23,6,101,26.2,110,28.5,152,39.4,262,67.9
1,7,2011,Male,387,682,40,10.3,103,26.6,102,26.4,142,36.7,244,63
1,7,2012,Female,375,685,32,8.5,108,28.8,89,23.7,146,38.9,235,62.7
1,7,2012,Male,420,687,36,8.6,111,26.4,116,27.6,157,37.4,273,65
1,8,2006,Female,458,645,80,17.5,189,41.3,151,33,38,8.3,189,41.3
1,8,2006,Male,424,642,99,23.3,160,37.7,128,30.2,37,8.7,165,38.9
1,8,2007,Female,444,655,76,17.1,139,31.3,161,36.3,68,15.3,229,51.6
1,8,2007,Male,466,650,90,19.3,149,32,173,37.1,54,11.6,227,48.7
1,8,2008,Female,430,666,33,7.7,130,30.2,182,42.3,85,19.8,267,62.1
1,8,2008,Male,438,664,27,6.2,135,30.8,205,46.8,71,16.2,276,63
1,8,2009,Female,400,672,25,6.3,69,17.3,222,55.5,84,21,306,76.5
1,8,2009,Male,427,669,18,4.2,102,23.9,234,54.8,73,17.1,307,71.9
1,8,2010,Female,412,676,59,14.3,156,37.9,105,25.5,92,22.3,197,47.8
1,8,2010,Male,495,669,87,17.6,188,38,132,26.7,88,17.8,220,44.4
1,8,2011,Female,452,679,43,9.5,157,34.7,145,32.1,107,23.7,252,55.8
1,8,2011,Male,441,676,50,11.3,166,37.6,120,27.2,105,23.8,225,51
1,8,2012,Female,398,688,23,5.8,98,24.6,158,39.7,119,29.9,277,69.6
1,8,2012,Male,413,682,39,9.4,124,30,145,35.1,105,25.4,250,60.5
1,All Grades,2006,Female,2660,659,339,12.7,778,29.2,1105,41.5,438,16.5,1543,58
1,All Grades,2006,Male,2732,658,373,13.7,769,28.1,1145,41.9,445,16.3,1590,58.2
1,All Grades,2007,Female,2483,669,210,8.5,583,23.5,1169,47.1,521,21,1690,68.1
1,All Grades,2007,Male,2599,664,275,10.6,627,24.1,1232,47.4,465,17.9,1697,65.3
1,All Grades,2008,Female,2439,676,112,4.6,437,17.9,1288,52.8,602,24.7,1890,77.5
1,All Grades,2008,Male,2583,674,150,5.8,499,19.3,1319,51.1,615,23.8,1934,74.9
1,All Grades,2009,Female,2467,684,83,3.4,298,12.1,1334,54.1,752,30.5,2086,84.6
1,All Grades,2009,Male,2562,681,89,3.5,382,14.9,1363,53.2,728,28.4,2091,81.6
1,All Grades,2010,Female,2500,685,231,9.2,799,32,747,29.9,723,28.9,1470,58.8
1,All Grades,2010,Male,2667,682,296,11.1,879,33,798,29.9,694,26,1492,55.9
1,All Grades,2011,Female,2492,687,199,8,714,28.7,831,33.3,748,30,1579,63.4
1,All Grades,2011,Male,2565,684,234,9.1,788,30.7,817,31.9,726,28.3,1543,60.2
1,All Grades,2012,Female,2494,689,170,6.8,688,27.6,848,34,788,31.6,1636,65.6
