Borough,Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort,Total Regents Num,Total Regents Pct of cohort,Total Regents Pct of grads,Advanced Regents Num,Advanced Regents Pct of cohort,Advanced Regents Pct of grads,Regents w/o Advanced Num,Regents w/o Advanced Pct of cohort,Regents w/o Advanced Pct of grads,Local Num,Local Pct of cohort,Local Pct of grads,Still Enrolled Num,Still Enrolled Pct of cohort,Dropped Out Num,Dropped Out Pct of cohort
Bronx,2001,4 Year  June,English Language Learner,"1,984",388,19.60%,78,3.90%,20.10%,10,0.50%,2.60%,68,3.40%,17.50%,311,15.70%,80.20%,799,40.30%,592,29.80%
Bronx,2001,5 Year,English Language Learner,"1,984",612,30.80%,110,5.50%,18.00%,11,0.60%,1.80%,99,5.00%,16.20%,503,25.40%,82.20%,333,16.80%,758,38.20%
Bronx,2001,6 Year,English Language Learner,"1,984",689,34.70%,111,5.60%,16.10%,11,0.60%,1.60%,100,5.00%,14.50%,583,29.40%,84.60%,143,7.20%,843,42.50%
Bronx,2002,4 Year  June,English Language Learner,"1,693",333,19.70%,77,4.50%,23.10%,7,0.40%,2.10%,70,4.10%,21.00%,257,15.20%,77.20%,725,42.80%,509,30.10%
Bronx,2002,5 Year,English Language Learner,"1,693",474,28.00%,89,5.30%,18.80%,8,0.50%,1.70%,81,4.80%,17.10%,388,22.90%,81.90%,352,20.80%,678,40.00%
Bronx,2002,6 Year,English Language Learner,"1,693",563,33.30%,94,5.60%,16.70%,8,0.50%,1.40%,86,5.10%,15.30%,472,27.90%,83.80%,191,11.30%,724,42.80%
Bronx,2003,4 Year  June,English Language Learner,"1,905",391,20.50%,95,5.00%,24.30%,12,0.60%,3.10%,83,4.40%,21.20%,296,15.50%,75.70%,790,41.50%,586,30.80%
Bronx,2003,5 Year,English Language Learner,"1,905",610,32.00%,112,5.90%,18.40%,13,0.70%,2.10%,99,5.20%,16.20%,498,26.10%,81.60%,339,17.80%,718,37.70%
Bronx,2003,6 Year,English Language Learner,"1,890",674,35.70%,118,6.20%,17.50%,13,0.70%,1.90%,105,5.60%,15.60%,556,29.40%,82.50%,176,9.30%,771,40.80%
Bronx,2004,4 Year  June,English Language Learner,"1,894",640,33.80%,214,11.30%,33.40%,27,1.40%,4.20%,187,9.90%,29.20%,426,22.50%,66.60%,711,37.50%,437,23.10%
Bronx,2004,5 Year,English Language Learner,"1,902",843,44.30%,234,12.30%,27.80%,27,1.40%,3.20%,207,10.90%,24.60%,609,32.00%,72.20%,284,14.90%,541,28.40%
Bronx,2004,6 Year,English Language Learner,"1,902",906,47.60%,237,12.50%,26.20%,28,1.50%,3.10%,209,11.00%,23.10%,669,35.20%,73.80%,208,10.90%,601,31.60%
Bronx,2005,4 Year  June,English Language Learner,"1,940",694,35.80%,317,16.30%,45.70%,53,2.70%,7.60%,264,13.60%,38.00%,377,19.40%,54.30%,685,35.30%,357,18.40%
Bronx,2005,4 Year August,English Language Learner,"1,940",792,40.80%,332,17.10%,41.90%,53,2.70%,6.70%,279,14.40%,35.20%,460,23.70%,58.10%,587,30.30%,357,18.40%
Bronx,2005,5 Year,English Language Learner,"1,967",923,46.90%,357,18.10%,38.70%,53,2.70%,5.70%,304,15.50%,32.90%,566,28.80%,61.30%,280,14.20%,530,26.90%
Bronx,2005,6 Year,English Language Learner,"1,954",990,50.70%,364,18.60%,36.80%,54,2.80%,5.50%,310,15.90%,31.30%,626,32.00%,63.20%,151,7.70%,579,29.60%
Bronx,2006,4 Year  June,English Language Learner,"2,143",791,36.90%,396,18.50%,50.10%,30,1.40%,3.80%,366,17.10%,46.30%,395,18.40%,49.90%,722,33.70%,429,20.00%
Bronx,2006,4 Year August,English Language Learner,"2,143",899,42.00%,422,19.70%,46.90%,31,1.40%,3.40%,391,18.20%,43.50%,477,22.30%,53.10%,619,28.90%,424,19.80%
Bronx,2006,5 Year  June,English Language Learner,"2,226","1,018",45.70%,438,19.70%,43.00%,31,1.40%,3.00%,407,18.30%,40.00%,580,26.10%,57.00%,321,14.40%,629,28.30%
Bronx,2006,5 Year August,English Language Learner,"2,226","1,043",46.90%,442,19.90%,42.40%,31,1.40%,3.00%,411,18.50%,39.40%,601,27.00%,57.60%,299,13.40%,625,28.10%
Bronx,2007,4 Year  June,English Language Learner,"2,230",720,32.30%,461,20.70%,64.00%,22,1.00%,3.10%,439,19.70%,61.00%,259,11.60%,36.00%,868,38.90%,490,22.00%
Bronx,2007,4 Year August,English Language Learner,"2,230",852,38.20%,508,22.80%,59.60%,23,1.00%,2.70%,485,21.70%,56.90%,344,15.40%,40.40%,742,33.30%,484,21.70%
Bronx,2001,4 Year  June,English Language Proficient,"9,469","4,525",47.80%,"2,566",27.10%,56.70%,988,10.40%,21.80%,"1,578",16.70%,34.90%,"1,960",20.70%,43.30%,"2,713",28.70%,"1,846",19.50%
Bronx,2001,5 Year,English Language Proficient,"9,469","5,446",57.50%,"2,749",29.00%,50.50%,"1,011",10.70%,18.60%,"1,738",18.40%,31.90%,"2,706",28.60%,49.70%,"1,079",11.40%,"2,420",25.60%
Bronx,2001,6 Year,English Language Proficient,"9,469","5,671",59.90%,"2,784",29.40%,49.10%,"1,011",10.70%,17.80%,"1,773",18.70%,31.30%,"2,918",30.80%,51.50%,467,4.90%,"2,771",29.30%
Bronx,2002,4 Year  June,English Language Proficient,"10,339","4,995",48.30%,"3,041",29.40%,60.90%,985,9.50%,19.70%,"2,056",19.90%,41.20%,"1,960",19.00%,39.20%,"3,322",32.10%,"1,631",15.80%
Bronx,2002,5 Year,English Language Proficient,"10,339","6,108",59.10%,"3,312",32.00%,54.20%,"1,005",9.70%,16.50%,"2,307",22.30%,37.80%,"2,844",27.50%,46.60%,"1,372",13.30%,"2,330",22.50%
Bronx,2002,6 Year,English Language Proficient,"10,339","6,401",61.90%,"3,365",32.50%,52.60%,"1,006",9.70%,15.70%,"2,359",22.80%,36.90%,"3,084",29.80%,48.20%,833,8.10%,"2,531",24.50%
Bronx,2003,4 Year  June,English Language Proficient,"11,727","5,998",51.10%,"3,766",32.10%,62.80%,"1,243",10.60%,20.70%,"2,523",21.50%,42.10%,"2,232",19.00%,37.20%,"3,468",29.60%,"1,886",16.10%
Bronx,2003,5 Year,English Language Proficient,"11,727","7,118",60.70%,"4,067",34.70%,57.10%,"1,258",10.70%,17.70%,"2,809",24.00%,39.50%,"3,051",26.00%,42.90%,"1,540",13.10%,"2,493",21.30%
Bronx,2003,6 Year,English Language Proficient,"11,791","7,512",63.70%,"4,137",35.10%,55.10%,"1,259",10.70%,16.80%,"2,878",24.40%,38.30%,"3,375",28.60%,44.90%,856,7.30%,"2,710",23.00%
Bronx,2004,4 Year  June,English Language Proficient,"12,470","6,808",54.60%,"4,411",35.40%,64.80%,"1,368",11.00%,20.10%,"3,043",24.40%,44.70%,"2,397",19.20%,35.20%,"3,458",27.70%,"1,866",15.00%
Bronx,2004,5 Year,English Language Proficient,"12,563","8,013",63.80%,"4,747",37.80%,59.20%,"1,394",11.10%,17.40%,"3,353",26.70%,41.80%,"3,266",26.00%,40.80%,"1,303",10.40%,"2,450",19.50%
Bronx,2004,6 Year,English Language Proficient,"12,550","8,401",66.90%,"4,828",38.50%,57.50%,"1,396",11.10%,16.60%,"3,432",27.30%,40.90%,"3,573",28.50%,42.50%,886,7.10%,"2,632",21.00%
Bronx,2005,4 Year  June,English Language Proficient,"13,235","7,535",56.90%,"5,301",40.10%,70.40%,"1,491",11.30%,19.80%,"3,810",28.80%,50.60%,"2,234",16.90%,29.60%,"3,258",24.60%,"1,790",13.50%
Bronx,2005,4 Year August,English Language Proficient,"13,235","8,013",60.50%,"5,478",41.40%,68.40%,"1,496",11.30%,18.70%,"3,982",30.10%,49.70%,"2,535",19.20%,31.60%,"2,781",21.00%,"1,790",13.50%
Bronx,2005,5 Year,English Language Proficient,"13,480","8,757",65.00%,"5,733",42.50%,65.50%,"1,508",11.20%,17.20%,"4,225",31.30%,48.20%,"3,024",22.40%,34.50%,"1,289",9.60%,"2,570",19.10%
Bronx,2005,6 Year,English Language Proficient,"13,516","9,149",67.70%,"5,819",43.10%,63.60%,"1,509",11.20%,16.50%,"4,310",31.90%,47.10%,"3,330",24.60%,36.40%,815,6.00%,"2,685",19.90%
Bronx,2006,4 Year  June,English Language Proficient,"13,436","7,733",57.60%,"5,916",44.00%,76.50%,"1,528",11.40%,19.80%,"4,388",32.70%,56.70%,"1,817",13.50%,23.50%,"3,102",23.10%,"1,973",14.70%
Bronx,2006,4 Year August,English Language Proficient,"13,436","8,316",61.90%,"6,183",46.00%,74.40%,"1,541",11.50%,18.50%,"4,642",34.50%,55.80%,"2,133",15.90%,25.60%,"2,541",18.90%,"1,951",14.50%
Bronx,2006,5 Year  June,English Language Proficient,"13,763","8,904",64.70%,"6,384",46.40%,71.70%,"1,546",11.20%,17.40%,"4,838",35.20%,54.30%,"2,520",18.30%,28.30%,"1,209",8.80%,"2,783",20.20%
Bronx,2006,5 Year August,English Language Proficient,"13,763","9,069",65.90%,"6,432",46.70%,70.90%,"1,546",11.20%,17.00%,"4,886",35.50%,53.90%,"2,637",19.20%,29.10%,"1,103",8.00%,"2,721",19.80%
Bronx,2007,4 Year  June,English Language Proficient,"13,757","7,701",56.00%,"6,472",47.00%,84.00%,"1,557",11.30%,20.20%,"4,915",35.70%,63.80%,"1,229",8.90%,16.00%,"3,504",25.50%,"2,037",14.80%
Bronx,2007,4 Year August,English Language Proficient,"13,757","8,342",60.60%,"6,789",49.30%,81.40%,"1,564",11.40%,18.70%,"5,225",38.00%,62.60%,"1,553",11.30%,18.60%,"2,882",20.90%,"2,017",14.70%
Brooklyn,2001,4 Year  June,English Language Learner,"2,543",691,27.20%,268,10.50%,38.80%,116,4.60%,16.80%,152,6.00%,22.00%,424,16.70%,61.40%,"1,070",42.10%,658,25.90%
Brooklyn,2001,5 Year,English Language Learner,"2,543",996,39.20%,340,13.40%,34.10%,145,5.70%,14.60%,195,7.70%,19.60%,658,25.90%,66.10%,374,14.70%,983,38.70%
Brooklyn,2001,6 Year,English Language Learner,"2,543","1,101",43.30%,357,14.00%,32.40%,148,5.80%,13.40%,209,8.20%,19.00%,747,29.40%,67.80%,148,5.80%,"1,079",42.40%
Brooklyn,2002,4 Year  June,English Language Learner,"1,902",428,22.50%,145,7.60%,33.90%,46,2.40%,10.70%,99,5.20%,23.10%,287,15.10%,67.10%,765,40.20%,622,32.70%
Brooklyn,2002,5 Year,English Language Learner,"1,902",584,30.70%,176,9.30%,30.10%,59,3.10%,10.10%,117,6.20%,20.00%,414,21.80%,70.90%,379,19.90%,791,41.60%
Brooklyn,2002,6 Year,English Language Learner,"1,902",681,35.80%,193,10.10%,28.30%,60,3.20%,8.80%,133,7.00%,19.50%,494,26.00%,72.50%,162,8.50%,891,46.80%
Brooklyn,2003,4 Year  June,English Language Learner,"1,899",448,23.60%,217,11.40%,48.40%,82,4.30%,18.30%,135,7.10%,30.10%,231,12.20%,51.60%,849,44.70%,542,28.50%
Brooklyn,2003,5 Year,English Language Learner,"1,899",719,37.90%,295,15.50%,41.00%,108,5.70%,15.00%,187,9.80%,26.00%,424,22.30%,59.00%,315,16.60%,740,39.00%
Brooklyn,2003,6 Year,English Language Learner,"1,857",778,41.90%,310,16.70%,39.80%,109,5.90%,14.00%,201,10.80%,25.80%,468,25.20%,60.20%,131,7.10%,799,43.00%
Brooklyn,2004,4 Year  June,English Language Learner,"2,055",730,35.50%,381,18.50%,52.20%,142,6.90%,19.50%,239,11.60%,32.70%,349,17.00%,47.80%,799,38.90%,447,21.80%
Brooklyn,2004,5 Year,English Language Learner,"1,986",950,47.80%,445,22.40%,46.80%,155,7.80%,16.30%,290,14.60%,30.50%,505,25.40%,53.20%,328,16.50%,564,28.40%
