ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
1,K001,15K001,P.S. 001 The Bergen,K001,309 47 STREET,BROOKLYN,15,1198,,1,P.S. 001 The Bergen,0,0,2,0,0,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
2,K002,75K141,P.S. K141,K141,655 PARKSIDE AVENUE,BROOKLYN,17,376,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,2,M.S. 002 | P.S. K141| 655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
3,K002,17K002,M.S. 002,K002,655 PARKSIDE AVENUE,BROOKLYN,17,403,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,2,M.S. 002 | P.S. K141| 655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
4,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,655 PARKSIDE AVENUE,BROOKLYN,17,779,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,2,M.S. 002 | P.S. K141| 655 PARKSIDE AVENUE CONSOLIDATED LOCATION,0,5,9,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
5,K003,13K003,P.S. 003 The Bedford Village,K003,50 JEFFERSON AVENUE,BROOKLYN,13,634,,1,P.S. 003 The Bedford Village,0,3,0,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
6,K005,16K005,P.S. 005 Dr. Ronald Mcnair,K005,820 HANCOCK STREET,BROOKLYN,16,439,,1,P.S. 005 Dr. Ronald Mcnair,0,0,1,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
7,K006,17K006,P.S. 006,K006,43 SNYDER AVENUE,BROOKLYN,17,664,,1,P.S. 006,0,1,1,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
8,K007,19K007,P.S. 007 Abraham Lincoln,K007,858 JAMAICA AVENUE,BROOKLYN,19,892,,1,P.S. 007 Abraham Lincoln,N/A,N/A,N/A,N/A,N/A,5C,751-1000,0.61,2.32,2.67,0.31,0.3
9,K008,13K008,P.S. 008 Robert Fulton,K008,37 HICKS STREET,BROOKLYN,13,552,,1,P.S. 008 Robert Fulton,0,0,2,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
10,K009,13K571,M.S. 571,K571,80 UNDERHILL AVENUE,BROOKLYN,13,169,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen | M.S. 571|  | 80 UNDERHILL AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
11,K009,13K009,P.S. 009 Teunis G. Bergen,K009,80 UNDERHILL AVENUE,BROOKLYN,13,596,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen | M.S. 571|  | 80 UNDERHILL AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
12,K009,,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,,80 UNDERHILL AVENUE,BROOKLYN,13,765,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen | M.S. 571|  | 80 UNDERHILL AVENUE CONSOLIDATED LOCATION,1,4,4,1,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
13,K010,15K010,"Magnet School of Math, Science and Design Technolo",K010,511 7 AVENUE,BROOKLYN,15,766,,1,"Magnet School of Math, Science and Design Technolo",N/A,N/A,N/A,N/A,N/A,5C,751-1000,0.61,2.32,2.67,0.31,0.3
14,K011,13K011,P.S. 011 Purvis J. Behan,K011,419 WAVERLY AVENUE,BROOKLYN,13,598,,1,P.S. 011 Purvis J. Behan,0,0,2,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
15,K012,17K484,Ronald Edmonds Learning Center II,K484,430 HOWARD AVENUE,BROOKLYN,23,168,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,P.S. 012 | Ronald Edmonds Learning Center II |  | 430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
16,K012,17K012,P.S. 012,K012,430 HOWARD AVENUE,BROOKLYN,23,267,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,P.S. 012 | Ronald Edmonds Learning Center II |  | 430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
17,K012,,430 HOWARD AVENUE CONSOLIDATED LOCATION,,430 HOWARD AVENUE,BROOKLYN,23,435,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,P.S. 012 | Ronald Edmonds Learning Center II |  | 430 HOWARD AVENUE CONSOLIDATED LOCATION,1,2,3,1,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
18,K013,19K013,P.S. 013 Roberto Clemente,K013,557 PENNSYLVANIA AVENUE,BROOKLYN,19,511,,1,P.S. 013 Roberto Clemente,0,1,7,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
19,K014,22K014,J.H.S. 014 Shell Bank,K014,2424 BATCHELDER STREET,BROOKLYN,22,651,,1,J.H.S. 014 Shell Bank,1,5,4,0,1,4C,501-750,0.41,1.54,2.05,0.22,0.19
20,K015,15K015,P.S. 015 Patrick F. Daly,K015,71 SULLIVAN STREET,BROOKLYN,15,392,,1,P.S. 015 Patrick F. Daly,2,1,2,2,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
21,K016,14K016,P.S. 016 Leonard Dunkly,K016,157 WILSON STREET,BROOKLYN,14,335,,1,P.S. 016 Leonard Dunkly,N/A,N/A,N/A,N/A,N/A,3C,251-500,0.37,1.2,1.51,0.22,0.15
