QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Address,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Total Units,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Year Built,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
4-00018-0001,"4 74 48 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D4-ELEVATOR,536,1996,724475,13402787,18.5,50100000,69,4-06809-0001,"75 25 153 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,D8-ELEVATOR,388,2004,540846,8920048,16.49,30200000,56,7.8,4-06797-0054,"159 10 71 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,D6-ELEVATOR,142,2000,209525,4316215,20.6,16100000,77,7.9
4-00125-0028,"46 01 39 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,158,1961,155750,2453062,15.75,8290000,53,4-00131-0009,"41 29 50 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,36,1964,27288,422011,15.47,1430000,52,0.35,4-00134-0039,"41 24 50 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,40,1963,26100,424387,16.26,1430000,55,0.3
4-00128-0007,"39 25 51 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D4-ELEVATOR,426,1951,391802,4842672,12.36,13600000,34.7,4-02104-0001,"98 41 QUEENS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,206,1952,204340,2638170,12.91,8220000,40.2,3.25,4-02090-0026,"63 60 98 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,129,1951,125610,1593664,12.69,4960000,39.5,3
4-00131-0004,"50 05 43 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,73,1932,64350,1122264,17.44,4200000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1377280,18.94,5150000,71,0.2,4-00137-0020,"41 15 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,73197,1287147,17.58,4810000,66,0.2
4-00131-0036,"41 36 51 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,42,1930,42474,515209,12.13,1450000,34.1,4-00139-0024,"43 10 49 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1931,43800,577011,13.17,1800000,41.1,0.15,4-00148-0001,"47 09 SKILLMAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1942,57600,758703,13.17,2360000,41,0.2
4-00134-0045,"41 42 50 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,43,1940,45570,552764,12.13,1550000,34,4-00139-0024,"43 10 49 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1931,43800,577011,13.17,1800000,41.1,0.1,4-00148-0001,"47 09 SKILLMAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1942,57600,758703,13.17,2360000,41,0.2
4-00140-0040,"43 30 48 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,92,1927,79896,1036251,12.97,3230000,40.4,4-00139-0024,"43 10 49 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1931,43800,577011,13.17,1800000,41.1,0.05,4-00148-0001,"47 09 SKILLMAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1942,57600,758703,13.17,2360000,41,0.25
4-00141-0015,"43 33 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,176,1932,140760,1825657,12.97,5680000,40.4,4-00139-0024,"43 10 49 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1931,43800,577011,13.17,1800000,41.1,0.1,4-00148-0001,"47 09 SKILLMAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1942,57600,758703,13.17,2360000,41,0.25
4-00141-0024,"43 01 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,69,1942,58650,750720,12.8,2340000,39.9,4-00139-0024,"43 10 49 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1931,43800,577011,13.17,1800000,41.1,0.1,4-00148-0001,"47 09 SKILLMAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1942,57600,758703,13.17,2360000,41,0.25
4-00156-0005,"41 15 45 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,320,1943,250000,3307500,13.23,10300000,41.2,4-00159-0001,"42 15 43 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,154,1938,148950,1744204,11.71,4900000,32.9,0.15,4-00162-0019,"43 09 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,48,1928,35340,367971,10.41,954000,27,0.15
