PROGRAM,PROGRAM NAME,Provider,SITE Name,Site Address,Borough,ZIP,Contact Number,Website,Community Board,For in -school youth only,For court-involved only,min age,max age,GED Help (Yes or No),Job Readiness Help (yes or no),College Readiness Help (yes or no),For Dads Only (yes or no) ,Catchment area requirment (yes or no) 
Justice,ARCHES,Jewish Child Care Association,Jewish Child Care Association,1555 Linden Blvd,Brooklyn,11212,212-425-3333,http://www.jccany.org/site/PageServer,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,"BronxWorks, Inc","BronxWorks, Inc",1130 Grand Concourse,Bronx ,10456,718 508 3040,http://www.bronxworks.org/home,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,The Children's Village,The Children's Village,"400 East Fordham Road, ",Bronx,10458,718-220-4700,http://childrensvillage.org/about/,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,Phipps Community Development Corporation,Phipps Community Development Corporation,1680 Seward Avenue,Bronx,10473,212-243 9090,http://www.phippsny.org/pcdc.html,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,"Fedcap Rehabilitation Services, Inc","Fedcap Rehabilitation Services, Inc",,Bronx,,,http://www.fedcap.org/,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,New York Center for Interpersonal Development ,New York Center for Interpersonal Development ,130 Stuyvesant Place- 4th floor,Staten Island,10301,(718) 815-4557,http://www.nycid.org/,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,Alpha School Center for Progressive Living,Alpha School Center for Progressive Living,2400 Linden Blvd,Brooklyn,11208,718-257-5800,http://www.alphaschoolcpl.org/about.html,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,"Friends of Bedford, Inc","Friends of Bedford, Inc",510 Gates Ave,Brooklyn,11216,,http://www.friendsofbedford.org/,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,Good Shepherd Services,Good Shepherd Services,862 Park Avenue,Brooklyn,11206,718-919-3938,http://www.goodshepherds.org/,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,Exodus Transistional Community,Exodus Transistional Community,2271 Third Ave,Manhattan,10035,917.492.0990,http://www.etcny.org/,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,Friends of Island Academy,Friends of Island Academy,22 E 128th Street,Manhattan,10035,(212) 760-0755,http://www.friendsny.org/,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,"Harlem Commonwealth Council, Inc.","Harlem Commonwealth Council, Inc.",361 West 125th Street,Manhattan,10027,(212) 749-0900,http://www.harlemcommonwealth.org/index/,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,Health People,Health People,552 Southern Blvd,Bronx,10455,718-585-8585,http://www.healthpeople.org/,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,"Federation Employment & Guidance Services, Inc.","Federation Employment & Guidance Services, Inc.",412-424 E 147th Street,Bronx,10455,212.366.8400,http://www.fegs.org/,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,New York City Mission Society,New York City Mission Society,646 Malcolm X Blvd,Manhattan,10037,(212) 368-8400,http://www.nycmissionsociety.org/,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,The Osborne Association,The Osborne Association,809 Westchester Avenue,Bronx,10455,718 707 2600,http://www.osborneny.org/,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,Bronx Clergy Criminal Justice Roundtable,Bronx Clergy Criminal Justice Roundtable,1175 Boston Road,Bronx,10456,866 611 0678,http://www.clergyroundtable.org/#/bccjr/4558583841,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,"Safe Space NYC, Inc.",Bronx,250 Bedford Park Blvd.,Bronx,10468,718-526-2400,http://www.safespacenyc.org/safespace/section/,,N,Y,16,24,N,N,N,N,Y
Justice,ARCHES,"Community Mediation Services, Inc.",Mosholu Montefiore Community Center,3450 DeKalb Avenue,Bronx,10467,718.5 23.6868,http://mediatenyc.org/,,N,Y,16,24,N,N,N,N,Y
Health,Cure Violence,NYC Department of Health and Mental Hygiene,Man Up,821(B) Van Siclen Avenue,Brooklyn,11207,(718) 498-2320,http://www.manupinc.org/news.html,,N,N,N/A,N/A,N,N,N,N,Y
Health,Cure Violence,NYC Department of Health and Mental Hygiene,Crown Heights Community  Mediation Center,256 Kingston Avenue,Brooklyn,11213,718.5 23.6868,http://mediatenyc.org/,,N,N,N/A,N/A,N,N,N,N,Y
Health,Cure Violence,NYC Department of Health and Mental Hygiene,NYC Mission Society,646 Malcolm X Boulevard,Manhattan,10037,(212) 368-8400,http://www.nycmissionsociety.org/,,N,N,N/A,N/A,N,N,N,N,Y
Justice,Community Education Pathways to Success,Brooklyn Public Library,Brooklyn Public Library,665 New Lots Ave,Brooklyn,11207,718-649-0311,http://www.brooklynpubliclibrary.org/locations/new-lots,,N,Y,17,24,Y,Y,N,N,Y
Justice,Community Education Pathways to Success,"East Side House, Inc","East Side House, Inc",201 St. Anns Ave,Bronx,10454,718.665.5250,http://www.eastsidehouse.org/,,N,Y,17,24,Y,Y,N,N,Y
Justice,Community Education Pathways to Success,"East Side House, Inc","East Side House, Inc",337 Alexander Ave.,Bronx,10454,718.665.5250,http://www.eastsidehouse.org/,,N,Y,17,24,Y,Y,N,N,Y
Justice,Community Education Pathways to Success,FEGS Health & Human Services System,FEGS Health & Human Services System,412-424 East 147th St,Bronx,10455,212.366.8400,http://www.fegs.org/,,N,Y,17,24,Y,Y,N,N,Y
Justice,Community Education Pathways to Success,Queens Library,Queens Library,91-14 Merrick  Blvd,Queens,11432,(718) 990-0700,http://www.queenslibrary.org/branch/central-library/?filters=ev_loc:11000000,,N,Y,17,24,Y,Y,N,N,Y
Justice,Community Education Pathways to Success,Queens Library,Queens Library,108-41 Guy R. Brewer Blvd,Queens,11433,(718) 739-4088 ,http://www.queenslibrary.org/branch/south-jamaica/?filters=ev_loc:95400000,,N,Y,17,24,Y,Y,N,N,Y
Justice,Community Education Pathways to Success,Settlement Housing Fund - DREAMS Youthbuild,Settlement Housing Fund - DREAMS Youthbuild,1615 St. Johns Place ,Brooklyn,11233,212.265.6530,http://www.settlementhousingfund.org/dreams_youthbuild.html,,N,Y,17,24,Y,Y,N,N,Y
