Area,Organization,Description,Website
Advocacy,Alliance for the Arts,,www.allianceforarts.org
Advocacy,American Association of Museums,,www.aam-us.org
Advocacy,Americans for the Arts,,www.americansforthearts.org
Advocacy,Metropolitan Transportation Authority Arts for Transit,,www.mta.info/mta/aft
Advocacy,National Alliance for Media Arts and Culture,,www.namac.org
Art Service Organizations,Actors Fund,"A human services organization for performing artists that provides health care access information, and programs and services for those in need, crisis or transition.",www.actorsfund.org/services
Art Service Organizations,Alliance of Resident Theatres/New York,"A service and advocacy organization for the Off Broadway, non-profit theater community.",www.art-newyork.org
Art Service Organizations,Arts & Business Council of New York,Builds partnerships between arts organizations and businesses in the New York City community.,www.artsandbusiness-ny.org
Art Service Organizations,Bronx Council on the Arts,"Serves Bronx artists and arts organizations by providing financial support, re-grant funding, information services, technical assistance, professional development, and community programming.",www.bronxarts.org
Art Service Organizations,Brooklyn Arts Council,"Offers service and support to Brooklyn artists and arts organizations, including re-grant funding.",www.brooklynartscouncil.org
Art Service Organizations,Chamber Music America,"Provides health, liability and instrument insurance and other benefits to chamber musicians and composers who are Chamber Music America members.",www.chamber-music.org/membership/benefits.html
Art Service Organizations,College Art Association,"A service and advocacy organization for visual art professionals, students, administrators, and professors. Promotes dialogue among the visual arts community and provides access to professional development resources, fellowships, travel grants, publications, and legal and financial services.",www.collegeart.org
Art Service Organizations,Council on the Arts and Humanities for SI,"Develops, fosters, and promotes arts, cultural, and humanities activities on Staten Island, and provides re-grant funding within the borough.",www.statenislandarts.org
Art Service Organizations,Dance/NYC,"Provides resources, professional development, and one-on-one consulting to the NYC dance community.",www.dancenyc.org
Art Service Organizations,Fractured Atlas,"Provides artists with access to funding, healthcare, and education.",www.fracturedatlas.org
Art Service Organizations,Harlem Arts Alliance,Nurtures artistic growth and organizational development of artists and arts organization in Harlem and surrounding communities.,www.harlemaa.org
Art Service Organizations,Lower Manhattan Cultural Council,"Leading arts presenter, advocate, and service provider to artists and arts groups throughout Lower Manhattan. Also provides services and re-grant programs through neighborhood-based organizations across Manhattan.",www.lmcc.net
Art Service Organizations,New York Foundation for the Arts,Supports the development of individual artists through services that include fiscal sponsorship and artists’ fellowships.,www.nyfa.org
Art Service Organizations,Northern Manhattan Arts Alliance,"Supports artists and arts organizations in Washington Heights and Inwood, and serves as a catalyst in the cultural and economic development of Northern Manhattan.",www.nomaanyc.org
Art Service Organizations,Queens Council on the Arts,"Fosters, develops, and promotes cultural organizations within Queens, and provides services to artists and arts organizations including re-grant funding.",www.queenscouncilarts.org
Art Service Organizations,The Field,"Supports independent performing artists through programs focusing on the creation of new work, services include professional development workshops, fiscal sponsorship, and rehearsal space.",www.thefield.org
Capital Resources,The Trust for Cultural Resources,The Trust for Cultural Resources of the City of New York is authorized to issue triple tax-exempt debt for the benefit of certain cultural institutions.,
Capital Resources,New York City Industrial Development Agency,Issues tax-exempt bonds to nonprofit organizations that are planning major capital projects.,http://www.nycedc.com/FINA.../IDA.aspx
Capital Resources,Seedco Financial ArtBusiness,"Financial and technical assistance for small arts businesses and small-to-midsized arts nonprofit organizations. Offers financing for working capital, facilities expansion, and connects nonprofit organizations to a network of technical assistance providers.",www.seedcofinancial.org/arts/
Technical Assistance and Professional Development,Alliance for Nonprofit Management,Membership organization that delivers management and governance support services to nonprofit organizations.,www.allianceonline.org
Technical Assistance and Professional Development,Arts Manager,Resource of solutions to management challenges faced by nonprofit arts organizations. Hosted by The Kennedy Center Institute for Arts Management.,www.artsmanager.org
Technical Assistance and Professional Development,Board Source,"A comprehensive resource that provides classes, publications, and tools to help nonprofit organizations build effective boards.",www.boardsource.org
Technical Assistance and Professional Development,Foundation Center’s New Focus on Funding for the Arts website,"A ""one-stop shop"" of free, easily accessible information including charts that show the geographic locations and giving interests of grantmakers supporting the arts, RFP listings, arts-related reference guides and resource lists.",www.foundationcenter.org/focus/arts
Technical Assistance and Professional Development,Mayor’s Office of Contract Services,"CapacityBuildingand Oversight Initiative provides classes on internal controls, governance, and accounting for nonprofits.",www.nyc.gov/html/mocs/html/home/home.shtml
Technical Assistance and Professional Development,New York City Business Solution Centers,"New York City Department of Small Business Services staff on hand to help identify permits and licenses required to open a small business in New York City , especially useful for artist entrepreneurs. One-on-one and small group technical assistance provided for marketing, accounting, and legal issues.",www.nyc.gov/html/sbs/nycbiz/html/home/home.shtml
Technical Assistance and Professional Development,Nonprofit Coordinating Committee of New York,"Information source for the New York nonprofit community, offers management services, courses, and other technical assistance.",www.npccny.org
Technical Assistance and Professional Development,The Artful Manager,Discusses topics around business model development in arts administration.,www.artsjournal.com/artfulmanager
Technical Assistance and Professional Development,Volunteer Lawyers for the Arts,"Provider of pro bono legal services, mediation services, educational programs and publications, and advocacy acts on issues vital to the arts community.",www.vlany.org
Emergency Preparedness Resources,New York City Office of Emergency Management (OEM),"OEM plans and prepares for emergencies, educates the public about preparedness, coordinates emergency response and recovery, and collects and disseminates critical information.  ",
Emergency Preparedness Resources,NYC Community Emergency Response Teams (CERTs),"OEM coordinates the CERT program in NYC, which brings together volunteers who support their local communities through emergency education and response. ",
Emergency Preparedness Resources,Private Asset Logistic Management System (PALMS),"Through OEM PALMS, businesses can donate goods, services and facilities for use by the City in an emergency.  ",
Emergency Preparedness Resources,Ready New York,Ready New York is OEM's education campaign to prepare New York City residents and businesses for emergencies. ,
Emergency Preparedness Resources,Corporate Emergency Access System (CEAS),CEAS is the City's program to ensure access for critical employees to restricted areas following a serious emergency.  ,
