BROOKLYN CONDOMINIUM PROPERTY Boro-Block-Lot,BROOKLYN CONDOMINIUM PROPERTY Condo Section,BROOKLYN CONDOMINIUM PROPERTY Address,BROOKLYN CONDOMINIUM PROPERTY Neighborhood,BROOKLYN CONDOMINIUM PROPERTY Building Classification,BROOKLYN CONDOMINIUM PROPERTY Total Units,BROOKLYN CONDOMINIUM PROPERTY Year Built,BROOKLYN CONDOMINIUM PROPERTY Gross SqFt,BROOKLYN CONDOMINIUM PROPERTY Est. Gross Income,BROOKLYN CONDOMINIUM PROPERTY Gross Income per SqFt,BROOKLYN CONDOMINIUM PROPERTY Full Market Value,BROOKLYN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
3-00027-7501,658-R1,"1 MAIN STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,R4-ELEVATOR,124,1913,227916,5191926,22.78,23199992,102,3-00265-0050,"56 COURT STREET
Brooklyn, New York
(40.692196389982534, -73.99119596833461)",BROOKLYN HEIGHTS,D7-ELEVATOR,48,1927,19622,459961,23.44,2060000,105,0.8,,,,,,,,,,,,
3-00028-7501,1370-R1,"31 WASHINGTON STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,R4-ELEVATOR,13,2001,24672,809241,32.8,3920001,159,3-00051-0012,"65 WASHINGTON STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1657235,32.8,8030000,159,0.1,,,,,,,,,,,,
3-00035-7501,1771-R1,"4 WATER STREET
Brooklyn, New York
(40.70318410546898, -73.99412577821238)",DOWNTOWN-FULTON FERRY,R4-ELEVATOR,13,2007,20085,767952,38.2,3860002,192,3-00714-0044,"4018 5 AVENUE
Brooklyn, New York
(40.65063216036745, -74.00464238076827)",SUNSET PARK,C7-WALK-UP,32,1906,25600,398000,15.55,1620000,63,3.65,,,,,,,,,,,,
3-00036-7501,1000-R1,"30 MAIN STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,R4-ELEVATOR,87,1910,158053,4333813,27.4,20999999,133,3-02305-0018,"193 9 STREET
Brooklyn, New York
(40.6712945215417, -73.99062423891033)",WILLIAMSBURG-NORTH,D9-ELEVATOR,68,1930,105718,2684180,25.4,13000000,123,2.2,,,,,,,,,,,,
3-00036-7502,1073-R1,"42 MAIN STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,R4-ELEVATOR,21,1910,23150,488465,21.1,2179997,94,3-00051-0001,"65 WASHINGTON STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,D5-ELEVATOR,104,1914,123700,2126783,17.19,8650000,70,0.15,,,,,,,,,,,,
3-00036-7503,1580-R1,"57 FRONT STREET
Brooklyn, New York
(40.702583639807344, -73.99109872412448)",DOWNTOWN-FULTON FERRY,R4-ELEVATOR,31,1899,41476,875143,21.1,3910002,94,3-06782-0026,"2120 OCEAN AVENUE
Brooklyn, New York
(40.61008174755378, -73.95353517549691)",MADISON,C1-WALK-UP,20,2005,26750,556400,20.8,2490000,93,6.7,,,,,,,,,,,,
3-00045-7501,1422-R1,"70 WASHINGTON STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,R4-ELEVATOR,259,1916,375000,6450000,17.2,26200008,70,3-00051-0001,"65 WASHINGTON STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,D5-ELEVATOR,104,1914,123700,2126783,17.19,8650000,70,0.05,,,,,,,,,,,,
3-00051-7501,1543-R1,"84 FRONT STREET
Brooklyn, New York
(40.70248770052124, -73.98934852432156)",DOWNTOWN-FULTON FERRY,R4-ELEVATOR,56,2006,58066,1904564,32.8,9230001,159,3-00051-0012,"65 WASHINGTON STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1657235,32.8,8030000,159,0,,,,,,,,,,,,
3-00052-7501,1731-R1,"85 ADAMS STREET
Brooklyn, New York
(40.70173816176802, -73.98858760435594)",DOWNTOWN-FULTON FERRY,R4-ELEVATOR,87554,2006,87554,1829878,20.9,8180013,93,3-02145-0018,"440 BERRY STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",WILLIAMSBURG-SOUTH,D9-ELEVATOR,66,1995,58430,2208654,37.8,11100000,190,1.2,,,,,,,,,,,,
3-00053-7501,1735-R1,"100 JAY STREET
Brooklyn, New York
(40.701791568338315, -73.98677048382758)",DOWNTOWN-FULTON FERRY,R4-ELEVATOR,266,2006,301131,5607290,18.62,22800001,76,3-01925-0007,"213 TAAFFE PLACE
Brooklyn, New York
(40.6921260857635, -73.95974625971935)",BEDFORD STUYVESANT,D1-ELEVATOR,90,1935,108000,1812951,16.79,7370000,68,1.65,,,,,,,,,,,,
3-00055-7501,1058-R1,"79 BRIDGE STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,R4-ELEVATOR,37,1920,35464,844043,23.8,3770001,106,3-06782-0026,"2120 OCEAN AVENUE
Brooklyn, New York
(40.61008174755378, -73.95353517549691)",MADISON,C1-WALK-UP,20,2005,26750,556400,20.8,2490000,93,6.6,,,,,,,,,,,,
3-00055-7502,1703-R1,"206 FRONT STREET
Brooklyn, New York
(40.70231245847055, -73.98416067817124)",DOWNTOWN-FULTON FERRY,R4-ELEVATOR,31,2006,35389,799791,22.6,3570002,101,3-00042-0018,"254 WATER STREET
Brooklyn, New York
(40.702970948924616, -73.98370198590868)",DOWNTOWN-FULTON FERRY,D8-ELEVATOR,26,2002,28358,639651,22.56,2860000,101,0.05,,,,,,,,,,,,
3-00169-7501,1273-R1,"53 BOERUM PLACE
Brooklyn, New York
(40.68994185257395, -73.98987509886838)",DOWNTOWN-FULTON MALL,R4-ELEVATOR,99,2003,73232,2409332,32.9,11699985,160,3-00271-0001,"205 STATE STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,D1-ELEVATOR,364,2003,242752,5256339,21.65,23500000,97,0.1,,,,,,,,,,,,
3-00180-7501,1409-R1,"560 STATE STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",BOERUM HILL,R2-WALK-UP,39,1990,42550,1348835,31.7,6539995,154,3-02145-0018,"440 BERRY STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",WILLIAMSBURG-SOUTH,D9-ELEVATOR,66,1995,58430,2208654,37.8,11100000,190,1.75,,,,,,,,,,,,
3-00180-7502,1719-R1,"556 STATE STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",BOERUM HILL,R0-CONDOMINIUM,71,2006,70037,1841973,26.3,8919994,127,3-00193-0050,"129 BOERUM PLACE
Brooklyn, New York
(40.68785047746899, -73.99153634261823)",BOERUM HILL,D9-ELEVATOR,46,1999,42000,1188240,28.3,5760000,137,0.65,,,,,,,,,,,,
3-00180-7502,1719-R2,"556 STATE STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",BOERUM HILL,R0-CONDOMINIUM,19,0,772,0,0,34998,45.3,3-00193-0050,"129 BOERUM PLACE
Brooklyn, New York
(40.68785047746899, -73.99153634261823)",BOERUM HILL,D9-ELEVATOR,46,1999,42000,1188240,28.3,5760000,137,0.65,,,,,,,,,,,,
3-00185-7502,1977-R1,"52 3 AVENUE
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",BOERUM HILL,R2-WALK-UP,15,2005,19605,405000,20.66,1810000,92,3-00265-0050,"56 COURT STREET
Brooklyn, New York
(40.692196389982534, -73.99119596833461)",BROOKLYN HEIGHTS,D7-ELEVATOR,48,1927,19622,459961,23.44,2060000,105,0.7,3-01091-0040,"136 PROSPECT PARK
Brooklyn, New York
(40.7005708318806, -73.98538827418518)",PARK SLOPE,D1-ELEVATOR,18,1931,20562,398394,19.38,1780000,87,1.4
3-00193-7501,929-R1,"40 DEAN STREET
Brooklyn, New York
(40.68785645916713, -73.9913313382847)",BOERUM HILL,R2-WALK-UP,22,2002,26677,600232,22.5,2679998,100,3-06782-0026,"2120 OCEAN AVENUE
Brooklyn, New York
(40.61008174755378, -73.95353517549691)",MADISON,C1-WALK-UP,20,2005,26750,556400,20.8,2490000,93,5.7,,,,,,,,,,,,
3-00207-7501,123-R1,"55 POPLAR STREET
Brooklyn, New York
(40.70108869924761, -73.99278614579481)",BROOKLYN HEIGHTS,R4-ELEVATOR,57,1910,52396,1190250,22.72,5319998,102,3-00226-0004,"89 HICKS STREET
Brooklyn, New York
(40.69885230956681, -73.99410251314995)",BROOKLYN HEIGHTS,D3-ELEVATOR,48,1940,21000,599372,28.5,2900000,138,0.2,,,,,,,,,,,,
3-00207-7502,321-R1,"75 POPLAR STREET
Brooklyn, New York
(40.700929747935376, -73.99219619980758)",BROOKLYN HEIGHTS,R4-ELEVATOR,56,1910,74131,1964471,26.5,9520003,128,3-00226-0004,"89 HICKS STREET
Brooklyn, New York
(40.69885230956681, -73.99410251314995)",BROOKLYN HEIGHTS,D3-ELEVATOR,48,1940,21000,599372,28.5,2900000,138,0.2,,,,,,,,,,,,
3-00242-7501,196-R1,"205 HICKS STREET
Brooklyn, New York
(40.69537364161325, -73.99574712432727)",BROOKLYN HEIGHTS,R9-CONDOPS,23,1900,25230,490000,19.42,2190000,87,3-00268-0039,"54 LIVINGSTON STREET
Brooklyn, New York
(40.69175587256905, -73.99208589968839)",BROOKLYN HEIGHTS,D9-ELEVATOR,32,1900,21040,396484,18.84,1610000,77,0.3,,,,,,,,,,,,
3-00254-7501,413-R1,"132 REMSEN STREET
Brooklyn, New York
(40.69376795259123, -73.99344733187726)",BROOKLYN HEIGHTS,R2-WALK-UP,12,1900,9207,267923,29.1,1299999,141,3-00258-0048,"42 COLUMBIA PLACE
Brooklyn, New York
(40.69312873812375, -73.99863930586338)",BROOKLYN HEIGHTS,C1-WALK-UP,20,1900,11160,324731,29.1,1570000,141,0.25,3-00276-0029,"168 STATE STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,C1-WALK-UP,14,1905,7185,173432,24.14,775000,108,0.25
3-00258-7501,1015-R1,"60 STATE STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,R4-ELEVATOR,11,2001,21259,573993,27,2780001,131,3-00376-0023,"104 LUQUER STREET
Brooklyn, New York
(40.67792770899802, -74.00138802429156)",CARROLL GARDENS,D1-ELEVATOR,22,2003,24150,603750,25,2760000,114,1.05,3-00958-0007,"586 PRESIDENT STREET
Brooklyn, New York
(40.67664931303105, -73.98321508300661)",PARK SLOPE,D1-ELEVATOR,25,2002,30000,907741,30.3,4400000,147,1.45
3-00265-7501,849-R1,"64 COURT STREET
Brooklyn, New York
(40.691947851708925, -73.9913175934472)",BROOKLYN HEIGHTS,R4-ELEVATOR,33,1921,32500,760500,23.4,3400007,105,3-00226-0004,"89 HICKS STREET
Brooklyn, New York
(40.69885230956681, -73.99410251314995)",BROOKLYN HEIGHTS,D3-ELEVATOR,48,1940,21000,599372,28.5,2900000,138,0.45,,,,,,,,,,,,
3-00269-7501,1702-R1,"110 LIVINGSTON STREET
Brooklyn, New York
(40.69112361204514, -73.98985672886563)",DOWNTOWN-FULTON MALL,R4-ELEVATOR,299,1926,324465,6679350,20.59,29850006,92,3-00051-0001,"65 WASHINGTON STREET
Brooklyn, New York
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,D5-ELEVATOR,104,1914,123700,2126783,17.19,8650000,70,0.75,3-05279-0043,"829 GREENWOOD AVENUE
Brooklyn, New York
(40.6522973213617, -73.97363089153552)",WINDSOR TERRACE,D1-ELEVATOR,135,1982,104640,2163800,20.68,9670000,92,2.75
