NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ANNADALE                 ,01 ONE FAMILY HOMES                        ,55,$155230.00,$566350.00,$495000.00,$2170000.00
ANNADALE                 ,02 TWO FAMILY HOMES                        ,26,$464000.00,$616840.00,$574802.00,$1250000.00
ARDEN HEIGHTS            ,01 ONE FAMILY HOMES                        ,149,$150000.00,$334236.00,$320000.00,$560037.00
ARDEN HEIGHTS            ,02 TWO FAMILY HOMES                        ,16,$398000.00,$536761.00,$510000.00,$740267.00
ARROCHAR                 ,01 ONE FAMILY HOMES                        ,15,$350000.00,$479797.00,$442000.00,$950000.00
ARROCHAR-SHORE ACRES     ,01 ONE FAMILY HOMES                        ,3,$345000.00,$385667.00,$390000.00,$422000.00
ARROCHAR-SHORE ACRES     ,02 TWO FAMILY HOMES                        ,1,$472500.00,$472500.00,$472500.00,$472500.00
BLOOMFIELD               ,02 TWO FAMILY HOMES                        ,1,$1350000.00,$1350000.00,$1350000.00,$1350000.00
BULLS HEAD               ,01 ONE FAMILY HOMES                        ,54,$166000.00,$346410.00,$339795.00,$675000.00
BULLS HEAD               ,02 TWO FAMILY HOMES                        ,38,$180000.00,$468593.00,$489984.00,$670000.00
CASTLETON CORNERS        ,01 ONE FAMILY HOMES                        ,47,$240000.00,$432155.00,$422500.00,$662000.00
CASTLETON CORNERS        ,02 TWO FAMILY HOMES                        ,16,$350000.00,$520833.00,$474250.00,$814600.00
CASTLETON CORNERS        ,03 THREE FAMILY HOMES                      ,1,$400000.00,$400000.00,$400000.00,$400000.00
CLOVE LAKES              ,01 ONE FAMILY HOMES                        ,40,$168100.00,$521029.00,$460000.00,$1300000.00
CLOVE LAKES              ,02 TWO FAMILY HOMES                        ,6,$200000.00,$431792.00,$477000.00,$746750.00
CONCORD                  ,01 ONE FAMILY HOMES                        ,41,$157000.00,$294667.00,$285000.00,$458880.00
CONCORD                  ,02 TWO FAMILY HOMES                        ,4,$307000.00,$372853.00,$369126.00,$446160.00
CONCORD-FOX HILLS        ,01 ONE FAMILY HOMES                        ,27,$180000.00,$300212.00,$308000.00,$407628.00
DONGAN HILLS             ,01 ONE FAMILY HOMES                        ,30,$235000.00,$479509.00,$383660.00,$1150622.00
DONGAN HILLS             ,02 TWO FAMILY HOMES                        ,11,$250000.00,$607721.00,$595000.00,$865512.00
DONGAN HILLS             ,03 THREE FAMILY HOMES                      ,2,$150000.00,$150000.00,$150000.00,$150000.00
DONGAN HILLS-COLONY      ,01 ONE FAMILY HOMES                        ,25,$215000.00,$608709.00,$577500.00,$1300000.00
DONGAN HILLS-COLONY      ,02 TWO FAMILY HOMES                        ,3,$278000.00,$417925.00,$345774.00,$630000.00
DONGAN HILLS-COLONY      ,03 THREE FAMILY HOMES                      ,1,$519000.00,$519000.00,$519000.00,$519000.00
ELTINGVILLE              ,01 ONE FAMILY HOMES                        ,135,$181610.00,$447432.00,$417000.00,$2500000.00
ELTINGVILLE              ,02 TWO FAMILY HOMES                        ,26,$290000.00,$524888.00,$506000.00,$760403.00
EMERSON HILL             ,01 ONE FAMILY HOMES                        ,4,$504000.00,$688375.00,$627250.00,$995000.00
EMERSON HILL             ,02 TWO FAMILY HOMES                        ,1,$150000.00,$150000.00,$150000.00,$150000.00
GRANT CITY               ,01 ONE FAMILY HOMES                        ,38,$177450.00,$440660.00,$435000.00,$880786.00
GRANT CITY               ,02 TWO FAMILY HOMES                        ,11,$257000.00,$596161.00,$565000.00,$804416.00
GRASMERE                 ,01 ONE FAMILY HOMES                        ,35,$287900.00,$476555.00,$433000.00,$995000.00
GRASMERE                 ,02 TWO FAMILY HOMES                        ,4,$220000.00,$505000.00,$550000.00,$700000.00
GREAT KILLS              ,01 ONE FAMILY HOMES                        ,204,$150000.00,$409830.00,$401500.00,$812054.00
GREAT KILLS              ,02 TWO FAMILY HOMES                        ,70,$157500.00,$555286.00,$564250.00,$865512.00
GREAT KILLS-BAY TERRACE  ,01 ONE FAMILY HOMES                        ,26,$150000.00,$433955.00,$427500.00,$570220.00
GREAT KILLS-BAY TERRACE  ,02 TWO FAMILY HOMES                        ,3,$575000.00,$650000.00,$675000.00,$700000.00
GRYMES HILL              ,01 ONE FAMILY HOMES                        ,17,$352950.00,$874812.00,$649000.00,$2200000.00
GRYMES HILL              ,02 TWO FAMILY HOMES                        ,6,$395500.00,$458423.00,$470541.00,$475000.00
HUGUENOT                 ,01 ONE FAMILY HOMES                        ,51,$177500.00,$632039.00,$517607.00,$1775000.00
HUGUENOT                 ,02 TWO FAMILY HOMES                        ,25,$229946.00,$648375.00,$615000.00,$995000.00
LIVINGSTON               ,01 ONE FAMILY HOMES                        ,10,$300000.00,$445194.00,$430000.00,$556585.00
LIVINGSTON               ,02 TWO FAMILY HOMES                        ,4,$260000.00,$488277.00,$537329.00,$618450.00
MANOR HEIGHTS            ,01 ONE FAMILY HOMES                        ,47,$202181.00,$420151.00,$405000.00,$855000.00
MANOR HEIGHTS            ,02 TWO FAMILY HOMES                        ,14,$194161.00,$495595.00,$506250.00,$750000.00
MARINERS HARBOR          ,01 ONE FAMILY HOMES                        ,86,$150000.00,$315500.00,$319996.00,$496860.00
MARINERS HARBOR          ,02 TWO FAMILY HOMES                        ,37,$151000.00,$373280.00,$400530.00,$563418.00
MIDLAND BEACH            ,01 ONE FAMILY HOMES                        ,108,$152100.00,$381179.00,$400961.00,$600000.00
MIDLAND BEACH            ,02 TWO FAMILY HOMES                        ,17,$155000.00,$464740.00,$475000.00,$715000.00
MIDLAND BEACH            ,03 THREE FAMILY HOMES                      ,1,$661500.00,$661500.00,$661500.00,$661500.00
NEW BRIGHTON             ,01 ONE FAMILY HOMES                        ,43,$177000.00,$332649.00,$331172.00,$588400.00
NEW BRIGHTON             ,02 TWO FAMILY HOMES                        ,60,$150000.00,$386620.00,$403125.00,$649500.00
NEW BRIGHTON             ,03 THREE FAMILY HOMES                      ,7,$255000.00,$366861.00,$336000.00,$495000.00
NEW BRIGHTON-ST. GEORGE  ,01 ONE FAMILY HOMES                        ,1,$3100000.00,$3100000.00,$3100000.00,$3100000.00
NEW DORP                 ,01 ONE FAMILY HOMES                        ,61,$150000.00,$402362.00,$390000.00,$660000.00
NEW DORP                 ,02 TWO FAMILY HOMES                        ,31,$237000.00,$541887.00,$490000.00,$763687.00
NEW DORP                 ,03 THREE FAMILY HOMES                      ,2,$355000.00,$527500.00,$527500.00,$700000.00
NEW DORP-BEACH           ,01 ONE FAMILY HOMES                        ,32,$200000.00,$362510.00,$363500.00,$560000.00
NEW DORP-BEACH           ,02 TWO FAMILY HOMES                        ,3,$292500.00,$397500.00,$410000.00,$490000.00
NEW DORP-BEACH           ,03 THREE FAMILY HOMES                      ,1,$306000.00,$306000.00,$306000.00,$306000.00
NEW DORP-HEIGHTS         ,01 ONE FAMILY HOMES                        ,35,$150000.00,$466335.00,$451000.00,$905000.00
NEW DORP-HEIGHTS         ,02 TWO FAMILY HOMES                        ,6,$287500.00,$466750.00,$495500.00,$638500.00
NEW DORP-HEIGHTS         ,03 THREE FAMILY HOMES                      ,1,$455900.00,$455900.00,$455900.00,$455900.00
NEW SPRINGVILLE          ,01 ONE FAMILY HOMES                        ,58,$184500.00,$399326.00,$403350.00,$775000.00
NEW SPRINGVILLE          ,02 TWO FAMILY HOMES                        ,53,$230000.00,$658753.00,$510000.00,$7700000.00
OAKWOOD                  ,01 ONE FAMILY HOMES                        ,23,$219866.00,$511689.00,$465000.00,$1050000.00
OAKWOOD                  ,02 TWO FAMILY HOMES                        ,5,$481427.00,$562085.00,$575000.00,$619000.00
OAKWOOD-BEACH            ,01 ONE FAMILY HOMES                        ,20,$178712.00,$411440.00,$414500.00,$690000.00
OAKWOOD-BEACH            ,02 TWO FAMILY HOMES                        ,10,$200000.00,$473450.00,$534500.00,$665000.00
PLEASANT PLAINS          ,01 ONE FAMILY HOMES                        ,17,$200000.00,$504657.00,$440000.00,$995000.00
PLEASANT PLAINS          ,02 TWO FAMILY HOMES                        ,14,$423000.00,$755466.00,$720000.00,$1215000.00
PORT IVORY               ,01 ONE FAMILY HOMES                        ,16,$170000.00,$312539.00,$315000.00,$499000.00
PORT IVORY               ,02 TWO FAMILY HOMES                        ,3,$280875.00,$369216.00,$351772.00,$475000.00
PORT IVORY               ,03 THREE FAMILY HOMES                      ,1,$361000.00,$361000.00,$361000.00,$361000.00
PORT RICHMOND            ,01 ONE FAMILY HOMES                        ,64,$157500.00,$315334.00,$319750.00,$650000.00
PORT RICHMOND            ,02 TWO FAMILY HOMES                        ,46,$160200.00,$338926.00,$315500.00,$760000.00
PORT RICHMOND            ,03 THREE FAMILY HOMES                      ,1,$585000.00,$585000.00,$585000.00,$585000.00
PRINCES BAY              ,01 ONE FAMILY HOMES                        ,40,$168000.00,$573498.00,$504000.00,$1450000.00
PRINCES BAY              ,02 TWO FAMILY HOMES                        ,38,$354900.00,$666714.00,$601911.00,$999900.00
RICHMONDTOWN             ,01 ONE FAMILY HOMES                        ,39,$180000.00,$633621.00,$575000.00,$1680112.00
RICHMONDTOWN             ,02 TWO FAMILY HOMES                        ,2,$490000.00,$595000.00,$595000.00,$700000.00
RICHMONDTOWN-LIGHTHS HILL,01 ONE FAMILY HOMES                        ,5,$525000.00,$715000.00,$700000.00,$845000.00
ROSEBANK                 ,01 ONE FAMILY HOMES                        ,47,$162500.00,$361780.00,$375000.00,$495000.00
ROSEBANK                 ,02 TWO FAMILY HOMES                        ,20,$150000.00,$420090.00,$448500.00,$595000.00
ROSEBANK                 ,03 THREE FAMILY HOMES                      ,1,$428747.00,$428747.00,$428747.00,$428747.00
ROSSVILLE                ,01 ONE FAMILY HOMES                        ,41,$260000.00,$435944.00,$360000.00,$1150000.00
ROSSVILLE                ,02 TWO FAMILY HOMES                        ,16,$200000.00,$638364.00,$665000.00,$1287500.00
ROSSVILLE-CHARLESTON     ,01 ONE FAMILY HOMES                        ,31,$360000.00,$555592.00,$564110.00,$701574.00
ROSSVILLE-CHARLESTON     ,02 TWO FAMILY HOMES                        ,2,$310000.00,$440000.00,$440000.00,$570000.00
ROSSVILLE-RICHMOND VALLEY,01 ONE FAMILY HOMES                        ,6,$340000.00,$707167.00,$459000.00,$1550000.00
ROSSVILLE-RICHMOND VALLEY,02 TWO FAMILY HOMES                        ,2,$525000.00,$657500.00,$657500.00,$790000.00
SILVER LAKE              ,01 ONE FAMILY HOMES                        ,28,$300000.00,$472197.00,$466000.00,$740000.00
SILVER LAKE              ,02 TWO FAMILY HOMES                        ,5,$375000.00,$486000.00,$470000.00,$610000.00
SOUTH BEACH              ,01 ONE FAMILY HOMES                        ,79,$150000.00,$398151.00,$395000.00,$830000.00
SOUTH BEACH              ,02 TWO FAMILY HOMES                        ,22,$262600.00,$519572.00,$520000.00,$875000.00
SOUTH BEACH              ,03 THREE FAMILY HOMES                      ,1,$420000.00,$420000.00,$420000.00,$420000.00
STAPLETON                ,01 ONE FAMILY HOMES                        ,30,$170000.00,$303962.00,$292000.00,$685000.00
STAPLETON                ,02 TWO FAMILY HOMES                        ,24,$154500.00,$330042.00,$311128.00,$520000.00
STAPLETON                ,03 THREE FAMILY HOMES                      ,4,$405911.00,$509728.00,$460000.00,$713000.00
STAPLETON-CLIFTON        ,01 ONE FAMILY HOMES                        ,13,$187590.00,$327064.00,$349800.00,$405000.00
SUNNYSIDE                ,01 ONE FAMILY HOMES                        ,18,$355000.00,$475848.00,$432907.00,$712775.00
SUNNYSIDE                ,02 TWO FAMILY HOMES                        ,4,$330000.00,$597825.00,$412500.00,$1236300.00
TODT HILL                ,01 ONE FAMILY HOMES                        ,12,$300000.00,$1297083.00,$1130000.00,$2550000.00
TOMPKINSVILLE            ,01 ONE FAMILY HOMES                        ,9,$200000.00,$481650.00,$422500.00,$973000.00
TOMPKINSVILLE            ,02 TWO FAMILY HOMES                        ,13,$176900.00,$369183.00,$440000.00,$549885.00
TOMPKINSVILLE            ,03 THREE FAMILY HOMES                      ,1,$485000.00,$485000.00,$485000.00,$485000.00
TOTTENVILLE              ,01 ONE FAMILY HOMES                        ,75,$250000.00,$488397.00,$420000.00,$1500000.00
TOTTENVILLE              ,02 TWO FAMILY HOMES                        ,55,$205000.00,$691635.00,$660000.00,$1854450.00
TRAVIS                   ,01 ONE FAMILY HOMES                        ,40,$200000.00,$395893.00,$413539.00,$580000.00
TRAVIS                   ,02 TWO FAMILY HOMES                        ,1,$471510.00,$471510.00,$471510.00,$471510.00
WEST NEW BRIGHTON        ,01 ONE FAMILY HOMES                        ,86,$150000.00,$338428.00,$347282.00,$575000.00
WEST NEW BRIGHTON        ,02 TWO FAMILY HOMES                        ,56,$163256.00,$383102.00,$375875.00,$837433.00
WEST NEW BRIGHTON        ,03 THREE FAMILY HOMES                      ,2,$381600.00,$479800.00,$479800.00,$578000.00
WESTERLEIGH              ,01 ONE FAMILY HOMES                        ,72,$245000.00,$413096.00,$399500.00,$630000.00
WESTERLEIGH              ,02 TWO FAMILY HOMES                        ,26,$150000.00,$513038.00,$507500.00,$791689.00
WILLOWBROOK              ,01 ONE FAMILY HOMES                        ,51,$180000.00,$439124.00,$423000.00,$1500000.00
WILLOWBROOK              ,02 TWO FAMILY HOMES                        ,22,$260000.00,$500047.00,$525000.00,$680191.00
WILLOWBROOK              ,03 THREE FAMILY HOMES                      ,1,$457500.00,$457500.00,$457500.00,$457500.00
WOODROW                  ,01 ONE FAMILY HOMES                        ,52,$249500.00,$435776.00,$440000.00,$898268.00
WOODROW                  ,02 TWO FAMILY HOMES                        ,22,$248500.00,$545543.00,$510000.00,$900000.00
