"Borough, Block, Lot #",Street Address,Zip Code,Borough,Utility,Building Manager,Owner,Owner Telephone,DEP Boiler Application #,#6 Deadline,Boiler Model,# of Identical Boilers,Boiler Capacity (Gross  BTU),Boiler Installation Date,Boiler Age Range,Est. Retirement Year,Burner Model,Primary Fuel,Total Gallons (High),Total Gallons (Low),Total MMBTU (High),Total MMBTU (low),Greener Greater Buildings,GGB Deadline,Building Type,City Council District,City Community Board,Bldg Sqft,# of Bldgs,# of Floors,# of Res. Units,Total Units,Year Built,Condo?,Coop?,Location 1,Owner Address
1000130001,1 BROADWAY,10004,Manhattan,Con Edison,LA SALLE PARTNERS,CBRE,212-952-1395,CA342970H,4/4/14,ROCKMILLS MP-200,2,16.80,1970,36 - 40 year old,2010,ST. JOHNSON FD 68 HM 200,#6,54000,37800,8100,5670,Yes,2013,Office Buildings,1,101,180016,1,14,0,28,1900,NO,NO,"1 BROADWAY
Manhattan, New York 10004
(40.704792465285436, -74.0141105481477)","P.O.BOX 7507, HICKSVILLE NY 11802"
1000157501,17 BATTERY PLACE,10004,Manhattan,Con Edison,SL GREEN REALTY CORP.,IRVING A. SPODEK,212 425-5360,CA390792K,3/7/14,FEDERAL  FST-500,2,19.99,1992,16 to 20 years old,2027,INDUSTRIAL COMBUSTION,#6,426270,298389,62571,43800,Yes,2015,Condominiums,1,101,1257274,2,31,0,502,1902,YES,NO,"17 BATTERY PLACE
Manhattan, New York 10004
(40.704773615386046, -74.01668019774782)","17 BATTERY PLACE, MANHATTAN NY 10004"
1000167515,225 RECTOR PLACE,10280,Manhattan,Con Edison,RELATED MANAGEMENT ,RELATED MGMT/CO. LP,212-996-6670,CA442886N,2/3/14,FEDERAL PLW-265,2,11.20,1986,21 to 26 years old,2021,ST. JOHNSON FD 68CAHM-300,#6,124976,87483,18750,13125,Yes,2016,Condominiums,1,101,251289,1,23,304,306,1985,YES,NO,"225 RECTOR PLACE
Manhattan, New York 10280
(40.70920813644926, -74.01609804983241)","203 EAST 86TH STREET, MANHATTAN NY 10028"
1000220013,26 BROADWAY,10004,Manhattan,Con Edison,CONSTITUTION  REALTY ASSOCIATES,NEWMARK & CO.REAL ESTATE INC.,718 763-6100,CA003181Z,10/9/14,ROCKMILLS MP 600,2,25.20,1981,26 to 30 years old,2016,ICI DEG-252(P),#6,234062,163844,45302,31712,Yes,2022,Office Buildings,1,101,860889,1,32,0,117,1923,NO,NO,"26 BROADWAY
Manhattan, New York 10004
(40.70523313307979, -74.01331015154159)","125 PARK AVENUE, NEW YORK NY 10017"
1000220013,26 BROADWAY,10004,Manhattan,Con Edison,CONSTITUTION REALTY,CONSTITUTION REALTY,212 344-2150,CA109275P,11/1/12,ROCKMILLS MP 900,1,37.50,1975,31 to 35 years old,2010,SUPERIOR AB 600,#6,586920,410844,88038,61627,Yes,2022,Office Buildings,1,101,860889,1,32,0,117,1923,NO,NO,"26 BROADWAY
Manhattan, New York 10004
(40.70523313307979, -74.01331015154159)","26 BROADWAY, MANHATTAN NY 10004"
1000220020,42 BROADWAY,10004,Manhattan,Con Edison,"NARKIS FUNDING COMPANY,LLC","32-42 BROADWAY OWNER,LLC.",212-413-8434,CA100382J,7/29/12,ROCKMILLS MP450,1,18.90,1982,26 to 30 years old,2017,IRON FIREMAN AGO-6-22.5 RK,#6,164615,115230,24090,16863,Yes,2022,Office Buildings,1,101,389927,1,21,0,0,1904,NO,NO,"42 BROADWAY
Manhattan, New York 10004
(40.706177421210555, -74.01295941595015)","45 BROADWAY, 25TH FLOOR, MANHATTAN NY 10006"
1000220020,42 BROADWAY,10004,Manhattan,Con Edison,32-42 BRODWAY LLC.,32-42 BROADWAY LLC.,718-631-2800,CA205999K,5/25/15,ROCKMILLS   MP-500,1,19.99,1999,11 to 15 years old,2034,INDUSTRIAL COMB. DEG 210(P),#6,218964,153274,32845,22991,Yes,2022,Office Buildings,1,101,389927,1,21,0,0,1904,NO,NO,"42 BROADWAY
Manhattan, New York 10004
(40.706177421210555, -74.01295941595015)","45  BROADWAY 25TH FOOR, MANHATTAN NY 10006"
1000260014,37 WALL STREET,10005,Manhattan,Con Edison,CUSHMAN & WAKEFIELD,CUSHMAN & WAKEFIELD,212-235-1882,CA354469M,8/4/13,YORK SHIPLEY WBL-250,2,9.73,1969,41 - 45 years old,2010,YORK FA-250,#6,88530,61971,12780,8946,Yes,2016,Elevator Apartments,1,101,377214,2,26,372,374,1904,NO,NO,"37 WALL STREET
Manhattan, New York 10005
(40.70664506866575, -74.00997366681293)","23 WALL STREET, MANHATTAN NY 10005"
1000280001,3 HANOVER SQUARE,10004,Manhattan,Con Edison,3 HANOVER SQ OWNERS CORP.,3 HANOVER SQUARE  OWNERS c/o ROSE ASSOCS.,212 328-5539,CA164187R,7/14/14,FEDERAL FST 300,2,12.60,1987,21 to 26 years old,2022,ICI DEG 145 P,#6,202028,141419,29565,20696,Yes,2018,Elevator Apartments,1,101,239121,1,23,202,209,1926,NO,YES,"3 HANOVER SQUARE
Manhattan, New York 10004
(40.704792465285436, -74.00972185664472)","200 MADISON AVE 5th fl., MANHATTAN NY 10016"
1000300005,46 WATER STREET,10004,Manhattan,Con Edison,EDWORD GORDON CO INC,CB RICHARD ELLIS,212-984-8373,CA004487X,9/9/14,TITUSVILLE 5475 SERIES W,1,4.46,1987,21 to 26 years old,2022,HEVE/AM 3/4,#4,67343,47140,9691,6784,Yes,2020,Loft Buildings,1,101,85472,1,11,0,3,1929,NO,NO,"46 WATER STREET
Manhattan, New York 10004
(40.70366451510851, -74.00971565336121)","200 PARK AVENUE -16 FLOOR, MANHATTAN NY 10166"
