Application #,Organization,Total Final Award
FY11-AN-005416,"3 Graces Theater Co., Inc.",$4920.00
FY11-MY-005357,3 Legged Dog,$13985.00
FY11-AN-005112,"42nd Street Workshop, Inc.",$4920.00
FY11-RN-006138,"52nd Street Project, Inc.",$53740.00
FY11-RN-005943,"7 Loaves, Inc.",$14040.00
FY11-AN-005505,A Gathering of the Tribes,$7510.00
FY11-RN-006204,"Aaron Davis Hall, Inc.",$127005.00
FY11-AN-005734,ABC No Rio,$4920.00
FY11-RN-006032,Abingdon Theatre Company,$18730.00
FY11-RN-006264,Academy of American Poets,$13990.00
FY11-AN-005687,"Action Arts League, Inc.",$4920.00
FY11-RN-006252,Actors' Fund of America,$13990.00
FY11-AN-005774,African Diaspora Film Festival,$11660.00
FY11-AN-005858,"African Film Festival, Inc.",$6995.00
FY11-AN-005374,"African Voices Communications, Inc.",$10790.00
FY11-MY-005381,"Afrikan Poetry Theatre, Inc.",$53040.00
FY11-AN-005714,Afro Brazil Arts,$4920.00
FY11-AN-005256,"AHL Foundation, Inc.",$4920.00
FY11-AN-005669,"All Out Arts, Inc.",$7510.00
FY11-RN-006047,"Alley Pond Environmental Center, Inc.",$98305.00
FY11-RN-006153,"Alliance for Downtown New York, Inc",$93265.00
FY11-MY-005611,"Alliance for the Arts, Inc.",$176385.00
FY11-MY-005319,"Alliance for Young Artists and Writers, Inc.",$13990.00
FY11-RN-006063,"Alliance of Resident Theatres / New York, Inc.",$175535.00
FY11-AN-005593,"Alpha Omega 1-7 Theatrical Dance Company, Inc.",$9330.00
FY11-RN-005958,"Alpha Workshops, Inc.",$26635.00
FY11-MY-005078,"Alvin Ailey Dance Foundation, Inc.",$122740.00
FY11-RN-006247,"Amas Musical Theatre, Inc.",$32645.00
FY11-RN-006212,American Composers Orchestra,$46635.00
FY11-RN-006189,American Documentary,$23320.00
FY11-RN-006136,American Folk Art Museum,$192215.00
FY11-AN-005452,American Friends of the Ludwig Foundation of Cuba,$4920.00
FY11-AN-005164,"American Globe Theatre, Ltd.",$9330.00
FY11-AN-005156,"American Indian Artists, Inc.",$11660.00
FY11-AN-005401,"American Lyric Theater Center, Inc.",$11660.00
FY11-AN-005494,American Modern Ensemble Inc.,$4920.00
FY11-RN-005993,"American Music Center, Inc.",$74610.00
FY11-RN-006121,"American Opera Projects, Inc.",$13990.00
FY11-RN-006134,"American Place Theatre, Inc.",$16835.00
FY11-RN-005968,"American Symphony Orchestra, Inc.",$32645.00
FY11-RN-006073,"American Tap Dance Foundation, Inc.",$23320.00
FY11-MY-005760,"American Turkish Society, Inc.",$4920.00
FY11-RN-006265,"Americas Society, Inc.",$23320.00
FY11-RN-006036,"An Claidheamh Soluis, Inc.",$32795.00
FY11-AN-005477,"Annabella Gonzalez Dance Theater, Inc.",$4920.00
FY11-RN-006194,"Anne Frank Center USA, Inc.",$13990.00
FY11-AN-005489,"Ansonia Music Outreach Organization, Inc.",$4920.00
FY11-RN-006173,"Anthology Film Archives, Inc.",$23320.00
FY11-AN-005864,"Anti-Social Music, Inc.",$4920.00
FY11-RN-005969,"Aperture Foundation, Inc.",$13990.00
FY11-RN-006079,ApexArt Curatorial Program,$13990.00
FY11-MY-005719,"Apollo Theater Foundation, Inc.",$27025.00
FY11-MY-005224,"Aquila Theatre Company, Inc.",$7110.00
FY11-RN-006200,Architectural League of New York,$23320.00
FY11-AN-005791,Argento New Music Project,$4920.00
FY11-MY-005521,Armitage Foundation Ltd.,$13990.00
FY11-MY-005185,"Ars Nova Theater I, Inc",$23320.00
FY11-MY-005294,Art Education for the Blind,$13990.00
FY11-RN-005978,"Art in General, Inc.",$13990.00
FY11-RN-005960,"Art Lab, Inc.",$23320.00
FY11-AN-005859,Art Loisaida Foundation,$3500.00
FY11-AN-005813,"Art of the Early Keyboard, Inc.",$4920.00
FY11-AN-005757,"Art Radio International, Inc.",$9330.00
FY11-MY-005520,Art Students League of New York,$13990.00
FY11-AN-005248,"Art's House Schools, Inc.",$5000.00
FY11-MY-005048,"Art21, Inc.",$46635.00
FY11-RN-006042,"ArteEast, Inc.",$13990.00
FY11-MY-005874,"Arthur Aviles Typical Theatre, Inc.",$42120.00
FY11-AN-005300,Artichoke Dance Company,$4920.00
FY11-AN-005709,"Artists Alliance, Inc.",$16325.00
FY11-AN-005379,"Artists in Residence, Inc.",$6995.00
FY11-RN-006180,Artists Space,$13990.00
FY11-RN-006025,"Arts & Business Council, Inc.",$26635.00
FY11-MY-005199,"Arts Connection, Inc.",$233160.00
FY11-RN-006170,"Arts for Art, Inc.",$13990.00
FY11-RN-005959,"Ascension Music Chorus and Orchestra, Inc.",$13990.00
FY11-AN-005771,"ASDT, Inc. - The American Spanish Dance Theatre",$9330.00
FY11-MY-005107,Asia Society,$23320.00
FY11-RN-006182,Asian American Arts Alliance,$32645.00
FY11-AN-005773,"Asian American Arts Centre, Inc.",$4920.00
FY11-MY-005728,"Asian CineVision, Inc.",$6995.00
FY11-AN-005738,"Astoria Music Society, Inc.",$19640.00
FY11-AN-005576,Astoria Performing Arts Center,$51525.00
FY11-RN-006101,Atlantic Avenue Local Development Corporation,$9330.00
FY11-MY-005175,Atlantic Theater Company,$46635.00
FY11-AN-005440,"Avant Media Performance, Inc.",$4920.00
FY11-AN-005410,Azure Ensemble,$4920.00
FY11-AN-005378,"Ballet Ambassadors, Inc.",$9330.00
FY11-MY-005660,"Ballet Hispanico of New York, Inc.",$60625.00
FY11-MY-005636,"Ballet Tech Foundation, Inc.",$60625.00
FY11-RN-006192,"Ballet Theatre Foundation, Inc.",$127385.00
