YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,COMMUNITYBOARDCODE,INCIDENTCOUNT
YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,COMMUNITYBOARDCODE,INCIDENTCOUNT
200907,Structural Fires,Manhattan,1,20
200907,Structural Fires,Manhattan,2,35
200907,Structural Fires,Manhattan,3,42
200907,Structural Fires,Manhattan,4,21
200907,Structural Fires,Manhattan,5,39
200907,Structural Fires,Manhattan,6,32
200907,Structural Fires,Manhattan,7,37
200907,Structural Fires,Manhattan,8,31
200907,Structural Fires,Manhattan,9,39
200907,Structural Fires,Manhattan,10,54
200907,Structural Fires,Manhattan,11,47
200907,Structural Fires,Manhattan,12,38
200907,Structural Fires,Bronx,1,44
200907,Structural Fires,Bronx,2,11
200907,Structural Fires,Bronx,3,45
200907,Structural Fires,Bronx,4,40
200907,Structural Fires,Bronx,5,45
200907,Structural Fires,Bronx,6,25
200907,Structural Fires,Bronx,7,36
200907,Structural Fires,Bronx,8,32
200907,Structural Fires,Bronx,9,52
200907,Structural Fires,Bronx,10,34
200907,Structural Fires,Bronx,11,27
200907,Structural Fires,Bronx,12,41
200907,Structural Fires,Staten Island,1,41
200907,Structural Fires,Staten Island,2,25
200907,Structural Fires,Staten Island,3,22
200907,Structural Fires,Staten Island,Unknown,2
200907,Structural Fires,Brooklyn,1,36
200907,Structural Fires,Brooklyn,2,37
200907,Structural Fires,Brooklyn,3,44
200907,Structural Fires,Brooklyn,4,38
200907,Structural Fires,Brooklyn,5,65
200907,Structural Fires,Brooklyn,6,27
200907,Structural Fires,Brooklyn,7,14
200907,Structural Fires,Brooklyn,8,34
200907,Structural Fires,Brooklyn,9,47
200907,Structural Fires,Brooklyn,10,19
200907,Structural Fires,Brooklyn,11,18
200907,Structural Fires,Brooklyn,12,23
200907,Structural Fires,Brooklyn,13,24
200907,Structural Fires,Brooklyn,14,44
200907,Structural Fires,Brooklyn,15,29
200907,Structural Fires,Brooklyn,16,48
200907,Structural Fires,Brooklyn,17,39
200907,Structural Fires,Brooklyn,18,66
200907,Structural Fires,Queens,1,18
200907,Structural Fires,Queens,2,18
200907,Structural Fires,Queens,3,10
200907,Structural Fires,Queens,4,16
200907,Structural Fires,Queens,5,15
200907,Structural Fires,Queens,6,12
200907,Structural Fires,Queens,7,34
200907,Structural Fires,Queens,8,36
200907,Structural Fires,Queens,9,19
200907,Structural Fires,Queens,10,14
200907,Structural Fires,Queens,11,15
200907,Structural Fires,Queens,12,65
200907,Structural Fires,Queens,13,31
200907,Structural Fires,Queens,14,30
200907,Non Structural Fires,Manhattan,1,24
200907,Non Structural Fires,Manhattan,2,30
200907,Non Structural Fires,Manhattan,3,31
200907,Non Structural Fires,Manhattan,4,26
200907,Non Structural Fires,Manhattan,5,40
200907,Non Structural Fires,Manhattan,6,24
200907,Non Structural Fires,Manhattan,7,29
200907,Non Structural Fires,Manhattan,8,26
200907,Non Structural Fires,Manhattan,9,23
200907,Non Structural Fires,Manhattan,10,32
200907,Non Structural Fires,Manhattan,11,41
200907,Non Structural Fires,Manhattan,12,22
200907,Non Structural Fires,Manhattan,Unknown,1
200907,Non Structural Fires,Bronx,1,34
200907,Non Structural Fires,Bronx,2,13
200907,Non Structural Fires,Bronx,3,23
200907,Non Structural Fires,Bronx,4,33
200907,Non Structural Fires,Bronx,5,17
200907,Non Structural Fires,Bronx,6,18
200907,Non Structural Fires,Bronx,7,32
200907,Non Structural Fires,Bronx,8,13
200907,Non Structural Fires,Bronx,9,35
200907,Non Structural Fires,Bronx,10,18
200907,Non Structural Fires,Bronx,11,17
200907,Non Structural Fires,Bronx,12,43
200907,Non Structural Fires,Staten Island,1,47
200907,Non Structural Fires,Staten Island,2,27
200907,Non Structural Fires,Staten Island,3,29
200907,Non Structural Fires,Brooklyn,1,37
200907,Non Structural Fires,Brooklyn,2,31
200907,Non Structural Fires,Brooklyn,3,30
200907,Non Structural Fires,Brooklyn,4,15
200907,Non Structural Fires,Brooklyn,5,44
200907,Non Structural Fires,Brooklyn,6,22
200907,Non Structural Fires,Brooklyn,7,28
200907,Non Structural Fires,Brooklyn,8,8
200907,Non Structural Fires,Brooklyn,9,22
200907,Non Structural Fires,Brooklyn,10,24
200907,Non Structural Fires,Brooklyn,11,19
200907,Non Structural Fires,Brooklyn,12,16
200907,Non Structural Fires,Brooklyn,13,20
200907,Non Structural Fires,Brooklyn,14,15
200907,Non Structural Fires,Brooklyn,15,24
200907,Non Structural Fires,Brooklyn,16,29
200907,Non Structural Fires,Brooklyn,17,18
200907,Non Structural Fires,Brooklyn,18,36
200907,Non Structural Fires,Queens,1,36
200907,Non Structural Fires,Queens,2,14
200907,Non Structural Fires,Queens,3,11
200907,Non Structural Fires,Queens,4,14
200907,Non Structural Fires,Queens,5,29
200907,Non Structural Fires,Queens,6,13
200907,Non Structural Fires,Queens,7,23
200907,Non Structural Fires,Queens,8,22
200907,Non Structural Fires,Queens,9,20
200907,Non Structural Fires,Queens,10,16
200907,Non Structural Fires,Queens,11,17
200907,Non Structural Fires,Queens,12,39
200907,Non Structural Fires,Queens,13,14
200907,Non Structural Fires,Queens,14,31
200907,Non Structural Fires,Queens,Unknown,2
200907,Medical Emergencies,Manhattan,1,231
200907,Medical Emergencies,Manhattan,2,347
200907,Medical Emergencies,Manhattan,3,522
200907,Medical Emergencies,Manhattan,4,410
