BN,SCHOOL NAME,PROGRESS REPORT TYPE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
K001,P.S. 001 The Bergen,EMS,C,A,B,B
K002,M.S. 002,EMS,B,A,A,B
K003,P.S. 003 The Bedford Village,EMS,C,A,A,C
K005,P.S. 005 Dr. Ronald Mcnair,EMS,B,A,A,F
K006,P.S. 006,EMS,B,A,A,B
K007,P.S. 007 Abraham Lincoln,EMS,B,A,B,D
K008,P.S. 008 Robert Fulton,EMS,C,A,F,C
K009,P.S. 009 Teunis G. Bergen,EMS,C,A,C,B
K010,"Magnet School of Math, Science and Design Technolo",EMS,A,A,A,C
K011,P.S. 011 Purvis J. Behan,EMS,B,A,B,C
K012,P.S. 012,EMS,B,A,D,D
K013,P.S. 013 Roberto Clemente,EMS,C,B,B,B
K014,J.H.S. 014 Shell Bank,EMS,C,A,B,C
K015,P.S. 015 Patrick F. Daly,EMS,A,A,A,A
K016,P.S. 016 Leonard Dunkly,EMS,C,A,B,D
K017,P.S. 017 Henry D. Woodworth,EMS,A,A,B,B
K018,P.S. 018 Edward Bush,EMS,B,B,A,A
K019,P.S. 019 Roberto Clemente,EMS,D,B,C,C
K020,P.S. 020 Clinton Hill,EMS,C,A,C,B
K021,P.S. 021 Crispus Attucks,EMS,A,B,A,B
K022,P.S. 022,EMS,C,A,B,D
K023,P.S. 023 Carter G. Woodson,EMS,A,A,A,F
K024,P.S. 024,EMS,C,A,A,A
K025,P.S. 025 Eubie Blake School,EMS,C,A,B,B
K026,P.S. 026 Jesse Owens,EMS,C,A,B,A
K027,Agnes Y. Humphrey School for Leadership,EMS,None,None,D,C
K027,Agnes Y. Humphrey School for Leadership,HS,None,None,None,None
K028,P.S. 028 The Warren Prep Academy,EMS,B,D,B,F
K029,P.S. 029 John M. Harrigan,EMS,A,A,C,B
K030,I.S. 30 Mary White Ovington,EMS,A,A,A,B
K031,P.S. 031 Samuel F. Dupont,EMS,A,A,A,A
K032,P.S. 032 Samuels Mills Sprole,EMS,A,A,A,B
K034,P.S. 034 Oliver H. Perry,EMS,B,A,A,A
K035,M.S. 035 Stephen Decatur,EMS,A,A,A,B
K036,P.S. 36,D75,C,None,None,None
K038,P.S. 038 The Pacific,EMS,C,A,D,A
K039,P.S. 039 Henry Bristow,EMS,B,A,B,C
K040,P.S. 040 George W. Carver,EMS,A,A,B,C
K041,P.S. 041 Francis White,EMS,C,A,C,C
K044,P.S. 044 Marcus Garvey,EMS,B,A,B,B
K045,P.S. 045 Horace E. Greene,EMS,A,A,A,A
K046,P.S. 046 Edward C. Blum,EMS,A,A,A,B
K048,P.S. 048 Mapleton,EMS,B,A,A,B
K049,J.H.S. 049 William J. Gaynor,EMS,None,None,None,None
K050,J.H.S. 050 John D. Wells,EMS,B,A,C,A
K051,M.S. 51 William Alexander,EMS,A,A,A,B
K052,P.S. 052 Sheepshead Bay,EMS,B,A,B,B
K053,P.S. K053,D75,B,None,None,None
K054,P.S. 054 Samuel C. Barnes,EMS,C,A,C,C
K055,I.S. 055 Ocean Hill Brownsville,EMS,None,None,None,None
