QUEENS CONDOMINIUM PROPERTY Boro-Block-Lot,QUEENS CONDOMINIUM PROPERTY Condo Section,QUEENS CONDOMINIUM PROPERTY Address,QUEENS CONDOMINIUM PROPERTY Neighborhood,QUEENS CONDOMINIUM PROPERTY Building Classification,QUEENS CONDOMINIUM PROPERTY Total Units,QUEENS CONDOMINIUM PROPERTY Year Built,QUEENS CONDOMINIUM PROPERTY Gross SqFt,QUEENS CONDOMINIUM PROPERTY Est. Gross Income,QUEENS CONDOMINIUM PROPERTY Gross Income per SqFt,QUEENS CONDOMINIUM PROPERTY Full Market Value,QUEENS CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
4-00015-7501,608-R1,2-40 51 AVENUE,LONG ISLAND CITY,R4-ELEVATOR,57,2007,53685,1503180,28,6229998,116,4-00021-0060,47-05 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,395,2007,466000,11898889,25.5,25200000,54,0.25,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,2.1
4-00016-7501,597-R1,50-09 2 STREET,LONG ISLAND CITY,R4-ELEVATOR,177,1909,187845,3944745,21,16299993,87,4-00021-0060,47-05 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,395,2007,466000,11898889,25.5,25200000,54,0.2,4-00573-0046,27-10 ASTORIA BOULEVARD,ASTORIA,D7-ELEVATOR,27,2004,25920,519388,20.04,1940000,75,2.65
4-00021-7501,639-R1,46-30 CENTER BOULEVARD,LONG ISLAND CITY,R4-ELEVATOR,184,2008,250720,7020160,28,29099993,116,4-00021-0070,47-25 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,495,2007,460000,17060015,37.1,36200000,79,0.1,4-00021-0060,47-05 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,395,2007,466000,11898889,25.5,25200000,54,0.1
4-00030-7501,558-R1,5-09 48 AVENUE,LONG ISLAND CITY,R4-ELEVATOR,121,2007,113450,3176600,28,13200011,116,4-00021-0070,47-25 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,495,2007,460000,17060015,37.1,36200000,79,0.15,,,,,,,,,,,,
4-00031-7501,478-R1,5-15 49 AVENUE,LONG ISLAND CITY,R2-WALK-UP,47,2005,62866,1760248,28,7289996,116,4-00575-0029,27-37 27 STREET,ASTORIA,D3-ELEVATOR,30,1970,30572,1020478,33.4,4750000,155,2.4,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,0.2
4-00032-7501,487-R1,5-03 50 AVENUE,LONG ISLAND CITY,R4-ELEVATOR,13,2006,18375,459375,25,1990000,108,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,0.15,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,2
4-00034-7501,604-R1,5-49 BORDEN AVENUE,LONG ISLAND CITY,R4-ELEVATOR,132,2008,140166,3644316,26,15099989,108,4-00021-0060,47-05 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,395,2007,466000,11898889,25.5,25200000,54,0.3,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,0.15
4-00040-7501,594-R1,10-46 JACKSON AVENUE,LONG ISLAND CITY,R4-ELEVATOR,48,2007,58876,1574933,26.8,6519988,111,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,2,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,0
4-00042-7501,619-R1,10-63 JACKSON AVENUE,LONG ISLAND CITY,R4-ELEVATOR,41,2008,34824,975072,28,4040003,116,4-00021-0060,47-05 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,395,2007,466000,11898889,25.5,25200000,54,0.3,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,1.95
4-00047-7501,542-R1,10-55 47 AVENUE,LONG ISLAND CITY,R4-ELEVATOR,43,2007,58500,1579500,27,6540005,112,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,1.75,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,0.25
