DBN,School Name,Cohort Year,Demographic,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,English Language Learner,5,3,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,English Language Learner,9,2,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,English Language Proficient,73,40,6,8.20%,15.00%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,English Language Proficient,68,39,5,7.40%,12.80%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,English Language Learner,3,1,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,English Language Learner,11,6,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,English Language Proficient,121,52,16,13.20%,30.80%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,English Language Proficient,139,93,19,13.70%,20.40%
01M509,MARTA VALLE SECONDARY SCHOOL,2006,English Language Learner,12,3,s,s,s
01M509,MARTA VALLE SECONDARY SCHOOL,2007,English Language Learner,13,2,s,s,s
01M509,MARTA VALLE SECONDARY SCHOOL,2006,English Language Proficient,72,44,14,19.40%,31.80%
01M509,MARTA VALLE SECONDARY SCHOOL,2007,English Language Proficient,82,45,6,7.30%,13.30%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,English Language Learner,175,98,60,34.30%,61.20%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,English Language Learner,103,56,34,33.00%,60.70%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,English Language Proficient,18,7,s,s,s
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,English Language Proficient,132,18,s,s,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,English Language Proficient,46,46,42,91.30%,91.30%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,English Language Proficient,128,122,99,77.30%,81.10%
01M650,CASCADES HIGH SCHOOL,2006,English Language Learner,4,2,s,s,s
01M650,CASCADES HIGH SCHOOL,2006,English Language Proficient,85,47,8,9.40%,17.00%
01M650,CASCADES HIGH SCHOOL,2007,English Language Proficient,118,45,4,3.40%,8.90%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,English Language Proficient,139,134,99,71.20%,73.90%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2007,English Language Proficient,125,122,93,74.40%,76.20%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2006,English Language Learner,4,2,s,s,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2007,English Language Learner,2,1,s,s,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2006,English Language Proficient,21,17,s,s,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2007,English Language Proficient,21,15,s,s,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2006,English Language Learner,2,1,s,s,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2007,English Language Learner,3,2,s,s,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2006,English Language Proficient,100,90,14,14.00%,15.60%
02M288,FOOD AND FINANCE HIGH SCHOOL,2007,English Language Proficient,87,67,8,9.20%,11.90%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,English Language Learner,5,3,s,s,s
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2007,English Language Learner,8,4,s,s,s
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,English Language Proficient,70,55,13,18.60%,23.60%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2007,English Language Proficient,74,57,7,9.50%,12.30%
02M298,PACE HIGH SCHOOL,2006,English Language Learner,1,0,s,s,s
02M298,PACE HIGH SCHOOL,2006,English Language Proficient,91,78,28,30.80%,35.90%
02M298,PACE HIGH SCHOOL,2007,English Language Proficient,94,86,27,28.70%,31.40%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2006,English Language Learner,5,2,s,s,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2007,English Language Learner,13,4,s,s,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2006,English Language Proficient,75,47,12,16.00%,25.50%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2007,English Language Proficient,73,43,14,19.20%,32.60%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2006,English Language Learner,1,0,s,s,s
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2007,English Language Learner,1,0,s,s,s
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2006,English Language Proficient,60,46,3,5.00%,6.50%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2007,English Language Proficient,58,37,8,13.80%,21.60%
02M308,LOWER MANHATTAN ARTS ACADEMY,2006,English Language Learner,4,2,s,s,s
02M308,LOWER MANHATTAN ARTS ACADEMY,2007,English Language Learner,4,3,s,s,s
02M308,LOWER MANHATTAN ARTS ACADEMY,2006,English Language Proficient,64,44,5,7.80%,11.40%
02M308,LOWER MANHATTAN ARTS ACADEMY,2007,English Language Proficient,59,43,4,6.80%,9.30%
