Bronx,2005,2006,2007,2008,2009,Total
40th Precinct,3%,5%,10%,1%,0%,19%
41st Precinct,6%,2%,2%,1%,2%,13%
42nd Precinct,4%,3%,5%,0%,5%,17%
43rd Precinct,8%,5%,4%,2%,8%,27%
44th Precinct,4%,6%,14%,9%,11%,44%
45h Precinct,2%,2%,0%,2%,1%,7%
46th Precinct,2%,4%,5%,4%,23%,38%
47th Precicnt,6%,7%,2%,3%,9%,27%
48th Precinct,8%,0%,4%,4%,9%,25%
49th Precinct,3%,1%,0%,2%,2%,8%
50th Precinct,1%,6%,0%,0%,2%,9%
52nd Precinct,6%,2%,4%,3%,7%,22%
Precincts Total,53%,43%,50%,31%,79%,256%
Task Force,0%,0%,1%,1%,1%,3%
Borough Headquarters,1%,1%,0%,0%,1%,3%
Anti-crime Unit,7%,2%,3%,4%,1%,17%
Patrol Borough Bronx Total ,61%,46%,54%,36%,82%,279%
Percent of All Subject Officers Against Whom Allegations were Substantiated,20.7%,11.7%,9.7%,9.7%,23.6%,14.2%
