Borough,Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort,Total Regents Num,Total Regents Pct of cohort,Total Regents Pct of grads,Advanced Regents Num,Advanced Regents Pct of cohort,Advanced Regents Pct of grads,Regents w/o Advanced Num,Regents w/o Advanced Pct of cohort,Regents w/o Advanced Pct of grads,Local Num,Local Pct of cohort,Local Pct of grads,Still Enrolled Num,Still Enrolled Pct of cohort,Dropped Out Num,Dropped Out Pct of cohort
Bronx,2001,4 Year  June,Female,"5,532","2,711",49.00%,"1,409",25.50%,52.00%,519,9.40%,19.10%,890,16.10%,32.80%,"1,305",23.60%,48.10%,"1,547",28.00%,"1,052",19.00%
Bronx,2001,5 Year,Female,"5,532","3,249",58.70%,"1,497",27.10%,46.10%,528,9.50%,16.30%,969,17.50%,29.80%,"1,756",31.70%,54.00%,605,10.90%,"1,378",24.90%
Bronx,2001,6 Year,Female,"5,532","3,391",61.30%,"1,515",27.40%,44.70%,528,9.50%,15.60%,987,17.80%,29.10%,"1,891",34.20%,55.80%,249,4.50%,"1,574",28.50%
Bronx,2002,4 Year  June,Female,"5,835","2,921",50.10%,"1,652",28.30%,56.60%,474,8.10%,16.20%,"1,178",20.20%,40.30%,"1,273",21.80%,43.60%,"1,832",31.40%,880,15.10%
Bronx,2002,5 Year,Female,"5,835","3,527",60.40%,"1,789",30.70%,50.70%,486,8.30%,13.80%,"1,303",22.30%,36.90%,"1,764",30.20%,50.00%,770,13.20%,"1,265",21.70%
Bronx,2002,6 Year,Female,"5,835","3,695",63.30%,"1,808",31.00%,48.90%,486,8.30%,13.20%,"1,322",22.70%,35.80%,"1,913",32.80%,51.80%,453,7.80%,"1,389",23.80%
Bronx,2003,4 Year  June,Female,"6,688","3,498",52.30%,"2,081",31.10%,59.50%,649,9.70%,18.60%,"1,432",21.40%,40.90%,"1,417",21.20%,40.50%,"1,969",29.40%,"1,015",15.20%
Bronx,2003,5 Year,Female,"6,688","4,148",62.00%,"2,213",33.10%,53.40%,655,9.80%,15.80%,"1,558",23.30%,37.60%,"1,935",28.90%,46.60%,863,12.90%,"1,354",20.20%
Bronx,2003,6 Year,Female,"6,723","4,359",64.80%,"2,238",33.30%,51.30%,656,9.80%,15.00%,"1,582",23.50%,36.30%,"2,121",31.50%,48.70%,488,7.30%,"1,472",21.90%
Bronx,2004,4 Year  June,Female,"7,085","4,091",57.70%,"2,552",36.00%,62.40%,731,10.30%,17.90%,"1,821",25.70%,44.50%,"1,539",21.70%,37.60%,"1,853",26.20%,980,13.80%
Bronx,2004,5 Year,Female,"7,140","4,763",66.70%,"2,715",38.00%,57.00%,740,10.40%,15.50%,"1,975",27.70%,41.50%,"2,048",28.70%,43.00%,688,9.60%,"1,277",17.90%
Bronx,2004,6 Year,Female,"7,138","4,979",69.80%,"2,751",38.50%,55.30%,741,10.40%,14.90%,"2,010",28.20%,40.40%,"2,228",31.20%,44.70%,456,6.40%,"1,408",19.70%
Bronx,2005,4 Year  June,Female,"7,288","4,432",60.80%,"3,010",41.30%,67.90%,809,11.10%,18.30%,"2,201",30.20%,49.70%,"1,422",19.50%,32.10%,"1,652",22.70%,879,12.10%
Bronx,2005,4 Year August,Female,"7,288","4,688",64.30%,"3,091",42.40%,65.90%,810,11.10%,17.30%,"2,281",31.30%,48.70%,"1,597",21.90%,34.10%,"1,397",19.20%,879,12.10%
Bronx,2005,5 Year,Female,"7,418","5,081",68.50%,"3,199",43.10%,63.00%,815,11.00%,16.00%,"2,384",32.10%,46.90%,"1,882",25.40%,37.00%,638,8.60%,"1,311",17.70%
Bronx,2005,6 Year,Female,"7,438","5,287",71.10%,"3,233",43.50%,61.10%,817,11.00%,15.50%,"2,416",32.50%,45.70%,"2,054",27.60%,38.90%,384,5.20%,"1,378",18.50%
Bronx,2006,4 Year  June,Female,"7,505","4,455",59.40%,"3,319",44.20%,74.50%,773,10.30%,17.40%,"2,546",33.90%,57.10%,"1,136",15.10%,25.50%,"1,683",22.40%,"1,070",14.30%
Bronx,2006,4 Year August,Female,"7,505","4,792",63.90%,"3,475",46.30%,72.50%,781,10.40%,16.30%,"2,694",35.90%,56.20%,"1,317",17.50%,27.50%,"1,364",18.20%,"1,052",14.00%
Bronx,2006,5 Year  June,Female,"7,643","5,128",67.10%,"3,581",46.90%,69.80%,783,10.20%,15.30%,"2,798",36.60%,54.60%,"1,547",20.20%,30.20%,609,8.00%,"1,519",19.90%
Bronx,2006,5 Year August,Female,"7,643","5,207",68.10%,"3,599",47.10%,69.10%,783,10.20%,15.00%,"2,816",36.80%,54.10%,"1,608",21.00%,30.90%,558,7.30%,"1,489",19.50%
Bronx,2007,4 Year  June,Female,"7,653","4,399",57.50%,"3,613",47.20%,82.10%,782,10.20%,17.80%,"2,831",37.00%,64.40%,786,10.30%,17.90%,"1,934",25.30%,"1,078",14.10%
Bronx,2007,4 Year August,Female,"7,653","4,783",62.50%,"3,774",49.30%,78.90%,785,10.30%,16.40%,"2,989",39.10%,62.50%,"1,009",13.20%,21.10%,"1,561",20.40%,"1,067",13.90%
Bronx,2001,4 Year  June,Male,"5,921","2,202",37.20%,"1,235",20.90%,56.10%,479,8.10%,21.80%,756,12.80%,34.30%,966,16.30%,43.90%,"1,965",33.20%,"1,386",23.40%
Bronx,2001,5 Year,Male,"5,921","2,809",47.40%,"1,362",23.00%,48.50%,494,8.30%,17.60%,868,14.70%,30.90%,"1,453",24.50%,51.70%,807,13.60%,"1,800",30.40%
Bronx,2001,6 Year,Male,"5,921","2,969",50.10%,"1,380",23.30%,46.50%,494,8.30%,16.60%,886,15.00%,29.80%,"1,610",27.20%,54.20%,361,6.10%,"2,040",34.50%
Bronx,2002,4 Year  June,Male,"6,197","2,407",38.80%,"1,466",23.70%,60.90%,518,8.40%,21.50%,948,15.30%,39.40%,944,15.20%,39.20%,"2,215",35.70%,"1,260",20.30%
Bronx,2002,5 Year,Male,"6,197","3,055",49.30%,"1,612",26.00%,52.80%,527,8.50%,17.30%,"1,085",17.50%,35.50%,"1,468",23.70%,48.10%,954,15.40%,"1,743",28.10%
Bronx,2002,6 Year,Male,"6,197","3,269",52.80%,"1,651",26.60%,50.50%,528,8.50%,16.20%,"1,123",18.10%,34.40%,"1,643",26.50%,50.30%,571,9.20%,"1,866",30.10%
Bronx,2003,4 Year  June,Male,"6,944","2,891",41.60%,"1,780",25.60%,61.60%,606,8.70%,21.00%,"1,174",16.90%,40.60%,"1,111",16.00%,38.40%,"2,289",33.00%,"1,457",21.00%
Bronx,2003,5 Year,Male,"6,944","3,580",51.60%,"1,966",28.30%,54.90%,616,8.90%,17.20%,"1,350",19.40%,37.70%,"1,614",23.20%,45.10%,"1,016",14.60%,"1,857",26.70%
Bronx,2003,6 Year,Male,"6,958","3,827",55.00%,"2,017",29.00%,52.70%,616,8.90%,16.10%,"1,401",20.10%,36.60%,"1,810",26.00%,47.30%,544,7.80%,"2,009",28.90%
Bronx,2004,4 Year  June,Male,"7,279","3,357",46.10%,"2,073",28.50%,61.80%,664,9.10%,19.80%,"1,409",19.40%,42.00%,"1,284",17.60%,38.20%,"2,316",31.80%,"1,323",18.20%
Bronx,2004,5 Year,Male,"7,325","4,093",55.90%,"2,266",30.90%,55.40%,681,9.30%,16.60%,"1,585",21.60%,38.70%,"1,827",24.90%,44.60%,899,12.30%,"1,714",23.40%
Bronx,2004,6 Year,Male,"7,314","4,328",59.20%,"2,314",31.60%,53.50%,683,9.30%,15.80%,"1,631",22.30%,37.70%,"2,014",27.50%,46.50%,638,8.70%,"1,825",25.00%
Bronx,2005,4 Year  June,Male,"7,887","3,797",48.10%,"2,608",33.10%,68.70%,735,9.30%,19.40%,"1,873",23.70%,49.30%,"1,189",15.10%,31.30%,"2,291",29.00%,"1,268",16.10%
Bronx,2005,4 Year August,Male,"7,887","4,117",52.20%,"2,719",34.50%,66.00%,739,9.40%,17.90%,"1,980",25.10%,48.10%,"1,398",17.70%,34.00%,"1,971",25.00%,"1,268",16.10%
Bronx,2005,5 Year,Male,"8,029","4,599",57.30%,"2,891",36.00%,62.90%,746,9.30%,16.20%,"2,145",26.70%,46.60%,"1,708",21.30%,37.10%,931,11.60%,"1,789",22.30%
Bronx,2005,6 Year,Male,"8,032","4,852",60.40%,"2,950",36.70%,60.80%,746,9.30%,15.40%,"2,204",27.40%,45.40%,"1,902",23.70%,39.20%,582,7.20%,"1,886",23.50%
Bronx,2006,4 Year  June,Male,"8,074","4,069",50.40%,"2,993",37.10%,73.60%,785,9.70%,19.30%,"2,208",27.30%,54.30%,"1,076",13.30%,26.40%,"2,141",26.50%,"1,332",16.50%
Bronx,2006,4 Year August,Male,"8,074","4,423",54.80%,"3,130",38.80%,70.80%,791,9.80%,17.90%,"2,339",29.00%,52.90%,"1,293",16.00%,29.20%,"1,796",22.20%,"1,323",16.40%
Bronx,2006,5 Year  June,Male,"8,346","4,794",57.40%,"3,241",38.80%,67.60%,794,9.50%,16.60%,"2,447",29.30%,51.00%,"1,553",18.60%,32.40%,921,11.00%,"1,893",22.70%
Bronx,2006,5 Year August,Male,"8,346","4,905",58.80%,"3,275",39.20%,66.80%,794,9.50%,16.20%,"2,481",29.70%,50.60%,"1,630",19.50%,33.20%,844,10.10%,"1,857",22.30%
Bronx,2007,4 Year  June,Male,"8,334","4,022",48.30%,"3,320",39.80%,82.50%,797,9.60%,19.80%,"2,523",30.30%,62.70%,702,8.40%,17.50%,"2,438",29.30%,"1,449",17.40%
Bronx,2007,4 Year August,Male,"8,334","4,411",52.90%,"3,523",42.30%,79.90%,802,9.60%,18.20%,"2,721",32.60%,61.70%,888,10.70%,20.10%,"2,063",24.80%,"1,434",17.20%
Brooklyn,2001,4 Year  June,Female,"9,849","5,538",56.20%,"3,455",35.10%,62.40%,"1,568",15.90%,28.30%,"1,887",19.20%,34.10%,"2,086",21.20%,37.70%,"2,656",27.00%,"1,446",14.70%
Brooklyn,2001,5 Year,Female,"9,849","6,455",65.50%,"3,682",37.40%,57.00%,"1,609",16.30%,24.90%,"2,073",21.00%,32.10%,"2,780",28.20%,43.10%,912,9.30%,"2,177",22.10%
Brooklyn,2001,6 Year,Female,"9,849","6,720",68.20%,"3,720",37.80%,55.40%,"1,610",16.30%,24.00%,"2,110",21.40%,31.40%,"3,013",30.60%,44.80%,357,3.60%,"2,440",24.80%
Brooklyn,2002,4 Year  June,Female,"10,253","5,723",55.80%,"3,861",37.70%,67.50%,"1,534",15.00%,26.80%,"2,327",22.70%,40.70%,"1,867",18.20%,32.60%,"2,827",27.60%,"1,388",13.50%
Brooklyn,2002,5 Year,Female,"10,253","6,690",65.20%,"4,119",40.20%,61.60%,"1,577",15.40%,23.60%,"2,542",24.80%,38.00%,"2,598",25.30%,38.80%,"1,174",11.50%,"1,978",19.30%
Brooklyn,2002,6 Year,Female,"10,253","7,010",68.40%,"4,167",40.60%,59.40%,"1,577",15.40%,22.50%,"2,590",25.30%,36.90%,"2,870",28.00%,40.90%,546,5.30%,"2,247",21.90%
Brooklyn,2003,4 Year  June,Female,"10,481","6,147",58.60%,"4,302",41.00%,70.00%,"1,827",17.40%,29.70%,"2,475",23.60%,40.30%,"1,845",17.60%,30.00%,"2,808",26.80%,"1,317",12.60%
Brooklyn,2003,5 Year,Female,"10,481","7,129",68.00%,"4,588",43.80%,64.40%,"1,853",17.70%,26.00%,"2,735",26.10%,38.40%,"2,541",24.20%,35.60%,"1,073",10.20%,"1,961",18.70%
Brooklyn,2003,6 Year,Female,"10,464","7,455",71.20%,"4,656",44.50%,62.50%,"1,854",17.70%,24.90%,"2,802",26.80%,37.60%,"2,799",26.70%,37.50%,453,4.30%,"2,122",20.30%
Brooklyn,2004,4 Year  June,Female,"10,918","6,810",62.40%,"4,905",44.90%,72.00%,"2,044",18.70%,30.00%,"2,861",26.20%,42.00%,"1,905",17.40%,28.00%,"2,731",25.00%,"1,177",10.80%
Brooklyn,2004,5 Year,Female,"10,959","7,804",71.20%,"5,249",47.90%,67.30%,"2,072",18.90%,26.60%,"3,177",29.00%,40.70%,"2,555",23.30%,32.70%,979,8.90%,"1,629",14.90%
Brooklyn,2004,6 Year,Female,"10,949","8,129",74.20%,"5,322",48.60%,65.50%,"2,073",18.90%,25.50%,"3,249",29.70%,40.00%,"2,807",25.60%,34.50%,530,4.80%,"1,889",17.30%
Brooklyn,2005,4 Year  June,Female,"10,942","6,867",62.80%,"5,149",47.10%,75.00%,"1,939",17.70%,28.20%,"3,210",29.30%,46.70%,"1,718",15.70%,25.00%,"2,679",24.50%,"1,032",9.40%
Brooklyn,2005,4 Year August,Female,"10,942","7,276",66.50%,"5,320",48.60%,73.10%,"1,949",17.80%,26.80%,"3,371",30.80%,46.30%,"1,956",17.90%,26.90%,"2,272",20.80%,"1,031",9.40%
Brooklyn,2005,5 Year,Female,"10,959","7,902",72.10%,"5,578",50.90%,70.60%,"1,970",18.00%,24.90%,"3,608",32.90%,45.70%,"2,324",21.20%,29.40%,812,7.40%,"1,810",16.50%
Brooklyn,2005,6 Year,Female,"10,936","8,208",75.10%,"5,646",51.60%,68.80%,"1,970",18.00%,24.00%,"3,676",33.60%,44.80%,"2,562",23.40%,31.20%,375,3.40%,"1,921",17.60%
Brooklyn,2006,4 Year  June,Female,"10,790","7,034",65.20%,"5,618",52.10%,79.90%,"2,048",19.00%,29.10%,"3,570",33.10%,50.80%,"1,416",13.10%,20.10%,"2,319",21.50%,"1,163",10.80%
