Park Name,Description of Work,Status,Category
Ambrosini Playground and Ballfield,"Reconstruction of the playground and ballfield, install higher perimeter fencing between field and Co-op, new water line and new asphalt pathway.",Completed,Neighborhood Parks
Campanaro Playground,Entire renovation of both the court and playground areas including repair of the spray shower.,Completed,Neighborhood Parks
Clark Playground,"Playground Reconstruction to include new play equipment, handball and basketball court renovations with color seal coating, pavement, swings, and fencing.",Completed,Neighborhood Parks
Devoe Park,"Reconstruction of playground to include new play equipment, landscaping and drainage improvements.",Completed,Neighborhood Parks
Drew Playground,Renovation of playground.,Completed,Neighborhood Parks
Edenwald Playground,"Reconstruction of playground to include new play equipment, spray shower, and landscaping.",Completed,Neighborhood Parks
Field of Dreams Park,Development of passive areas of southern section of the park.,In Construction,Neighborhood Parks
Grant Park,Reconstruction of retaining wall for park that will increase available space for future phases.,Completed,Neighborhood Parks
Haffen Park,Installation of a synthetic turf field.,Completed,Neighborhood Parks
Hines Playground,Renovation of retaining walls in the park.,In Construction,Neighborhood Parks
Manida Ballfield,"Reconstruction of the two baseball fields and backstops, irrigation, play equipment, spray shower and a perimeter fence to separate the Recreation Center and ballfield area.",Completed,Neighborhood Parks
Melrose Playground,"Reconstruction to include new play equipment, fencing and pavements.",Completed,Neighborhood Parks
Mount Hope Playground,Reconstruction of the playground and corrective repairs to retaining wall.,Completed,Neighborhood Parks
Mullaly Park Playground,"The reconstruction of a playground with spray shower, including, comfort station and perimeter fencing.","North-Completed
South-Completed",Neighborhood Parks
Owen Dolen Golden Recreation Center,"Concrete sitting area to be removed, repair to roof, new entrance ramp, and landscaping.",In Construction,Neighborhood Parks
Pugsley Creek Park,Creation of basketball courts along White Plains Road at Patterson Avenue near I.S. 174,In Construction,Neighborhood Parks
Saturn Playground (Now Sachkerah Woods Playground),"Additional Facilities to be developed with playground reconstruction: dog run, picnic area and reconstruction of park entrances at the southeast corner of Van Cortlandt Park.",Completed,Neighborhood Parks
Sedgwick Playground,Reconstruction of entire playground including basketball and handball courts as well as play equipment and water play area.,Completed,Neighborhood Parks
Seton Falls Park,Trail upgrade and associated fencing repair work.,Completed,Neighborhood Parks
St. James Park,"Reconstruction of the retaining walls with new perimeter fencing, pathways, sidewalk, landscaping, and stairs.",In Construction (Croton portions were completed and approved.),Neighborhood Parks
Story Playground,"Reconstruction of a playground and comfort station. Reconstruction of playground includes, new ballfield, hard court game area, and stabilization of settlement.",Completed,Neighborhood Parks
Tremont Park,Reconstruction of passive seating area for seniors and construction of hard court game area.,Pending Registration,Neighborhood Parks
Webster Playground,"Reconstruction of entire playground, including comfort station.",Completed,Neighborhood Parks
Aqueduct Lands: Basketball Courts and Playground,"Reconstruction of the basketball courts with color seal coating, chain link fencing, baseball backstops, pavements and benches.",Completed,Regional Recreational Facilities
Aqueduct Lands: Comfort Station and Operations Facility,Construction of a new comfort station with an operations facility.,Design Complete,Regional Recreational Facilities
Aqueduct Walk,"Reconstruction of first Aqueduct section from Kingsbridge Road to Morton Place . Section to include new promenade pavement, large plaza, and new passive spaces.",Design Phase,Regional Recreational Facilities
Bronx Park : 219th Street Entrance,Reconstruction of Bronx Park entrance at 219th Street .,Completed,Regional Recreational Facilities
Bronx Park Soccer Field and Skate Park,"Installation of synthetic turf soccer field north of Allerton Avenue and installation of new, unsupervised skate park. XXXXXSSSSS",Completed,Regional Recreational Facilities
Bronx Park Solomine Ballfield,"Renovation of two baseball fields, elimination of tennis courts and replacement with synthetic turf soccer field, and restoration of basketball court and landscaping.",Completed,Regional Recreational Facilities
Bronx River Greenway Facility/River House,"Creation of space for the administration and operational facilities required for Bronx River initiatives involving greenway implementation, ecological restoration, recreational, educational and arts programming.",Design Complete,Regional Recreational Facilities
Crotona Park : Amphitheater,Construction of a natural amphitheater and stage for summer performances.,Completed,Regional Recreational Facilities
