District,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
1,3,2006,ELL,60,660,9,15,15,25,32,53.3,4,6.7,36,60
1,3,2006,EP,747,663,79,10.6,200,26.8,430,57.6,38,5.1,468,62.7
1,3,2007,ELL,129,643,22,17.1,54,41.9,53,41.1,0,0,53,41.1
1,3,2007,EP,682,663,69,10.1,180,26.4,371,54.4,62,9.1,433,63.5
1,3,2008,ELL,111,646,11,9.9,49,44.1,51,45.9,0,0,51,45.9
1,3,2008,EP,723,665,43,5.9,213,29.5,394,54.5,73,10.1,467,64.6
1,3,2009,ELL,89,648,6,6.7,40,44.9,42,47.2,1,1.1,43,48.3
1,3,2009,EP,791,669,37,4.7,173,21.9,500,63.2,81,10.2,581,73.5
1,3,2010,ELL,78,641,34,43.6,36,46.2,8,10.3,0,0,8,10.3
1,3,2010,EP,770,671,103,13.4,240,31.2,264,34.3,163,21.2,427,55.5
1,3,2011,ELL,84,643,32,38.1,43,51.2,9,10.7,0,0,9,10.7
1,3,2011,EP,729,667,71,9.7,222,30.5,362,49.7,74,10.2,436,59.8
1,3,2012,ELL,86,647,28,32.6,44,51.2,14,16.3,0,0,14,16.3
1,3,2012,EP,770,665,95,12.3,250,32.5,365,47.4,60,7.8,425,55.2
1,4,2006,ELL,68,650,15,22.1,13,19.1,38,55.9,2,2.9,40,58.8
1,4,2006,EP,748,654,87,11.6,259,34.6,365,48.8,37,4.9,402,53.7
1,4,2007,ELL,93,639,11,11.8,50,53.8,31,33.3,1,1.1,32,34.4
1,4,2007,EP,742,658,54,7.3,225,30.3,429,57.8,34,4.6,463,62.4
1,4,2008,ELL,102,635,21,20.6,42,41.2,38,37.3,1,1,39,38.2
1,4,2008,EP,714,661,50,7,199,27.9,429,60.1,36,5,465,65.1
1,4,2009,ELL,88,640,11,12.5,40,45.5,37,42,0,0,37,42
1,4,2009,EP,736,667,29,3.9,166,22.6,490,66.6,51,6.9,541,73.5
1,4,2010,ELL,78,652,19,24.4,43,55.1,16,20.5,0,0,16,20.5
1,4,2010,EP,814,670,71,8.7,343,42.1,356,43.7,44,5.4,400,49.1
1,4,2011,ELL,81,642,28,34.6,38,46.9,15,18.5,0,0,15,18.5
1,4,2011,EP,772,675,53,6.9,275,35.6,405,52.5,39,5.1,444,57.5
1,4,2012,ELL,77,647,20,26,44,57.1,13,16.9,0,0,13,16.9
1,4,2012,EP,735,677,54,7.3,252,34.3,379,51.6,50,6.8,429,58.4
1,5,2006,ELL,71,633,16,22.5,31,43.7,20,28.2,4,5.6,24,33.8
1,5,2006,EP,679,653,51,7.5,255,37.6,322,47.4,51,7.5,373,54.9
1,5,2007,ELL,79,632,19,24.1,36,45.6,24,30.4,0,0,24,30.4
1,5,2007,EP,756,660,36,4.8,254,33.6,427,56.5,39,5.2,466,61.6
1,5,2008,ELL,58,640,3,5.2,33,56.9,22,37.9,0,0,22,37.9
1,5,2008,EP,766,666,18,2.3,168,21.9,534,69.7,46,6,580,75.7
1,5,2009,ELL,72,651,0,0,32,44.4,40,55.6,0,0,40,55.6
1,5,2009,EP,710,677,1,0.1,103,14.5,508,71.5,98,13.8,606,85.4
1,5,2010,ELL,82,652,26,31.7,44,53.7,12,14.6,0,0,12,14.6
1,5,2010,EP,711,674,98,13.8,264,37.1,240,33.8,109,15.3,349,49.1
1,5,2011,ELL,62,645,28,45.2,28,45.2,6,9.7,0,0,6,9.7
1,5,2011,EP,796,670,57,7.2,294,36.9,387,48.6,58,7.3,445,55.9
1,5,2012,ELL,61,648,26,42.6,29,47.5,6,9.8,0,0,6,9.8
1,5,2012,EP,772,671,69,8.9,248,32.1,400,51.8,55,7.1,455,58.9
1,6,2006,ELL,64,632,13,20.3,22,34.4,25,39.1,4,6.3,29,45.3
1,6,2006,EP,791,654,45,5.7,324,41,338,42.7,84,10.6,422,53.4
1,6,2007,ELL,50,623,5,10,40,80,5,10,0,0,5,10
1,6,2007,EP,703,657,13,1.8,301,42.8,333,47.4,56,8,389,55.3
1,6,2008,ELL,58,625,8,13.8,43,74.1,7,12.1,0,0,7,12.1
1,6,2008,EP,784,658,13,1.7,324,41.3,411,52.4,36,4.6,447,57
1,6,2009,ELL,53,644,0,0,33,62.3,20,37.7,0,0,20,37.7
1,6,2009,EP,801,669,1,0.1,175,21.8,530,66.2,95,11.9,625,78
1,6,2010,ELL,61,641,35,57.4,23,37.7,3,4.9,0,0,3,4.9
1,6,2010,EP,723,666,73,10.1,311,43,266,36.8,73,10.1,339,46.9
1,6,2011,ELL,76,639,42,55.3,30,39.5,4,5.3,0,0,4,5.3
1,6,2011,EP,738,665,66,8.9,279,37.8,336,45.5,57,7.7,393,53.3
1,6,2012,ELL,64,642,31,48.4,31,48.4,2,3.1,0,0,2,3.1
1,6,2012,EP,833,664,81,9.7,298,35.8,412,49.5,42,5,454,54.5
1,7,2006,ELL,66,615,14,21.2,41,62.1,11,16.7,0,0,11,16.7
1,7,2006,EP,852,648,70,8.2,384,45.1,330,38.7,68,8,398,46.7
1,7,2007,ELL,65,609,20,30.8,33,50.8,12,18.5,0,0,12,18.5
1,7,2007,EP,812,653,34,4.2,340,41.9,404,49.8,34,4.2,438,53.9
1,7,2008,ELL,52,626,5,9.6,37,71.2,10,19.2,0,0,10,19.2
1,7,2008,EP,767,660,17,2.2,239,31.2,476,62.1,35,4.6,511,66.6
1,7,2009,ELL,63,629,4,6.3,44,69.8,15,23.8,0,0,15,23.8
1,7,2009,EP,768,666,3,0.4,174,22.7,539,70.2,52,6.8,591,77
1,7,2010,ELL,60,643,25,41.7,29,48.3,5,8.3,1,1.7,6,10
1,7,2010,EP,805,673,65,8.1,327,40.6,287,35.7,126,15.7,413,51.3
1,7,2011,ELL,61,641,18,29.5,42,68.9,1,1.6,0,0,1,1.6
1,7,2011,EP,706,665,50,7.1,329,46.6,295,41.8,32,4.5,327,46.3
1,7,2012,ELL,55,637,25,45.5,27,49.1,3,5.5,0,0,3,5.5
1,7,2012,EP,734,667,45,6.1,297,40.5,354,48.2,38,5.2,392,53.4
1,8,2006,ELL,58,603,26,44.8,30,51.7,2,3.4,0,0,2,3.4
1,8,2006,EP,771,644,65,8.4,417,54.1,261,33.9,28,3.6,289,37.5
1,8,2007,ELL,70,615,20,28.6,43,61.4,7,10,0,0,7,10
1,8,2007,EP,833,654,37,4.4,383,46,366,43.9,47,5.6,413,49.6
1,8,2008,ELL,54,609,19,35.2,31,57.4,4,7.4,0,0,4,7.4
1,8,2008,EP,813,654,19,2.3,393,48.3,371,45.6,30,3.7,401,49.3
1,8,2009,ELL,56,622,10,17.9,41,73.2,5,8.9,0,0,5,8.9
1,8,2009,EP,769,659,5,0.7,263,34.2,477,62,24,3.1,501,65.1
1,8,2010,ELL,68,618,42,61.8,25,36.8,1,1.5,0,0,1,1.5
1,8,2010,EP,821,658,71,8.6,373,45.4,307,37.4,70,8.5,377,45.9
1,8,2011,ELL,64,626,28,43.8,36,56.3,0,0,0,0,0,0
1,8,2011,EP,814,655,52,6.4,408,50.1,343,42.1,11,1.4,354,43.5
1,8,2012,ELL,63,629,22,34.9,37,58.7,4,6.3,0,0,4,6.3
1,8,2012,EP,742,659,38,5.1,356,48,334,45,14,1.9,348,46.9
1,All Grades,2006,ELL,387,632,93,24,152,39.3,128,33.1,14,3.6,142,36.7
1,All Grades,2006,EP,4588,653,397,8.7,1839,40.1,2046,44.6,306,6.7,2352,51.3
1,All Grades,2007,ELL,486,630,97,20,256,52.7,132,27.2,1,0.2,133,27.4
1,All Grades,2007,EP,4528,657,243,5.4,1683,37.2,2330,51.5,272,6,2602,57.5
1,All Grades,2008,ELL,435,633,67,15.4,235,54,132,30.3,1,0.2,133,30.6
1,All Grades,2008,EP,4567,660,160,3.5,1536,33.6,2615,57.3,256,5.6,2871,62.9
1,All Grades,2009,ELL,421,640,31,7.4,230,54.6,159,37.8,1,0.2,160,38
1,All Grades,2009,EP,4575,668,76,1.7,1054,23,3044,66.5,401,8.8,3445,75.3
1,All Grades,2010,ELL,427,642,181,42.4,200,46.8,45,10.5,1,0.2,46,10.8
1,All Grades,2010,EP,4644,669,481,10.4,1858,40,1720,37,585,12.6,2305,49.6
1,All Grades,2011,ELL,428,639,176,41.1,217,50.7,35,8.2,0,0,35,8.2
1,All Grades,2011,EP,4555,666,349,7.7,1807,39.7,2128,46.7,271,5.9,2399,52.7
1,All Grades,2012,ELL,406,642,152,37.4,212,52.2,42,10.3,0,0,42,10.3
1,All Grades,2012,EP,4586,667,382,8.3,1701,37.1,2244,48.9,259,5.6,2503,54.6
2,3,2006,ELL,70,647,13,18.6,27,38.6,30,42.9,0,0,30,42.9
2,3,2006,EP,2004,686,70,3.5,248,12.4,1434,71.6,252,12.6,1686,84.1
2,3,2007,ELL,254,655,23,9.1,71,28,151,59.4,9,3.5,160,63
2,3,2007,EP,1977,687,54,2.7,255,12.9,1292,65.4,376,19,1668,84.4
2,3,2008,ELL,292,652,23,7.9,117,40.1,149,51,3,1,152,52.1
2,3,2008,EP,1950,684,43,2.2,267,13.7,1227,62.9,413,21.2,1640,84.1
2,3,2009,ELL,307,661,17,5.5,78,25.4,193,62.9,19,6.2,212,69.1
2,3,2009,EP,2101,684,42,2,206,9.8,1450,69,403,19.2,1853,88.2
2,3,2010,ELL,268,658,46,17.2,115,42.9,93,34.7,14,5.2,107,39.9
2,3,2010,EP,1985,683,105,5.3,409,20.6,825,41.6,646,32.5,1471,74.1
2,3,2011,ELL,280,656,53,18.9,110,39.3,115,41.1,2,0.7,117,41.8
2,3,2011,EP,2205,673,100,4.5,426,19.3,1445,65.5,234,10.6,1679,76.1
2,3,2012,ELL,238,652,60,25.2,108,45.4,70,29.4,0,0,70,29.4
2,3,2012,EP,2411,674,137,5.7,454,18.8,1519,63,301,12.5,1820,75.5
2,4,2006,ELL,62,632,18,29,19,30.6,24,38.7,1,1.6,25,40.3
2,4,2006,EP,2081,677,85,4.1,322,15.5,1449,69.6,225,10.8,1674,80.4
2,4,2007,ELL,166,635,34,20.5,77,46.4,55,33.1,0,0,55,33.1
2,4,2007,EP,2000,680,52,2.6,281,14.1,1381,69.1,286,14.3,1667,83.4
2,4,2008,ELL,213,646,25,11.7,73,34.3,113,53.1,2,0.9,115,54
2,4,2008,EP,2012,684,50,2.5,220,10.9,1420,70.6,322,16,1742,86.6
2,4,2009,ELL,214,651,18,8.4,76,35.5,118,55.1,2,0.9,120,56.1
2,4,2009,EP,2066,686,44,2.1,168,8.1,1527,73.9,327,15.8,1854,89.7
2,4,2010,ELL,239,663,28,11.7,114,47.7,96,40.2,1,0.4,97,40.6
