Critical Asset,Number
Subway Stations,119
Rail Stations,30
Bridges and Tunnels,31
Major Roads (miles),461
Airports,2
Ferry Landings,25
Emergency Services – Police Stations,22
Emergency Services – Fire Stations,56
Emergency Services – EMS Stations,10
Educational – Colleges,19
Educational – Public Schools,343
Educational – Private Schools,215
Healthcare – Hospitals,23
Healthcare – Nursing Homes,57
Cultural Facilities,11
Infrastructure – Power Plants,17
Infrastructure – Wastewater Treatment Plants,13
