NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATH BEACH               ,01 ONE FAMILY HOMES                        ,17,$400000.00,$580235.00,$530000.00,$1135000.00
BATH BEACH               ,02 TWO FAMILY HOMES                        ,61,$200000.00,$616902.00,$630000.00,$1080000.00
BATH BEACH               ,03 THREE FAMILY HOMES                      ,31,$288000.00,$829985.00,$770000.00,$1440000.00
BAY RIDGE                ,01 ONE FAMILY HOMES                        ,100,$200000.00,$766359.00,$707500.00,$2350000.00
BAY RIDGE                ,02 TWO FAMILY HOMES                        ,110,$170000.00,$762034.00,$762500.00,$2065000.00
BAY RIDGE                ,03 THREE FAMILY HOMES                      ,14,$208830.00,$733345.00,$791000.00,$999000.00
BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES                        ,33,$152100.00,$439342.00,$402500.00,$725000.00
BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES                        ,268,$169000.00,$516732.00,$509750.00,$968200.00
BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES                      ,147,$220000.00,$619159.00,$634438.00,$1207000.00
BENSONHURST              ,01 ONE FAMILY HOMES                        ,34,$350000.00,$604909.00,$575000.00,$1210000.00
BENSONHURST              ,02 TWO FAMILY HOMES                        ,144,$150000.00,$713260.00,$705000.00,$2900000.00
BENSONHURST              ,03 THREE FAMILY HOMES                      ,53,$330000.00,$893279.00,$900000.00,$1500000.00
BERGEN BEACH             ,01 ONE FAMILY HOMES                        ,36,$325000.00,$633813.00,$594750.00,$1250000.00
BERGEN BEACH             ,02 TWO FAMILY HOMES                        ,29,$475000.00,$722697.00,$728000.00,$916425.00
BERGEN BEACH             ,03 THREE FAMILY HOMES                      ,9,$610000.00,$785556.00,$710000.00,$1400000.00
BOERUM HILL              ,01 ONE FAMILY HOMES                        ,5,$908731.00,$2084746.00,$2440000.00,$3175000.00
BOERUM HILL              ,02 TWO FAMILY HOMES                        ,16,$177450.00,$1510443.00,$1522500.00,$2400000.00
BOERUM HILL              ,03 THREE FAMILY HOMES                      ,5,$590000.00,$1020600.00,$1163000.00,$1200000.00
BOROUGH PARK             ,01 ONE FAMILY HOMES                        ,42,$450000.00,$780927.00,$687500.00,$4000000.00
BOROUGH PARK             ,02 TWO FAMILY HOMES                        ,163,$150000.00,$799383.00,$750000.00,$3800000.00
BOROUGH PARK             ,03 THREE FAMILY HOMES                      ,73,$150000.00,$873327.00,$805000.00,$3100000.00
BRIGHTON BEACH           ,01 ONE FAMILY HOMES                        ,7,$386000.00,$616571.00,$485000.00,$950000.00
BRIGHTON BEACH           ,02 TWO FAMILY HOMES                        ,13,$349000.00,$610538.00,$650000.00,$755000.00
BRIGHTON BEACH           ,03 THREE FAMILY HOMES                      ,8,$295313.00,$523164.00,$537500.00,$710000.00
BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES                        ,5,$2775000.00,$3567800.00,$3700000.00,$4189000.00
BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES                        ,10,$984000.00,$4039650.00,$3321250.00,$10800000.00
BROWNSVILLE              ,01 ONE FAMILY HOMES                        ,16,$190000.00,$340159.00,$340205.00,$640000.00
BROWNSVILLE              ,02 TWO FAMILY HOMES                        ,51,$235900.00,$507232.00,$507000.00,$1120970.00
BROWNSVILLE              ,03 THREE FAMILY HOMES                      ,36,$390000.00,$729442.00,$780000.00,$800000.00
BUSH TERMINAL            ,02 TWO FAMILY HOMES                        ,5,$258000.00,$572400.00,$659000.00,$750000.00
BUSH TERMINAL            ,03 THREE FAMILY HOMES                      ,5,$470000.00,$591500.00,$600000.00,$695000.00
BUSHWICK                 ,01 ONE FAMILY HOMES                        ,13,$234741.00,$401381.00,$392200.00,$618000.00
BUSHWICK                 ,02 TWO FAMILY HOMES                        ,141,$150000.00,$475706.00,$475000.00,$1600000.00
BUSHWICK                 ,03 THREE FAMILY HOMES                      ,46,$225000.00,$565643.00,$617920.00,$773945.00
CANARSIE                 ,01 ONE FAMILY HOMES                        ,61,$151283.00,$380442.00,$375000.00,$650000.00
CANARSIE                 ,02 TWO FAMILY HOMES                        ,184,$150000.00,$499163.00,$522350.00,$795000.00
CANARSIE                 ,03 THREE FAMILY HOMES                      ,26,$165000.00,$584234.00,$631550.00,$778961.00
CARROLL GARDENS          ,01 ONE FAMILY HOMES                        ,3,$1250000.00,$1833333.00,$1700000.00,$2550000.00
CARROLL GARDENS          ,02 TWO FAMILY HOMES                        ,12,$600000.00,$1525833.00,$1547500.00,$2250000.00
CARROLL GARDENS          ,03 THREE FAMILY HOMES                      ,7,$1300000.00,$1549857.00,$1550000.00,$2094000.00
CLINTON HILL             ,01 ONE FAMILY HOMES                        ,2,$368500.00,$850917.00,$850917.00,$1333333.00
CLINTON HILL             ,02 TWO FAMILY HOMES                        ,23,$477000.00,$1024752.00,$905000.00,$1895000.00
CLINTON HILL             ,03 THREE FAMILY HOMES                      ,6,$500000.00,$908790.00,$710250.00,$1930000.00
COBBLE HILL              ,01 ONE FAMILY HOMES                        ,3,$925000.00,$2758333.00,$1950000.00,$5400000.00
COBBLE HILL              ,02 TWO FAMILY HOMES                        ,9,$700000.00,$1638722.00,$1275000.00,$3950000.00
COBBLE HILL              ,03 THREE FAMILY HOMES                      ,5,$499000.00,$1849800.00,$2200000.00,$2500000.00
COBBLE HILL-WEST         ,01 ONE FAMILY HOMES                        ,1,$1221900.00,$1221900.00,$1221900.00,$1221900.00
COBBLE HILL-WEST         ,03 THREE FAMILY HOMES                      ,5,$550000.00,$817000.00,$650000.00,$1250000.00
CONEY ISLAND             ,01 ONE FAMILY HOMES                        ,17,$151117.00,$366942.00,$369000.00,$575000.00
CONEY ISLAND             ,02 TWO FAMILY HOMES                        ,4,$375000.00,$475000.00,$450000.00,$625000.00
CROWN HEIGHTS            ,01 ONE FAMILY HOMES                        ,15,$180000.00,$654454.00,$650000.00,$1250000.00
CROWN HEIGHTS            ,02 TWO FAMILY HOMES                        ,107,$165000.00,$560856.00,$570000.00,$1450000.00
CROWN HEIGHTS            ,03 THREE FAMILY HOMES                      ,48,$250000.00,$646876.00,$707500.00,$1066500.00
CYPRESS HILLS            ,01 ONE FAMILY HOMES                        ,17,$172380.00,$381877.00,$370000.00,$610000.00
