DBN,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
01M015,3,2006,EP,37,651,4,10.8,14,37.8,19,51.4,0,0,19,51.4
01M015,3,2007,ELL,8,627,2,25,6,75,0,0,0,0,0,0
01M015,3,2007,EP,25,637,4,16,12,48,9,36,0,0,9,36
01M015,3,2008,ELL,6,643,0,0,4,66.7,2,33.3,0,0,2,33.3
01M015,3,2008,EP,33,646,3,9.1,18,54.5,12,36.4,0,0,12,36.4
01M015,3,2009,ELL,8,642,0,0,5,62.5,3,37.5,0,0,3,37.5
01M015,3,2009,EP,25,645,1,4,14,56,10,40,0,0,10,40
01M015,3,2010,ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M015,3,2010,EP,21,653,8,38.1,9,42.9,3,14.3,1,4.8,4,19
01M015,3,2011,ELL,9,636,4,44.4,5,55.6,0,0,0,0,0,0
01M015,3,2011,EP,19,652,3,15.8,13,68.4,3,15.8,0,0,3,15.8
01M015,3,2012,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M015,3,2012,EP,18,654,5,27.8,8,44.4,4,22.2,1,5.6,5,27.8
01M015,4,2006,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M015,4,2006,EP,44,622,17,38.6,19,43.2,7,15.9,1,2.3,8,18.2
01M015,4,2007,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M015,4,2007,EP,40,650,2,5,19,47.5,19,47.5,0,0,19,47.5
01M015,4,2008,ELL,8,624,3,37.5,3,37.5,2,25,0,0,2,25
01M015,4,2008,EP,33,636,3,9.1,21,63.6,9,27.3,0,0,9,27.3
01M015,4,2009,ELL,9,634,2,22.2,4,44.4,3,33.3,0,0,3,33.3
01M015,4,2009,EP,29,637,4,13.8,14,48.3,11,37.9,0,0,11,37.9
01M015,4,2010,ELL,7,642,2,28.6,5,71.4,0,0,0,0,0,0
01M015,4,2010,EP,21,649,4,19,15,71.4,2,9.5,0,0,2,9.5
01M015,4,2011,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M015,4,2011,EP,22,662,4,18.2,12,54.5,6,27.3,0,0,6,27.3
01M015,4,2012,ELL,3,s,s,s,s,s,s,s,s,s,s,s
