Borough Name,Community District,Total Probationers Ages 16 - 24 ,Male Probationers Ages 16-24,Female Probationers      Ages 16-24
Brooklyn,CD 3 ,289,239,50
Brooklyn,CD 4 ,143,119,24
Brooklyn,CD 5 ,263,229,34
Brooklyn,CD 8,131,111,20
Brooklyn,CD 13 ,87,66,21
Brooklyn,CD 16,198,161,37
Bronx,CD 1,193,161,32
Bronx,CD 2,113,96,17
Bronx,CD 3 ,183,155,28
Bronx,CD 4 ,236,204,32
Bronx,CD 5 ,235,204,31
Bronx,CD 6,160,130,30
Bronx,CD 9,272,223,49
Manhattan,CD 9,134,118,16
Manhattan,CD 10,283,236,47
Manhattan,CD 11,228,198,30
Queens,CD 1,42,36,6
Queens,CD 12,152,129,23
Queens,CD 14,45,33,12
